AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FLIGHT,F2,E,F,792.0,168.0,900.0,1800.0,9.45,13.45
0,FLIGHT,F10,F,E,2570.0,135.0,732.0,1632.0,8.215,12.215
1,FLIGHT,F5,D,C,2271.0,107.0,900.0,1800.0,8.423,12.423
1,FLIGHT,F9,C,F,2533.0,120.0,793.0,1693.0,8.241,12.241
1,FLIGHT,F15,F,D,4030.0,69.0,673.0,1573.0,7.201,11.201
2,FLIGHT,F8,G,E,2521.0,169.0,900.0,1800.0,8.249,12.249
4,FLIGHT,F12,D,G,3415.0,167.0,900.0,1800.0,7.628,11.628
5,FLIGHT,F3,B,F,824.0,92.0,900.0,1800.0,9.428,13.428
5,FLIGHT,F4,F,E,1109.0,168.0,808.0,1708.0,9.23,13.23
6,FLIGHT,F27,E,G,9370.0,89.0,900.0,1800.0,3.493,7.493
