stem,mode,flights,assigned,unassigned,status,objective,gap_pct,cpu_s,wall_s,num_vars,num_constraints,returncode,variant,instance
ABCD_all_checks_test,milp,,,,ERROR,,,,1.28,,,1,paper_c13,ABCD_all_checks_test
ABCD_multi_check_test,milp,,,,ERROR,,,,1.24,,,1,paper_c13,ABCD_multi_check_test
ABCD_check_hierarchy_test,milp,,,,optimal,14700.0,,,1.64,,,0,paper_c13,ABCD_check_hierarchy_test
ABCD_near_threshold_test,milp,,,,optimal,21100.0,,,1.89,,,0,paper_c13,ABCD_near_threshold_test
DataCplex_density=1_p=10_h=7_test_0,milp,,,,infeasible,,,,2.36,,,0,paper_c13,
DataCplex_density=1_p=10_h=15_test_0,milp,,,,infeasible,,,,5.01,,,0,paper_c13,
DataCplex_density=1_p=20_h=7_test_0,milp,,,,infeasible,,,,5.7,,,0,paper_c13,
DataCplex_density=1_p=20_h=15_test_0,milp,,,,infeasible,,,,17.67,,,0,paper_c13,
DataCplex_density=0.95_p=10_h=7_test_0,milp,,,,infeasible,,,,2.36,,,0,paper_c13,
DataCplex_density=0.95_p=10_h=15_test_0,milp,,,,infeasible,,,,5.0,,,0,paper_c13,
ABCD_all_checks_test,milp,,,,ERROR,,,,1.24,,,1,corrected_c13,ABCD_all_checks_test
ABCD_multi_check_test,milp,,,,ERROR,,,,1.22,,,1,corrected_c13,ABCD_multi_check_test
ABCD_check_hierarchy_test,milp,,,,optimal,14700.0,,,1.64,,,0,corrected_c13,ABCD_check_hierarchy_test
ABCD_near_threshold_test,milp,,,,optimal,21100.0,,,1.88,,,0,corrected_c13,ABCD_near_threshold_test
DataCplex_density=1_p=10_h=7_test_0,milp,,,,infeasible,,,,2.36,,,0,corrected_c13,
DataCplex_density=1_p=10_h=15_test_0,milp,,,,infeasible,,,,5.02,,,0,corrected_c13,
DataCplex_density=1_p=20_h=7_test_0,milp,,,,infeasible,,,,5.66,,,0,corrected_c13,
DataCplex_density=1_p=20_h=15_test_0,milp,,,,infeasible,,,,17.72,,,0,corrected_c13,
DataCplex_density=0.95_p=10_h=7_test_0,milp,,,,infeasible,,,,2.34,,,0,corrected_c13,
DataCplex_density=0.95_p=10_h=15_test_0,milp,,,,infeasible,,,,4.97,,,0,corrected_c13,
ABCD_all_checks_test,milp,,,,ERROR,,,,1.27,,,1,corrected_c13_with_initial,ABCD_all_checks_test
ABCD_multi_check_test,milp,,,,ERROR,,,,1.23,,,1,corrected_c13_with_initial,ABCD_multi_check_test
ABCD_check_hierarchy_test,milp,,,,optimal,14700.0,,,1.64,,,0,corrected_c13_with_initial,ABCD_check_hierarchy_test
ABCD_near_threshold_test,milp,,,,optimal,21100.0,,,1.86,,,0,corrected_c13_with_initial,ABCD_near_threshold_test
DataCplex_density=1_p=10_h=7_test_0,milp,,,,infeasible,,,,2.36,,,0,corrected_c13_with_initial,
DataCplex_density=1_p=10_h=15_test_0,milp,,,,infeasible,,,,4.99,,,0,corrected_c13_with_initial,
DataCplex_density=1_p=20_h=7_test_0,milp,,,,infeasible,,,,5.63,,,0,corrected_c13_with_initial,
DataCplex_density=1_p=20_h=15_test_0,milp,,,,infeasible,,,,17.72,,,0,corrected_c13_with_initial,
DataCplex_density=0.95_p=10_h=7_test_0,milp,,,,infeasible,,,,2.34,,,0,corrected_c13_with_initial,
DataCplex_density=0.95_p=10_h=15_test_0,milp,,,,infeasible,,,,4.97,,,0,corrected_c13_with_initial,
