assigned,assignment_cost,coverage_pct,family,ferry_cost,flights,label,maintenance_cost,maintenance_events,method,mip_gap,num_constraints,num_vars,solver,status,total_cost,wall_s
28,20513.0,100.0,A-only,0.0,28,feas_A_p4h7_d05,1400.0,14,greedy,,,,python,complete,21913.0,0.0013837001752108335
28,20513.0,100.0,A-only,0.0,28,feas_A_p4h7_d05,1400.0,14,insertion,,,,python,complete,21913.0,0.0037348000332713127
28,20513.0,100.0,A-only,0.0,28,feas_A_p4h7_d05,1400.0,14,greedy+insertion,,,,python,complete,21913.0,0.0013493001461029053
28,20513.0,100.0,A-only,0.0,28,feas_A_p4h7_d05,1400.0,14,repair,,,,python,complete,21913.0,0.0011020000092685223
28,20513.0,100.0,A-only,0.0,28,feas_A_p4h7_d05,1400.0,14,local_search,,,,python,complete,21913.0,0.019962799968197942
28,21014.0,100.0,A-only,42000.0,28,feas_A_p4h7_d05,1400.0,14,dijkstra,,,,python,complete,64414.0,0.02563480008393526
28,13027.0,100.0,A-only,0.0,28,feas_A_p4h7_d05,1400.0,14,aco,,,,python,complete,14427.0,0.1625566000584513
,13027.0,,A-only,0.0,28,feas_A_p4h7_d05,0.0,0,classical_milp,0.0,212,984,highs,optimal,13027.0,0.07971139997243881
,16523.0,,A-only,0.0,28,feas_A_p4h7_d05,1000.0,10,integrated_milp,0.0,1964,984,highs,optimal,17523.0,0.5423568999394774
16,11461.0,100.0,AB,0.0,16,feas_AB_p4h7_d05,800.0,8,greedy,,,,python,complete,12261.0,0.0007671001367270947
16,11461.0,100.0,AB,0.0,16,feas_AB_p4h7_d05,800.0,8,insertion,,,,python,complete,12261.0,0.0011736999731510878
16,11461.0,100.0,AB,0.0,16,feas_AB_p4h7_d05,800.0,8,greedy+insertion,,,,python,complete,12261.0,0.0005477999802678823
16,11461.0,100.0,AB,0.0,16,feas_AB_p4h7_d05,800.0,8,repair,,,,python,complete,12261.0,0.0005403999239206314
16,11461.0,100.0,AB,0.0,16,feas_AB_p4h7_d05,800.0,8,local_search,,,,python,complete,12261.0,0.005385000025853515
16,12446.0,100.0,AB,42000.0,16,feas_AB_p4h7_d05,800.0,8,dijkstra,,,,python,complete,55246.0,0.005930500105023384
