instance,H,P,F,formulation,status,objective,vars,constraints,cpu_s,build_s,wall_s,error
DataCplex_density=1_p=10_h=15_test_0.json,15,10,40,legacy_paper_c13,optimal,19586.0,2520,4304,0.39032506942749023,0.177789,0.805017,
DataCplex_density=1_p=10_h=15_test_0.json,15,10,40,legacy_endpoint_split,optimal,19586.0,2520,5084,0.3970000743865967,0.185228,0.824234,
DataCplex_density=1_p=10_h=15_test_0.json,15,10,40,legacy_corrected,optimal,19586.0,2660,4064,0.3489990234375,0.094454,0.704651,
DataCplex_density=1_p=10_h=15_test_0.json,15,10,40,event_based,optimal,19586.0,1000,3898,0.3250002861022949,0.140001,0.677517,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,40,legacy_paper_c13,optimal,19570.0,2520,4304,0.38499999046325684,0.177106,0.779313,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,40,legacy_endpoint_split,optimal,19570.0,2520,5084,0.39826011657714844,0.183811,0.829847,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,40,legacy_corrected,optimal,19570.0,2660,4064,0.34800004959106445,0.141546,0.712777,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,40,event_based,optimal,19570.0,1000,3898,0.3249986171722412,0.066666,0.666777,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,40,legacy_paper_c13,optimal,19592.0,2520,4304,0.38499999046325684,0.181032,0.786637,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,40,legacy_endpoint_split,optimal,19592.0,2520,5084,0.3959999084472656,0.182533,0.824049,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,40,legacy_corrected,optimal,19592.0,2660,4064,0.352586030960083,0.139367,0.708015,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,40,event_based,optimal,19592.0,1000,3898,0.32199954986572266,0.068122,0.664764,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,36,legacy_paper_c13,optimal,17526.0,1720,3035,0.31911277770996094,0.128247,0.657972,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,36,legacy_endpoint_split,optimal,17526.0,1720,3315,0.3339998722076416,0.086786,0.685157,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,36,legacy_corrected,optimal,17526.0,1810,3095,0.32700109481811523,0.116932,0.655756,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,36,event_based,optimal,17526.0,900,3455,0.305999755859375,0.058879,0.642264,
