instance,H,P,F,formulation,status,objective,vars,constraints,cpu_s,build_s,wall_s,error
DataCplex_density=1_p=10_h=15_test_0.json,15,10,60,legacy_paper_c13,optimal,28914.0,3370,6714,0.4250016212463379,0.240445,0.931519,
DataCplex_density=1_p=10_h=15_test_0.json,15,10,60,legacy_endpoint_split,optimal,29914.0,3370,7494,0.47299838066101074,0.29649,0.999276,
DataCplex_density=1_p=10_h=15_test_0.json,15,10,60,legacy_corrected,infeasible,,3510,6474,0.2870028018951416,0.199858,0.698824,
DataCplex_density=1_p=10_h=15_test_0.json,15,10,60,event_based,optimal,30914.0,1500,6477,0.41500234603881836,0.15391,0.814795,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,60,legacy_paper_c13,optimal,28886.0,3370,6714,0.4200005531311035,0.247633,0.900574,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,60,legacy_endpoint_split,optimal,29886.0,3370,7494,0.4720010757446289,0.296595,1.002332,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,60,legacy_corrected,infeasible,,3510,6474,0.2869987487792969,0.202085,0.699696,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,60,event_based,optimal,30886.0,1500,6477,0.4199991226196289,0.16307,0.853455,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,60,legacy_paper_c13,optimal,28875.0,3370,6714,0.4295966625213623,0.254566,0.915788,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,60,legacy_endpoint_split,optimal,29875.0,3370,7494,0.4759986400604248,0.302487,1.007586,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,60,legacy_corrected,infeasible,,3510,6474,0.2890000343322754,0.205318,0.702511,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,60,event_based,optimal,30875.0,1500,6477,0.41699957847595215,0.158924,0.818505,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,50,legacy_paper_c13,optimal,24235.0,1910,3288,0.3660008907318115,0.104559,0.732184,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,50,legacy_endpoint_split,optimal,24935.0,1910,3498,0.36800241470336914,0.15743,0.747724,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,50,legacy_corrected,infeasible,,1990,3378,0.28099966049194336,0.090798,0.628598,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,50,event_based,optimal,25735.0,1250,5363,0.37999987602233887,0.135664,0.769818,
