instance,H,P,F,formulation,status,objective,vars,constraints,cpu_s,build_s,wall_s,error
DataCplex_density=1_p=10_h=15_test_0.json,15,10,60,legacy_a,optimal,29914.0,3370,7494,0.5379188060760498,0.237951,1.075419,
DataCplex_density=1_p=10_h=15_test_0.json,15,10,60,compact_a_event,optimal,29914.0,7320,18780,0.740041971206665,0.616852,1.560627,
DataCplex_density=1_p=10_h=15_test_0.json,15,10,60,ordered_a_event,optimal,29914.0,1500,5747,0.43770837783813477,0.220722,0.818485,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,60,legacy_a,optimal,29886.0,3370,7494,0.5388250350952148,0.249745,1.055696,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,60,compact_a_event,optimal,29886.0,7320,18780,0.7407228946685791,0.686546,1.569255,
DataCplex_density=1_p=10_h=21_test_0.json,21,10,60,ordered_a_event,optimal,29886.0,1500,5747,0.43807411193847656,0.113256,0.827527,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,60,legacy_a,optimal,29875.0,3370,7494,0.5372664928436279,0.393652,1.074072,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,60,compact_a_event,optimal,29875.0,7320,18780,0.740473747253418,0.584868,1.53521,
DataCplex_density=1_p=10_h=30_test_0.json,30,10,60,ordered_a_event,optimal,29875.0,1500,5747,0.4364478588104248,0.219638,0.820306,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,50,legacy_a,optimal,24935.0,1910,3498,0.4373166561126709,0.103633,0.809661,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,50,compact_a_event,optimal,24935.0,5615,14230,0.5382936000823975,0.4689,1.200807,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,50,ordered_a_event,optimal,24935.0,1250,4793,0.43694043159484863,0.162813,0.79761,
