instance,H,P,F,formulation,status,objective,vars,constraints,cpu_s,build_s,wall_s,error
DataCplex_density=1_p=10_h=7_test_0.json,7,10,36,legacy_paper_c13,optimal,17526.0,1720,3035,0.3372623920440674,0.092334,0.719042,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,36,legacy_endpoint_split,optimal,17526.0,1720,3315,0.3360016345977783,0.156704,0.705635,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,36,legacy_corrected,optimal,17526.0,1810,3095,0.31400179862976074,0.076424,0.648694,
DataCplex_density=1_p=10_h=7_test_0.json,7,10,36,event_based,optimal,17526.0,900,4205,0.3541250228881836,0.107894,0.720913,
DataCplex_density=1_p=15_h=7_test_0.json,7,15,52,legacy_paper_c13,optimal,25243.0,3435,6556,0.4100003242492676,0.222839,0.883896,
DataCplex_density=1_p=15_h=7_test_0.json,7,15,52,legacy_endpoint_split,optimal,25243.0,3435,6976,0.385955810546875,0.222824,0.837448,
DataCplex_density=1_p=15_h=7_test_0.json,7,15,52,legacy_corrected,optimal,25243.0,3570,6646,0.3599987030029297,0.192655,0.768965,
DataCplex_density=1_p=15_h=7_test_0.json,7,15,52,event_based,optimal,25243.0,1950,9740,0.3696320056915283,0.185072,0.814893,
DataCplex_density=1_p=20_h=7_test_0.json,7,20,70,legacy_paper_c13,optimal,34027.0,5900,13019,0.4419991970062256,0.401601,1.023774,
DataCplex_density=1_p=20_h=7_test_0.json,7,20,70,legacy_endpoint_split,optimal,34027.0,5900,13579,0.4669983386993408,0.421748,1.079396,
DataCplex_density=1_p=20_h=7_test_0.json,7,20,70,legacy_corrected,optimal,34027.0,6080,13139,0.42999982833862305,0.359087,0.978769,
DataCplex_density=1_p=20_h=7_test_0.json,7,20,70,event_based,optimal,34027.0,3500,19355,0.46200013160705566,0.367604,1.067776,
DataCplex_density=1_p=5_h=7_test_0.json,7,5,20,legacy_paper_c13,optimal,9800.0,535,954,0.28299832344055176,0.031608,0.57158,
DataCplex_density=1_p=5_h=7_test_0.json,7,5,20,legacy_endpoint_split,optimal,9800.0,535,1094,0.2890007495880127,0.032836,0.585721,
DataCplex_density=1_p=5_h=7_test_0.json,7,5,20,legacy_corrected,optimal,9800.0,580,984,0.28799891471862793,0.027698,0.574819,
DataCplex_density=1_p=5_h=7_test_0.json,7,5,20,event_based,optimal,9800.0,250,1098,0.2850015163421631,0.021011,0.571679,
