instance,P,F,formulation,status,objective,vars,constraints,cpu_s,build_s,wall_s,peak_rss_mb
data\feasible_instances\abcd_fleet_scaling\p=10\DataCplex_density=1_p=10_h=7_test_0.json,10,20,legacy,optimal,10327.0,2460,4932,0.2960021495819092,0.112338,0.723223,122.324
data\feasible_instances\abcd_fleet_scaling\p=10\DataCplex_density=1_p=10_h=7_test_0.json,10,20,ordered_abcd,optimal,10327.0,1000,3657,0.2909986972808838,0.063844,0.627797,125.555
data\feasible_instances\abcd_fleet_scaling\p=10\DataCplex_density=1_p=10_h=7_test_0.json,10,20,event_exact,optimal,10327.0,1800,5344,0.28800034523010254,0.174955,0.705783,127.207
data\feasible_instances\abcd_fleet_scaling\p=15\DataCplex_density=1_p=15_h=7_test_0.json,15,30,legacy,optimal,15441.0,4620,8865,0.3385944366455078,0.233799,0.829533,131.805
data\feasible_instances\abcd_fleet_scaling\p=15\DataCplex_density=1_p=15_h=7_test_0.json,15,30,ordered_abcd,optimal,15441.0,2250,8340,0.3709986209869385,0.188293,0.817143,132.039
data\feasible_instances\abcd_fleet_scaling\p=15\DataCplex_density=1_p=15_h=7_test_0.json,15,30,event_exact,optimal,15441.0,4680,15787,0.3690018653869629,0.570105,1.256953,148.414
data\feasible_instances\abcd_fleet_scaling\p=20\DataCplex_density=1_p=20_h=7_test_0.json,20,40,legacy,optimal,20592.0,7560,14298,0.38088393211364746,0.453841,1.035952,149.312
data\feasible_instances\abcd_fleet_scaling\p=20\DataCplex_density=1_p=20_h=7_test_0.json,20,40,ordered_abcd,optimal,20592.0,4000,15138,0.40999865531921387,0.360115,1.003494,142.441
data\feasible_instances\abcd_fleet_scaling\p=20\DataCplex_density=1_p=20_h=7_test_0.json,20,40,event_exact,optimal,20592.0,9480,35029,0.4438958168029785,1.100584,1.786663,189.852
data\feasible_instances\abcd_fleet_scaling\p=5\DataCplex_density=1_p=5_h=7_test_0.json,5,10,legacy,optimal,5139.0,880,1830,0.26799726486206055,0.039703,0.570983,190.039
data\feasible_instances\abcd_fleet_scaling\p=5\DataCplex_density=1_p=5_h=7_test_0.json,5,10,ordered_abcd,optimal,5139.0,250,907,0.264998197555542,0.018744,0.548369,190.047
data\feasible_instances\abcd_fleet_scaling\p=5\DataCplex_density=1_p=5_h=7_test_0.json,5,10,event_exact,optimal,5139.0,380,922,0.26400017738342285,0.031101,0.546741,190.07
