stem,P,H,F,vars,constraints,nodes_max,gap_pct,cpu_s,objective,formulation,routing_scope,status,build_s,wall_s,solver,time_limit_s,error
ABCD_capacity_bottleneck_test,3,3,8,648,1234,,,0.347597,8300.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,0.039247,0.677343,cplexamp,60,
ABCD_capacity_bottleneck_test,3,3,8,177,541,,,0.264999,,event_exact_state,connected_event_arcs_no_ferry,infeasible,0.020247,0.546812,cplexamp,60,
ABCD_check_hierarchy_test,4,4,13,1092,2445,,,0.318998,14700.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,0.059603,0.635598,cplexamp,60,
ABCD_check_hierarchy_test,4,4,13,439,1552,,,0.280042,,event_exact_state,connected_event_arcs_no_ferry,infeasible,0.10376,0.602824,cplexamp,60,
ABCD_near_threshold_test,6,4,20,2232,5280,,,0.377002,21100.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,0.155626,0.754757,cplexamp,60,
ABCD_near_threshold_test,6,4,20,1182,4741,,,0.28004,,event_exact_state,connected_event_arcs_no_ferry,infeasible,0.147812,0.653642,cplexamp,60,
ABCD_two_b_one_c_test,5,15,14,2530,6261,,,0.397002,,legacy_endpoint_split,legacy_day_indexed_routing,infeasible,0.17862,0.846344,cplexamp,60,
ABCD_two_b_one_c_test,5,15,14,635,2342,,,0.327,,event_exact_state,connected_event_arcs_no_ferry,infeasible,0.061295,0.747067,cplexamp,60,
DataCplex_density=0.5_p=10_h=7_test_0,10,7,102,14540,42899,,,1.566329,827858.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,1.349484,2.641693,cplexamp,60,
DataCplex_density=0.5_p=10_h=7_test_0,10,7,102,11978,52119,,,14.290545,827858.0,event_exact_state,connected_event_arcs_no_ferry,optimal,1.579435,15.945464,cplexamp,60,
DataCplex_density=0.5_p=10_h=15_test_0,10,15,140,37590,93426,,,3.496742,1132028.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,2.988181,5.865264,cplexamp,60,
DataCplex_density=0.5_p=10_h=15_test_0,10,15,140,18064,79832,,,9.261616,1132028.0,event_exact_state,connected_event_arcs_no_ferry,optimal,2.313467,11.700167,cplexamp,60,
DataCplex_density=0.5_p=10_h=21_test_0,10,20,109,37790,80412,,,3.080275,880853.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,2.850503,5.399338,cplexamp,60,
DataCplex_density=0.5_p=10_h=21_test_0,10,20,109,13042,56425,,,8.925848,881263.0,event_exact_state,connected_event_arcs_no_ferry,optimal,1.75663,10.67016,cplexamp,60,
