stem,P,H,F,vars,constraints,nodes_max,gap_pct,cpu_s,objective,formulation,routing_scope,status,build_s,wall_s,solver,time_limit_s,error
ABCD_capacity_bottleneck_test,3,3,8,744,1510,,,0.361487,8300.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,0.040075,0.674751,cplexamp,60,
ABCD_capacity_bottleneck_test,3,3,8,177,541,,,0.259997,,event_exact_state,connected_event_arcs_no_ferry,infeasible,0.020471,0.53051,cplexamp,60,
ABCD_check_hierarchy_test,4,4,13,1220,2813,,,0.314004,15900.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,0.061362,0.625007,cplexamp,60,
ABCD_check_hierarchy_test,4,4,13,439,1552,,,0.265001,,event_exact_state,connected_event_arcs_no_ferry,infeasible,0.076266,0.559246,cplexamp,60,
ABCD_near_threshold_test,6,4,20,2424,5832,,,0.376,25600.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,0.131486,0.752961,cplexamp,60,
ABCD_near_threshold_test,6,4,20,1182,4741,,,0.272004,,event_exact_state,connected_event_arcs_no_ferry,infeasible,0.137319,0.637488,cplexamp,60,
ABCD_two_b_one_c_test,5,15,14,2850,7201,,,0.369356,,legacy_endpoint_split,legacy_day_indexed_routing,infeasible,0.181695,0.779255,cplexamp,60,
ABCD_two_b_one_c_test,5,15,14,635,2342,,,0.27,,event_exact_state,connected_event_arcs_no_ferry,infeasible,0.057575,0.57953,cplexamp,60,
DataCplex_density=0.5_p=10_h=7_test_0,10,7,102,14860,43819,,,2.294873,827858.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,1.329863,3.369413,cplexamp,60,
DataCplex_density=0.5_p=10_h=7_test_0,10,7,102,11978,52119,,,13.793827,827858.0,event_exact_state,connected_event_arcs_no_ferry,optimal,1.480898,15.465144,cplexamp,60,
DataCplex_density=0.5_p=10_h=15_test_0,10,15,140,38230,95306,,,4.73828,1132028.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,2.937145,7.273055,cplexamp,60,
DataCplex_density=0.5_p=10_h=15_test_0,10,15,140,18064,79832,,,9.603495,1132028.0,event_exact_state,connected_event_arcs_no_ferry,optimal,2.472351,12.026315,cplexamp,60,
DataCplex_density=0.5_p=10_h=21_test_0,10,20,109,38630,82892,,,3.920725,881263.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,2.908204,6.361414,cplexamp,60,
DataCplex_density=0.5_p=10_h=21_test_0,10,20,109,13042,56425,,,8.834551,881263.0,event_exact_state,connected_event_arcs_no_ferry,optimal,1.752423,10.739474,cplexamp,60,
