case,file,P,H,F,formulation,status,objective,vars,constraints,cpu_s,wall_s,build_s,error
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_paper_c13,optimal,400.0,47,96,0.25601720809936523,0.536602,0.010607,
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_endpoint_split,optimal,400.0,47,117,0.296978235244751,0.565262,0.009113,
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_corrected,infeasible,,55,105,0.27154064178466797,0.567075,0.01199,
c13_loophole_test,c13_loophole_test.json,1,4,3,event_based,optimal,500.0,9,39,0.26199936866760254,0.53724,0.005623,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_paper_c13,optimal,600.0,144,238,0.2705416679382324,0.541025,0.013304,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_endpoint_split,optimal,600.0,144,280,0.2719151973724365,0.529126,0.01379,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_corrected,optimal,600.0,160,256,0.270294189453125,0.539168,0.012877,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,event_based,optimal,600.0,36,138,0.2573812007904053,0.513871,0.006798,
perf_p=10_h=15,perf_p=10_h=15.json,10,13,40,legacy_paper_c13,optimal,19586.0,2520,4304,0.3835158348083496,0.778894,0.171328,
perf_p=10_h=15,perf_p=10_h=15.json,10,13,40,legacy_endpoint_split,optimal,19586.0,2520,5084,0.39501190185546875,0.825539,0.188361,
perf_p=10_h=15,perf_p=10_h=15.json,10,13,40,legacy_corrected,optimal,19586.0,2660,4064,0.3450312614440918,0.700457,0.136941,
perf_p=10_h=15,perf_p=10_h=15.json,10,13,40,event_based,optimal,19586.0,1000,4398,0.32494163513183594,0.66914,0.068997,
perf_p=10_h=30,perf_p=10_h=30.json,10,13,40,legacy_paper_c13,optimal,19592.0,2520,4304,0.38094305992126465,0.774331,0.179744,
perf_p=10_h=30,perf_p=10_h=30.json,10,13,40,legacy_endpoint_split,optimal,19592.0,2520,5084,0.4091060161590576,0.84306,0.18047,
