case,file,P,H,F,formulation,status,objective,vars,constraints,cpu_s,wall_s,build_s,error
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_paper_c13,optimal,400.0,47,96,0.26007771492004395,0.540493,0.010779,
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_endpoint_split,optimal,400.0,47,117,0.2722601890563965,0.531756,0.009602,
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_corrected,infeasible,,55,105,0.2779693603515625,0.54086,0.010582,
c13_loophole_test,c13_loophole_test.json,1,4,3,event_based,optimal,500.0,9,39,0.26244091987609863,0.523198,0.005901,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_paper_c13,optimal,600.0,144,238,0.27781033515930176,0.576802,0.015276,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_endpoint_split,optimal,600.0,144,280,0.274000883102417,0.543719,0.017077,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_corrected,optimal,600.0,160,256,0.26764583587646484,0.529916,0.012657,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,event_based,optimal,600.0,36,138,0.2609994411468506,0.52576,0.007408,
perf_p=10_h=15,perf_p=10_h=15.json,10,13,40,legacy_paper_c13,optimal,19586.0,2520,4304,0.38693737983703613,0.779939,0.169628,
perf_p=10_h=15,perf_p=10_h=15.json,10,13,40,legacy_endpoint_split,optimal,19586.0,2520,5084,0.39763712882995605,0.823962,0.180673,
perf_p=10_h=15,perf_p=10_h=15.json,10,13,40,legacy_corrected,optimal,19586.0,2660,4064,0.34731531143188477,0.703723,0.138655,
perf_p=10_h=15,perf_p=10_h=15.json,10,13,40,event_based,optimal,19586.0,1000,4398,0.32201099395751953,0.664258,0.07001,
perf_p=10_h=30,perf_p=10_h=30.json,10,13,40,legacy_paper_c13,optimal,19592.0,2520,4304,0.3840062618255615,0.778174,0.180515,
perf_p=10_h=30,perf_p=10_h=30.json,10,13,40,legacy_endpoint_split,optimal,19592.0,2520,5084,0.3957631587982178,0.819769,0.192553,
perf_p=10_h=30,perf_p=10_h=30.json,10,13,40,legacy_corrected,optimal,19592.0,2660,4064,0.3486459255218506,0.707562,0.136934,
perf_p=10_h=30,perf_p=10_h=30.json,10,13,40,event_based,optimal,19592.0,1000,4398,0.318622350692749,0.665372,0.068602,
perf_p=10_h=40,perf_p=10_h=40.json,10,13,40,legacy_paper_c13,optimal,19585.0,2520,4304,0.39427924156188965,0.787249,0.176478,
perf_p=10_h=40,perf_p=10_h=40.json,10,13,40,legacy_endpoint_split,optimal,19585.0,2520,5084,0.39740896224975586,0.823581,0.180229,
perf_p=10_h=40,perf_p=10_h=40.json,10,13,40,legacy_corrected,optimal,19585.0,2660,4064,0.3437235355377197,0.691465,0.139214,
perf_p=10_h=40,perf_p=10_h=40.json,10,13,40,event_based,optimal,19585.0,1000,4398,0.326000452041626,0.66832,0.070077,
perf_p=10_h=50,perf_p=10_h=50.json,10,13,40,legacy_paper_c13,optimal,19561.0,2520,4304,0.3852980136871338,0.775586,0.178052,
perf_p=10_h=50,perf_p=10_h=50.json,10,13,40,legacy_endpoint_split,optimal,19561.0,2520,5084,0.39931273460388184,0.867037,0.180394,
perf_p=10_h=50,perf_p=10_h=50.json,10,13,40,legacy_corrected,optimal,19561.0,2660,4064,0.3441789150238037,0.696326,0.093205,
perf_p=10_h=50,perf_p=10_h=50.json,10,13,40,event_based,optimal,19561.0,1000,4398,0.32102417945861816,0.666572,0.117874,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_paper_c13,optimal,17526.0,1720,3035,0.32494640350341797,0.664197,0.083961,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_endpoint_split,optimal,17526.0,1720,3315,0.34552597999572754,0.694935,0.129186,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_corrected,optimal,17526.0,1810,3095,0.3090031147003174,0.642007,0.075987,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,event_based,optimal,17526.0,900,4205,0.3120145797729492,0.654072,0.110167,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_paper_c13,optimal,37127.0,10680,17393,0.7411062717437744,1.602971,0.797076,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_endpoint_split,optimal,37127.0,10680,19793,0.9071247577667236,1.947995,0.859686,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_corrected,optimal,37127.0,11020,16313,0.523127555847168,1.196122,0.699353,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,event_based,optimal,37127.0,3800,17777,0.4835245609283447,1.085409,0.402295,
perf_p=20_h=30,perf_p=20_h=30.json,20,23,80,legacy_paper_c13,optimal,39221.0,13840,22704,1.05784273147583,2.264257,1.293487,
perf_p=20_h=30,perf_p=20_h=30.json,20,23,80,legacy_endpoint_split,optimal,39221.0,13840,27764,1.6816232204437256,3.232964,1.3943,
perf_p=20_h=30,perf_p=20_h=30.json,20,23,80,legacy_corrected,optimal,39221.0,14320,19524,0.6668131351470947,1.511328,0.722081,
perf_p=20_h=30,perf_p=20_h=30.json,20,23,80,event_based,optimal,39221.0,4000,17598,0.5371851921081543,1.149919,0.428258,
perf_p=20_h=40,perf_p=20_h=40.json,20,23,80,legacy_paper_c13,optimal,39243.0,13840,22704,1.0330328941345215,2.207181,1.31213,
