AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FLIGHT,F8,A,I,363.0,119.0,20916.0,69196.0,471.748,2328.748
0,FLIGHT,F9,I,A,518.0,127.0,20797.0,69077.0,471.64,2328.64
0,FLIGHT,F40,A,F,1803.0,109.0,20670.0,68950.0,470.748,2327.748
0,FLIGHT,F41,F,A,1953.0,62.0,20561.0,68841.0,470.644,2327.644
0,FLIGHT,F88,A,K,3246.0,116.0,20499.0,68779.0,469.746,2326.746
0,FLIGHT,F89,K,A,3411.0,144.0,20383.0,68663.0,469.631,2326.631
0,FLIGHT,F136,A,P,4680.0,150.0,20239.0,68519.0,468.75,2325.75
0,FLIGHT,F137,P,A,4868.0,81.0,20089.0,68369.0,468.619,2325.619
0,FLIGHT,F160,A,I,6125.0,128.0,20008.0,68288.0,467.747,2324.747
0,FLIGHT,F199,I,D,6265.0,146.0,19880.0,68160.0,467.649,2324.649
0,FLIGHT,F222,D,B,7564.0,134.0,19734.0,68014.0,466.747,2323.747
0,FLIGHT,F223,B,D,7744.0,125.0,19600.0,67880.0,466.622,2323.622
0,FLIGHT,F254,D,R,9000.0,128.0,19475.0,67755.0,465.75,2322.75
0,FLIGHT,F255,R,D,9168.0,107.0,19347.0,67627.0,465.633,2322.633
0,FLIGHT,F318,D,L,10443.0,107.0,19240.0,67520.0,464.748,2321.748
0,FLIGHT,F281,L,A,10587.0,130.0,19133.0,67413.0,464.648,2321.648
1,FLIGHT,F2,B,F,374.0,90.0,20503.0,68409.0,452.74,2321.74
1,FLIGHT,F3,F,B,496.0,90.0,20413.0,68319.0,452.656,2321.656
1,FLIGHT,F58,B,O,1800.0,79.0,20323.0,68229.0,451.75,2320.75
1,FLIGHT,F59,O,B,1917.0,147.0,20244.0,68150.0,451.669,2320.669
1,FLIGHT,F98,B,P,3240.0,92.0,20097.0,68003.0,450.75,2319.75
1,FLIGHT,F99,P,B,3379.0,143.0,20005.0,67911.0,450.653,2319.653
1,FLIGHT,F154,B,F,4680.0,72.0,19862.0,67768.0,449.75,2318.75
1,FLIGHT,F155,F,B,4797.0,72.0,19790.0,67696.0,449.669,2318.669
1,FLIGHT,F170,B,N,6124.0,148.0,19718.0,67624.0,448.747,2317.747
1,FLIGHT,F171,N,B,6307.0,102.0,19570.0,67476.0,448.62,2317.62
1,FLIGHT,F210,B,O,7561.0,136.0,19468.0,67374.0,447.749,2316.749
1,FLIGHT,F211,O,B,7735.0,79.0,19332.0,67238.0,447.628,2316.628
1,FLIGHT,F274,B,I,9004.0,66.0,19253.0,67159.0,446.747,2315.747
1,FLIGHT,F275,I,B,9101.0,84.0,19187.0,67093.0,446.68,2315.68
1,FLIGHT,F306,B,F,10440.0,125.0,19103.0,67009.0,445.75,2314.75
1,FLIGHT,F307,F,B,10611.0,143.0,18978.0,66884.0,445.631,2314.631
2,FLIGHT,F36,C,D,367.0,103.0,20238.0,68225.0,456.745,2198.745
2,FLIGHT,F37,D,C,509.0,147.0,20135.0,68122.0,456.647,2198.647
2,FLIGHT,F52,C,L,1814.0,109.0,19988.0,67975.0,455.74,2197.74
2,FLIGHT,F53,L,C,1965.0,72.0,19879.0,67866.0,455.635,2197.635
2,FLIGHT,F92,C,M,3247.0,70.0,19807.0,67794.0,454.745,2196.745
2,FLIGHT,F93,M,C,3363.0,100.0,19737.0,67724.0,454.665,2196.665
2,FLIGHT,F132,C,N,4688.0,94.0,19637.0,67624.0,453.744,2195.744
2,FLIGHT,F133,N,C,4814.0,131.0,19543.0,67530.0,453.657,2195.657
2,FLIGHT,F180,C,S,6127.0,73.0,19412.0,67399.0,452.745,2194.745
2,FLIGHT,F181,S,C,6237.0,140.0,19339.0,67326.0,452.669,2194.669
2,FLIGHT,F212,C,P,7561.0,74.0,19199.0,67186.0,451.749,2193.749
2,FLIGHT,F213,P,C,7675.0,77.0,19125.0,67112.0,451.67,2193.67
2,FLIGHT,F268,C,F,9005.0,103.0,19048.0,67035.0,450.747,2192.747
2,FLIGHT,F269,F,C,9158.0,86.0,18945.0,66932.0,450.64,2192.64
2,FLIGHT,F316,C,K,10440.0,143.0,18859.0,66846.0,449.75,2191.75
2,FLIGHT,F317,K,C,10628.0,112.0,18716.0,66703.0,449.619,2191.619
3,FLIGHT,F38,D,E,374.0,93.0,19878.0,65322.0,424.74,2163.74
3,FLIGHT,F1,E,A,511.0,97.0,19785.0,65229.0,424.645,2163.645
3,FLIGHT,F56,A,N,1815.0,99.0,19688.0,65132.0,423.74,2162.74
3,FLIGHT,F57,N,A,1958.0,62.0,19589.0,65033.0,423.64,2162.64
3,FLIGHT,F112,A,D,3248.0,138.0,19527.0,64971.0,422.744,2161.744
3,FLIGHT,F113,D,A,3428.0,114.0,19389.0,64833.0,422.619,2161.619
3,FLIGHT,F120,A,H,4694.0,123.0,19275.0,64719.0,421.74,2160.74
