stem,method,status,objective,score,flights,assigned,unassigned,gap_pct,wall_s,cpu_s,violations,solver,solver_attempt_order,num_vars,num_constraints,returncode
DataCplex_density=1_p=10_h=7_test_0,greedy_baseline,feasible,1620593.000000,10920593.000000,234,141,93,,1.034052,,93,,,,,0
DataCplex_density=1_p=10_h=7_test_0,dijkstra_heuristic,feasible,1421556.000000,13321556.000000,234,115,119,,3.178600,,119,,,,,0
DataCplex_density=1_p=10_h=7_test_0,aco_heuristic,feasible,239135.000000,21139135.000000,234,25,209,,74.734962,,209,,,,,0
DataCplex_density=1_p=10_h=7_test_0,bruteforce_exact,not_applicable,0.000000,23400000.000000,234,0,234,,0.000000,,234,,,,,0
DataCplex_density=1_p=10_h=7_test_0,milp_compact,infeasible,0.000000,23400000.000000,234,0,234,nan,12.286072,6.709048,234,cplex,"cplex,cplex_direct,cplex_persistent,gurobi,glpk,cbc",,,0
DataCplex_density=1_p=10_h=7_test_0,dp_exact_small,not_applicable,0.000000,23400000.000000,234,0,234,,0.000000,,234,,,,,0
DataCplex_density=1_p=10_h=15_test_0,greedy_baseline,feasible,3338053.000000,16938053.000000,420,284,136,,5.592462,,136,,,,,0
DataCplex_density=1_p=10_h=15_test_0,dijkstra_heuristic,feasible,1802971.000000,29602971.000000,420,142,278,,14.751006,,278,,,,,0
DataCplex_density=1_p=10_h=15_test_0,aco_heuristic,feasible,265968.000000,39065968.000000,420,32,388,,179.812987,,388,,,,,0
DataCplex_density=1_p=10_h=15_test_0,bruteforce_exact,not_applicable,0.000000,42000000.000000,420,0,420,,0.000000,,420,,,,,0
DataCplex_density=1_p=10_h=15_test_0,milp_compact,error,0.000000,42000000.000000,420,0,420,nan,79.565103,61.036346,420,cplex,"cplex,cplex_direct,cplex_persistent,gurobi,glpk,cbc",,,0
DataCplex_density=1_p=10_h=15_test_0,dp_exact_small,not_applicable,0.000000,42000000.000000,420,0,420,,0.000000,,420,,,,,0
DataCplex_density=1_p=10_h=21_test_0,greedy_baseline,feasible,4020092.000000,18920092.000000,498,349,149,,9.339118,,149,,,,,0
DataCplex_density=1_p=10_h=21_test_0,dijkstra_heuristic,feasible,2335652.000000,34135652.000000,498,180,318,,22.818716,,318,,,,,0
DataCplex_density=1_p=10_h=21_test_0,aco_heuristic,feasible,329613.000000,46429613.000000,498,37,461,,271.970091,,461,,,,,0
DataCplex_density=1_p=10_h=21_test_0,bruteforce_exact,not_applicable,0.000000,49800000.000000,498,0,498,,0.000000,,498,,,,,0
DataCplex_density=1_p=10_h=21_test_0,milp_compact,error,0.000000,49800000.000000,498,0,498,nan,87.680887,61.579101,498,cplex,"cplex,cplex_direct,cplex_persistent,gurobi,glpk,cbc",,,0
DataCplex_density=1_p=10_h=21_test_0,dp_exact_small,not_applicable,0.000000,49800000.000000,498,0,498,,0.000000,,498,,,,,0
DataCplex_density=1_p=10_h=30_test_0,greedy_baseline,feasible,5033378.000000,21833378.000000,575,407,168,,14.391574,,168,,,,,0
DataCplex_density=1_p=10_h=30_test_0,dijkstra_heuristic,feasible,3165047.000000,36165047.000000,575,245,330,,47.849789,,330,,,,,0
DataCplex_density=1_p=10_h=30_test_0,aco_heuristic,feasible,316038.000000,54116038.000000,575,37,538,,333.677412,,538,,,,,0
DataCplex_density=1_p=10_h=30_test_0,bruteforce_exact,not_applicable,0.000000,57500000.000000,575,0,575,,0.000000,,575,,,,,0
DataCplex_density=1_p=10_h=30_test_0,milp_compact,error,0.000000,57500000.000000,575,0,575,nan,98.590440,62.262127,575,cplex,"cplex,cplex_direct,cplex_persistent,gurobi,glpk,cbc",,,0
DataCplex_density=1_p=10_h=30_test_0,dp_exact_small,not_applicable,0.000000,57500000.000000,575,0,575,,0.000000,,575,,,,,0
