stem,mode,flights,assigned,unassigned,status,objective,gap_pct,cpu_s,wall_s,num_vars,num_constraints,returncode
DataCplex_density=1_p=10_h=7_test_0,heuristic,234,141,93,feasible,1620593.000000,,,1.034052,,,0
DataCplex_density=1_p=10_h=7_test_0,heuristic,234,115,119,feasible,1421556.000000,,,3.178600,,,0
DataCplex_density=1_p=10_h=7_test_0,heuristic,234,25,209,feasible,239135.000000,,,74.734962,,,0
DataCplex_density=1_p=10_h=7_test_0,heuristic,234,0,234,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=1_p=10_h=7_test_0,milp,234,0,234,infeasible,0.000000,nan,6.709048,12.286072,,,0
DataCplex_density=1_p=10_h=7_test_0,heuristic,234,0,234,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=1_p=10_h=15_test_0,heuristic,420,284,136,feasible,3338053.000000,,,5.592462,,,0
DataCplex_density=1_p=10_h=15_test_0,heuristic,420,142,278,feasible,1802971.000000,,,14.751006,,,0
DataCplex_density=1_p=10_h=15_test_0,heuristic,420,32,388,feasible,265968.000000,,,179.812987,,,0
DataCplex_density=1_p=10_h=15_test_0,heuristic,420,0,420,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=1_p=10_h=15_test_0,milp,420,0,420,error,0.000000,nan,61.036346,79.565103,,,0
DataCplex_density=1_p=10_h=15_test_0,heuristic,420,0,420,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=1_p=10_h=21_test_0,heuristic,498,349,149,feasible,4020092.000000,,,9.339118,,,0
DataCplex_density=1_p=10_h=21_test_0,heuristic,498,180,318,feasible,2335652.000000,,,22.818716,,,0
DataCplex_density=1_p=10_h=21_test_0,heuristic,498,37,461,feasible,329613.000000,,,271.970091,,,0
DataCplex_density=1_p=10_h=21_test_0,heuristic,498,0,498,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=1_p=10_h=21_test_0,milp,498,0,498,error,0.000000,nan,61.579101,87.680887,,,0
DataCplex_density=1_p=10_h=21_test_0,heuristic,498,0,498,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=1_p=10_h=30_test_0,heuristic,575,407,168,feasible,5033378.000000,,,14.391574,,,0
DataCplex_density=1_p=10_h=30_test_0,heuristic,575,245,330,feasible,3165047.000000,,,47.849789,,,0
DataCplex_density=1_p=10_h=30_test_0,heuristic,575,37,538,feasible,316038.000000,,,333.677412,,,0
DataCplex_density=1_p=10_h=30_test_0,heuristic,575,0,575,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=1_p=10_h=30_test_0,milp,575,0,575,error,0.000000,nan,62.262127,98.590440,,,0
DataCplex_density=1_p=10_h=30_test_0,heuristic,575,0,575,not_applicable,0.000000,,,0.000000,,,0
