stem,method,status,objective,score,flights,assigned,unassigned,gap_pct,wall_s,cpu_s,violations,solver,solver_attempt_order,num_vars,num_constraints,returncode
DataCplex_density=0.5_p=10_h=7_test_0,greedy_baseline,feasible,980919.000000,980919.000000,102,102,0,,0.010077,,0,,,,,0
DataCplex_density=0.5_p=10_h=7_test_0,dijkstra_heuristic,feasible,1161550.000000,1161550.000000,102,102,0,,0.628439,,0,,,,,0
DataCplex_density=0.5_p=10_h=7_test_0,aco_heuristic,feasible,215423.000000,8215423.000000,102,22,80,,25.876643,,80,,,,,0
DataCplex_density=0.5_p=10_h=7_test_0,bruteforce_exact,not_applicable,0.000000,10200000.000000,102,0,102,,0.000000,,102,,,,,0
DataCplex_density=0.5_p=10_h=7_test_0,milp_compact,optimal,827858.000000,827858.000000,102,102,0,0.000075,3.691590,1.357332,0,cplex,"cplex,cplex_direct,cplex_persistent,gurobi,glpk,cbc",,,0
DataCplex_density=0.5_p=10_h=7_test_0,dp_exact_small,not_applicable,0.000000,10200000.000000,102,0,102,,0.000000,,102,,,,,0
DataCplex_density=0.5_p=10_h=15_test_0,greedy_baseline,feasible,1474618.000000,1474618.000000,140,140,0,,0.017884,,0,,,,,0
DataCplex_density=0.5_p=10_h=15_test_0,dijkstra_heuristic,feasible,1582391.000000,1582391.000000,140,140,0,,1.185523,,0,,,,,0
DataCplex_density=0.5_p=10_h=15_test_0,aco_heuristic,feasible,331033.000000,10931033.000000,140,34,106,,48.689999,,106,,,,,0
DataCplex_density=0.5_p=10_h=15_test_0,bruteforce_exact,not_applicable,0.000000,14000000.000000,140,0,140,,0.000000,,140,,,,,0
DataCplex_density=0.5_p=10_h=15_test_0,milp_compact,optimal,1132028.000000,1132028.000000,140,140,0,0.000000,8.466245,3.010479,0,cplex,"cplex,cplex_direct,cplex_persistent,gurobi,glpk,cbc",,,0
DataCplex_density=0.5_p=10_h=15_test_0,dp_exact_small,not_applicable,0.000000,14000000.000000,140,0,140,,0.000000,,140,,,,,0
DataCplex_density=0.5_p=10_h=21_test_0,greedy_baseline,feasible,1226875.000000,1226875.000000,109,109,0,,0.011896,,0,,,,,0
DataCplex_density=0.5_p=10_h=21_test_0,dijkstra_heuristic,feasible,1214856.000000,1214856.000000,109,109,0,,0.655423,,0,,,,,0
DataCplex_density=0.5_p=10_h=21_test_0,aco_heuristic,feasible,289267.000000,8189267.000000,109,30,79,,33.341900,,79,,,,,0
DataCplex_density=0.5_p=10_h=21_test_0,bruteforce_exact,not_applicable,0.000000,10900000.000000,109,0,109,,0.000000,,109,,,,,0
DataCplex_density=0.5_p=10_h=21_test_0,milp_compact,optimal,880853.000000,880853.000000,109,109,0,0.000000,8.176782,2.605726,0,cplex,"cplex,cplex_direct,cplex_persistent,gurobi,glpk,cbc",,,0
DataCplex_density=0.5_p=10_h=21_test_0,dp_exact_small,not_applicable,0.000000,10900000.000000,109,0,109,,0.000000,,109,,,,,0
