stem,mode,flights,assigned,unassigned,status,objective,gap_pct,cpu_s,wall_s,num_vars,num_constraints,returncode
DataCplex_density=0.5_p=10_h=7_test_0,heuristic,102,102,0,feasible,980919.000000,,,0.010077,,,0
DataCplex_density=0.5_p=10_h=7_test_0,heuristic,102,102,0,feasible,1161550.000000,,,0.628439,,,0
DataCplex_density=0.5_p=10_h=7_test_0,heuristic,102,22,80,feasible,215423.000000,,,25.876643,,,0
DataCplex_density=0.5_p=10_h=7_test_0,heuristic,102,0,102,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=0.5_p=10_h=7_test_0,milp,102,102,0,optimal,827858.000000,0.000075,1.357332,3.691590,,,0
DataCplex_density=0.5_p=10_h=7_test_0,heuristic,102,0,102,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=0.5_p=10_h=15_test_0,heuristic,140,140,0,feasible,1474618.000000,,,0.017884,,,0
DataCplex_density=0.5_p=10_h=15_test_0,heuristic,140,140,0,feasible,1582391.000000,,,1.185523,,,0
DataCplex_density=0.5_p=10_h=15_test_0,heuristic,140,34,106,feasible,331033.000000,,,48.689999,,,0
DataCplex_density=0.5_p=10_h=15_test_0,heuristic,140,0,140,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=0.5_p=10_h=15_test_0,milp,140,140,0,optimal,1132028.000000,0.000000,3.010479,8.466245,,,0
DataCplex_density=0.5_p=10_h=15_test_0,heuristic,140,0,140,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=0.5_p=10_h=21_test_0,heuristic,109,109,0,feasible,1226875.000000,,,0.011896,,,0
DataCplex_density=0.5_p=10_h=21_test_0,heuristic,109,109,0,feasible,1214856.000000,,,0.655423,,,0
DataCplex_density=0.5_p=10_h=21_test_0,heuristic,109,30,79,feasible,289267.000000,,,33.341900,,,0
DataCplex_density=0.5_p=10_h=21_test_0,heuristic,109,0,109,not_applicable,0.000000,,,0.000000,,,0
DataCplex_density=0.5_p=10_h=21_test_0,milp,109,109,0,optimal,880853.000000,0.000000,2.605726,8.176782,,,0
DataCplex_density=0.5_p=10_h=21_test_0,heuristic,109,0,109,not_applicable,0.000000,,,0.000000,,,0
