AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,B,C,0.0,60.0,,,,
0,FLIGHT,F3,C,D,501.0,153.0,900.0,1800.0,9.652,13.652
0,FERRY,FERRY,D,A,654.0,60.0,,,,
0,FLIGHT,F18,A,G,3675.0,153.0,747.0,1647.0,7.448,11.448
0,FLIGHT,F28,G,H,5241.0,119.0,594.0,1494.0,6.36,10.36
0,FERRY,FERRY,H,G,5360.0,60.0,,,,
0,FLIGHT,F42,G,H,9024.0,133.0,475.0,1375.0,3.733,7.733
1,FLIGHT,F2,H,A,490.0,166.0,900.0,1800.0,9.66,13.66
1,FLIGHT,F10,A,H,2438.0,166.0,734.0,1634.0,8.307,12.307
1,FLIGHT,F14,H,F,3474.0,105.0,568.0,1468.0,7.588,11.588
1,FERRY,FERRY,F,A,3579.0,60.0,,,,
1,FLIGHT,F17,A,D,3664.0,66.0,463.0,1363.0,7.456,11.456
1,FERRY,FERRY,D,H,3730.0,60.0,,,,
1,FLIGHT,F25,H,A,5117.0,148.0,397.0,1297.0,6.447,10.447
1,FLIGHT,F39,A,C,8077.0,156.0,249.0,1149.0,4.391,8.391
2,FERRY,FERRY,H,C,0.0,60.0,,,,
2,FLIGHT,F5,C,B,729.0,160.0,900.0,1800.0,9.494,13.494
2,FLIGHT,F13,B,D,3379.0,77.0,740.0,1640.0,7.653,11.653
2,FERRY,FERRY,D,B,3456.0,60.0,,,,
2,FLIGHT,F23,B,G,4767.0,95.0,663.0,1563.0,6.69,10.69
2,FLIGHT,F30,G,A,6170.0,94.0,568.0,1468.0,5.715,9.715
2,FLIGHT,F36,A,H,6830.0,73.0,474.0,1374.0,5.257,9.257
2,FERRY,FERRY,H,A,6903.0,60.0,,,,
2,FLIGHT,F43,A,G,9396.0,169.0,401.0,1301.0,3.475,7.475
3,FERRY,FERRY,A,E,0.0,60.0,,,,
3,FLIGHT,F6,E,C,816.0,74.0,900.0,1800.0,9.433,13.433
3,FERRY,FERRY,C,G,890.0,60.0,,,,
3,FLIGHT,F12,G,E,2513.0,143.0,826.0,1726.0,8.255,12.255
3,FLIGHT,F22,E,F,4723.0,154.0,683.0,1583.0,6.72,10.72
3,FLIGHT,F27,F,D,5220.0,121.0,529.0,1429.0,6.375,10.375
3,FLIGHT,F40,D,B,8273.0,63.0,408.0,1308.0,4.255,8.255
3,FERRY,FERRY,B,D,8336.0,60.0,,,,
3,FLIGHT,F44,D,F,9691.0,144.0,345.0,1245.0,3.27,7.27
4,FLIGHT,F4,E,B,519.0,169.0,900.0,1800.0,9.64,13.64
4,FERRY,FERRY,B,F,688.0,60.0,,,,
4,FLIGHT,F11,F,E,2460.0,121.0,731.0,1631.0,8.292,12.292
4,FLIGHT,F20,E,C,3796.0,83.0,610.0,1510.0,7.364,11.364
4,FERRY,FERRY,C,H,3879.0,60.0,,,,
4,FLIGHT,F24,H,D,5115.0,63.0,527.0,1427.0,6.448,10.448
4,FLIGHT,F32,D,G,6536.0,117.0,464.0,1364.0,5.461,9.461
4,FLIGHT,F34,G,F,6696.0,116.0,347.0,1247.0,5.35,9.35
4,FLIGHT,F35,F,A,6823.0,78.0,231.0,1131.0,5.262,9.262
4,MAINT,A,A,A,6901.0,90.0,,,,
4,FLIGHT,F41,A,B,9017.0,165.0,900.0,1053.0,3.738,7.738
4,FLIGHT,F45,B,F,9712.0,97.0,735.0,888.0,3.256,7.256
5,FERRY,FERRY,B,G,0.0,60.0,,,,
5,FLIGHT,F7,G,C,873.0,138.0,900.0,1800.0,9.394,13.394
5,FERRY,FERRY,C,H,1011.0,60.0,,,,
5,FLIGHT,F21,H,C,3864.0,61.0,762.0,1662.0,7.317,11.317
5,FERRY,FERRY,C,F,3925.0,60.0,,,,
5,FLIGHT,F31,F,C,6371.0,116.0,701.0,1601.0,5.576,9.576
5,FLIGHT,F37,C,E,7935.0,60.0,585.0,1485.0,4.49,8.49
6,FLIGHT,F1,D,B,392.0,99.0,900.0,1800.0,9.728,13.728
6,FLIGHT,F8,B,D,2392.0,87.0,801.0,1701.0,8.339,12.339
6,FLIGHT,F15,D,F,3525.0,157.0,714.0,1614.0,7.552,11.552
6,FERRY,FERRY,F,A,3682.0,60.0,,,,
6,FLIGHT,F19,A,C,3754.0,158.0,557.0,1457.0,7.393,11.393
6,FERRY,FERRY,C,E,3912.0,60.0,,,,
6,FLIGHT,F29,E,G,5471.0,100.0,399.0,1299.0,6.201,10.201
6,FLIGHT,F38,G,H,8070.0,73.0,299.0,1199.0,4.396,8.396
7,FERRY,FERRY,A,G,0.0,60.0,,,,
7,FLIGHT,F9,G,C,2409.0,68.0,900.0,1800.0,8.327,12.327
7,FERRY,FERRY,C,B,2477.0,60.0,,,,
7,FLIGHT,F16,B,D,3637.0,96.0,832.0,1732.0,7.474,11.474
7,FLIGHT,F26,D,A,5148.0,114.0,736.0,1636.0,6.425,10.425
7,FERRY,FERRY,A,B,5262.0,60.0,,,,
7,FLIGHT,F33,B,G,6557.0,104.0,622.0,1522.0,5.447,9.447
