AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FLIGHT,F1,E,H,390.0,69.0,900.0,1800.0,11.729,14.729
0,FERRY,FERRY,H,I,459.0,60.0,,,,
0,FLIGHT,F11,I,E,940.0,178.0,831.0,1731.0,11.347,14.347
0,FERRY,FERRY,E,H,1118.0,60.0,,,,
0,FLIGHT,F28,H,D,3930.0,108.0,653.0,1553.0,9.271,12.271
0,FERRY,FERRY,D,A,4038.0,60.0,,,,
0,FLIGHT,F40,A,D,6171.0,132.0,545.0,1445.0,7.715,10.715
0,FLIGHT,F50,D,G,6934.0,89.0,413.0,1313.0,7.185,10.185
0,FLIGHT,F51,G,I,7560.0,132.0,324.0,1224.0,6.75,9.75
0,FLIGHT,F59,I,G,8101.0,173.0,192.0,1092.0,6.374,9.374
0,FERRY,FERRY,G,A,8274.0,60.0,,,,
0,MAINT,A,A,A,8334.0,90.0,,,,
0,FLIGHT,F74,A,H,9661.0,150.0,900.0,919.0,5.291,8.291
0,FLIGHT,F86,H,F,11236.0,91.0,750.0,769.0,4.197,7.197
0,FLIGHT,F97,F,E,13559.0,82.0,659.0,678.0,2.584,5.584
0,FERRY,FERRY,E,B,13641.0,60.0,,,,
0,FLIGHT,F100,B,F,13940.0,169.0,577.0,596.0,2.319,5.319
1,FLIGHT,F2,H,E,403.0,97.0,900.0,1800.0,11.72,14.72
1,FERRY,FERRY,E,I,500.0,60.0,,,,
1,FLIGHT,F13,I,G,1907.0,148.0,803.0,1703.0,10.676,13.676
1,FLIGHT,F19,G,A,2580.0,120.0,655.0,1555.0,10.208,13.208
1,FLIGHT,F27,A,C,3915.0,164.0,535.0,1435.0,9.281,12.281
1,FERRY,FERRY,C,A,4079.0,60.0,,,,
1,FLIGHT,F33,A,D,4866.0,124.0,371.0,1271.0,8.621,11.621
1,FLIGHT,F42,D,F,6284.0,117.0,247.0,1147.0,7.636,10.636
1,FLIGHT,F45,F,H,6683.0,96.0,130.0,1030.0,7.359,10.359
1,MAINT,A,H,H,6779.0,90.0,,,,
1,FLIGHT,F49,H,I,6879.0,176.0,900.0,934.0,7.223,10.223
1,FLIGHT,F54,I,A,7692.0,124.0,724.0,758.0,6.658,9.658
1,FERRY,FERRY,A,H,7816.0,60.0,,,,
1,FLIGHT,F61,H,E,8177.0,150.0,600.0,634.0,6.322,9.322
1,FLIGHT,F66,E,B,9209.0,99.0,450.0,484.0,5.605,8.605
1,FLIGHT,F75,B,F,9678.0,99.0,351.0,385.0,5.279,8.279
1,FLIGHT,F85,F,A,11199.0,117.0,252.0,286.0,4.223,7.223
1,FERRY,FERRY,A,E,11316.0,60.0,,,,
1,MAINT,A,E,E,11376.0,90.0,,,,
1,FLIGHT,F90,E,D,12179.0,153.0,900.0,169.0,3.542,6.542
2,FERRY,FERRY,I,F,0.0,60.0,,,,
2,FLIGHT,F3,F,D,462.0,85.0,900.0,1800.0,11.679,14.679
2,FERRY,FERRY,D,G,547.0,60.0,,,,
2,FLIGHT,F14,G,B,1913.0,75.0,815.0,1715.0,10.672,13.672
2,FLIGHT,F25,B,D,3823.0,69.0,740.0,1640.0,9.345,12.345
2,FLIGHT,F31,D,B,4049.0,118.0,671.0,1571.0,9.188,12.188
2,FLIGHT,F36,B,I,5332.0,69.0,553.0,1453.0,8.297,11.297
2,FERRY,FERRY,I,G,5401.0,60.0,,,,
2,FLIGHT,F47,G,C,6804.0,93.0,484.0,1384.0,7.275,10.275
2,FERRY,FERRY,C,E,6897.0,60.0,,,,
2,FLIGHT,F68,E,G,9258.0,103.0,391.0,1291.0,5.571,8.571
2,FERRY,FERRY,G,I,9361.0,60.0,,,,
2,FLIGHT,F88,I,C,11264.0,133.0,288.0,1188.0,4.178,7.178
3,FERRY,FERRY,G,B,0.0,60.0,,,,
3,FLIGHT,F4,B,E,497.0,122.0,900.0,1800.0,11.655,14.655
3,FLIGHT,F17,E,H,2320.0,139.0,778.0,1678.0,10.389,13.389
3,FLIGHT,F20,H,I,3402.0,60.0,639.0,1539.0,9.637,12.637
3,FLIGHT,F26,I,H,3896.0,120.0,579.0,1479.0,9.294,12.294
3,FERRY,FERRY,H,I,4016.0,60.0,,,,
3,FLIGHT,F32,I,B,4833.0,169.0,459.0,1359.0,8.644,11.644
3,FERRY,FERRY,B,F,5002.0,60.0,,,,
3,FLIGHT,F48,F,D,6874.0,67.0,290.0,1190.0,7.226,10.226
3,FLIGHT,F70,D,G,9350.0,82.0,223.0,1123.0,5.507,8.507
3,MAINT,A,G,G,9432.0,90.0,,,,
3,FLIGHT,F72,G,E,9591.0,145.0,900.0,1041.0,5.34,8.34
3,FERRY,FERRY,E,B,9736.0,60.0,,,,
3,FLIGHT,F79,B,D,10700.0,64.0,755.0,896.0,4.569,7.569
3,FERRY,FERRY,D,B,10764.0,60.0,,,,
3,FLIGHT,F94,B,D,12632.0,170.0,691.0,832.0,3.228,6.228
4,FERRY,FERRY,D,F,0.0,60.0,,,,
4,FLIGHT,F8,F,C,791.0,152.0,900.0,1800.0,11.451,14.451
4,FLIGHT,F16,C,F,2233.0,106.0,748.0,1648.0,10.449,13.449
4,FLIGHT,F21,F,I,3457.0,112.0,642.0,1542.0,9.599,12.599
4,FERRY,FERRY,I,E,3569.0,60.0,,,,
4,FLIGHT,F30,E,C,3947.0,123.0,530.0,1430.0,9.259,12.259
4,FLIGHT,F41,C,A,6282.0,154.0,407.0,1307.0,7.638,10.637
4,FLIGHT,F46,A,H,6788.0,129.0,253.0,1153.0,7.286,10.286
4,FLIGHT,F52,H,G,7610.0,97.0,124.0,1024.0,6.715,9.715
4,MAINT,A,G,G,7707.0,90.0,,,,
4,FLIGHT,F58,G,B,7985.0,168.0,900.0,927.0,6.455,9.455
4,FLIGHT,F62,B,G,8187.0,157.0,732.0,759.0,6.315,9.315
4,FERRY,FERRY,G,B,8344.0,60.0,,,,
4,FLIGHT,F65,B,H,9071.0,164.0,575.0,602.0,5.701,8.701
4,FLIGHT,F77,H,G,10523.0,97.0,411.0,438.0,4.692,7.692
4,FERRY,FERRY,G,C,10620.0,60.0,,,,
4,FLIGHT,F83,C,H,11070.0,151.0,314.0,341.0,4.312,7.312
4,FLIGHT,F92,H,E,12429.0,151.0,163.0,190.0,3.369,6.369
5,FERRY,FERRY,G,C,0.0,60.0,,,,
5,FLIGHT,F5,C,D,673.0,153.0,900.0,1800.0,11.533,14.533
5,FERRY,FERRY,D,F,826.0,60.0,,,,
5,FLIGHT,F22,F,C,3656.0,154.0,747.0,1647.0,9.461,12.461
5,FERRY,FERRY,C,G,3810.0,60.0,,,,
5,FLIGHT,F37,G,E,5412.0,153.0,593.0,1493.0,8.242,11.242
5,FERRY,FERRY,E,B,5565.0,60.0,,,,
5,FLIGHT,F63,B,F,8372.0,64.0,440.0,1340.0,6.186,9.186
5,FLIGHT,F82,F,G,10938.0,109.0,376.0,1276.0,4.404,7.404
5,FLIGHT,F87,G,D,11246.0,130.0,267.0,1167.0,4.19,7.19
5,FERRY,FERRY,D,B,11376.0,60.0,,,,
5,FLIGHT,F91,B,A,12227.0,118.0,137.0,1037.0,3.509,6.509
5,MAINT,A,A,A,12345.0,90.0,,,,
5,FLIGHT,F93,A,B,12558.0,164.0,900.0,919.0,3.279,6.279
5,FLIGHT,F96,B,H,13476.0,111.0,736.0,755.0,2.642,5.642
6,FERRY,FERRY,E,C,0.0,60.0,,,,
6,FLIGHT,F9,C,H,805.0,138.0,900.0,1800.0,11.441,14.441
6,FERRY,FERRY,H,B,943.0,60.0,,,,
6,FLIGHT,F18,B,H,2503.0,113.0,762.0,1662.0,10.262,13.262
6,FERRY,FERRY,H,A,2616.0,60.0,,,,
