Dataset : data/phase1_25\I41_density=0.5_p=16_h=18.json
Mode    : heuristic
Flights : 144/144 assigned  (0 unassigned)
Cost    : 483816
CPU     : 1.0s

  AID    Flt   Busy(min)   Free(min)
    0      9        1533       24243
    1     11        1774       24002
    2      8        1262       24514
    3      9        1441       24335
    4     15        2283       23493
    5      9        1329       24447
    6      7        1034       24742
    7      8        1310       24466
    8     11        1767       24009
    9     11        1592       24184
   10      7        1306       24470
   11      5         953       24823
   12     10        1363       24413
   13      7        1011       24765
   14     11        1431       24345
   15      6        1109       24667
