Dataset : data/phase1_25_forced\I43_density=0.8_p=16_h=18.json
Mode    : heuristic
Flights : 230/230 assigned  (0 unassigned)
Cost    : 716243
CPU     : 1.7s

  AID    Flt   Busy(min)   Free(min)
    0     15        3924       21865
    1     18        4414       21375
    2     13        4048       21741
    3     13        4134       21655
    4     15        3911       21878
    5     17        4360       21429
    6     12        3561       22228
    7     14        4013       21776
    8     14        3689       22100
    9     14        3525       22264
   10     11        3050       22739
   11     16        4046       21743
   12     14        3703       22086
   13     15        3698       22091
   14     17        4201       21588
   15     12        3776       22013
