AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,MAINT,B,D,D,0.0,90.0,,,,
0,FLIGHT,F1,D,A,372.0,172.0,240.0,420.0,1.742,0.742
0,MAINT,A,A,A,544.0,45.0,,,,
0,FLIGHT,F20,A,D,1876.0,85.0,240.0,248.0,0.697,-0.303
0,MAINT,D,D,D,1961.0,420.0,,,,
0,FLIGHT,F28,D,I,2479.0,117.0,240.0,420.0,3.932,6.932
0,FLIGHT,F32,I,L,2623.0,113.0,123.0,303.0,3.832,6.832
0,FERRY,FERRY,L,I,2736.0,60.0,,,,
0,MAINT,A,I,I,2796.0,45.0,,,,
0,FLIGHT,F36,I,J,3408.0,102.0,240.0,190.0,3.287,6.287
0,FLIGHT,F52,J,H,4713.0,63.0,138.0,88.0,2.381,5.381
0,MAINT,B,H,H,4776.0,90.0,,,,
0,FLIGHT,F63,H,E,6194.0,116.0,240.0,420.0,1.352,4.352
0,FERRY,FERRY,E,A,6310.0,60.0,,,,
0,FLIGHT,F70,A,J,6510.0,93.0,124.0,304.0,1.133,4.133
0,MAINT,A,J,J,6603.0,45.0,,,,
0,FLIGHT,F92,J,D,8034.0,87.0,240.0,211.0,0.074,3.074
0,FLIGHT,F97,D,C,8155.0,103.0,153.0,124.0,-0.01,2.99
0,MAINT,C,C,C,8258.0,240.0,,,,
0,FLIGHT,F114,C,B,9577.0,119.0,240.0,420.0,3.251,2.003
0,FERRY,FERRY,B,A,9696.0,60.0,,,,
0,MAINT,A,A,A,9756.0,45.0,,,,
0,FLIGHT,F119,A,G,9815.0,121.0,240.0,301.0,3.085,1.838
0,FERRY,FERRY,G,E,9936.0,60.0,,,,
0,MAINT,A,E,E,9996.0,45.0,,,,
0,FLIGHT,F156,E,A,13495.0,166.0,240.0,180.0,0.53,-0.718
0,MAINT,D,A,A,13661.0,420.0,,,,
0,FLIGHT,F168,A,H,14103.0,107.0,240.0,420.0,3.985,6.985
0,FERRY,FERRY,H,K,14210.0,60.0,,,,
0,MAINT,A,K,K,14270.0,45.0,,,,
0,FLIGHT,F181,K,B,15181.0,139.0,240.0,313.0,3.236,6.236
0,FLIGHT,F208,B,D,17885.0,93.0,101.0,174.0,1.358,4.358
0,MAINT,B,D,D,17978.0,90.0,,,,
0,FLIGHT,F217,D,J,18302.0,126.0,240.0,420.0,1.069,4.069
0,FERRY,FERRY,J,C,18428.0,60.0,,,,
0,FLIGHT,F224,C,D,19331.0,91.0,114.0,294.0,0.354,3.354
0,MAINT,A,D,D,19422.0,45.0,,,,
0,FLIGHT,F230,D,I,19581.0,114.0,240.0,203.0,0.181,3.181
0,MAINT,B,I,I,19695.0,90.0,,,,
0,FLIGHT,F238,I,A,20956.0,165.0,240.0,420.0,-0.774,2.226
