AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,MAINT,B,K,K,0.0,90.0,,,,
0,FLIGHT,F1,K,I,423.0,150.0,240.0,420.0,1.706,0.706
0,MAINT,A,I,I,573.0,45.0,,,,
0,FLIGHT,F18,I,H,939.0,129.0,240.0,270.0,1.348,0.348
0,FERRY,FERRY,H,F,1068.0,60.0,,,,
0,FLIGHT,F42,F,I,3282.0,103.0,111.0,141.0,-0.279,-1.279
0,MAINT,D,I,I,3385.0,420.0,,,,
0,FLIGHT,F71,I,C,4828.0,143.0,240.0,420.0,3.29,6.29
0,MAINT,A,C,C,4971.0,45.0,,,,
0,FLIGHT,F89,C,G,6261.0,134.0,240.0,277.0,2.294,5.294
0,FERRY,FERRY,G,B,6395.0,60.0,,,,
0,FLIGHT,F102,B,G,6807.0,69.0,106.0,143.0,1.915,4.915
0,MAINT,B,G,G,6876.0,90.0,,,,
0,FLIGHT,F113,G,E,7865.0,120.0,240.0,420.0,1.181,4.181
0,FLIGHT,F117,E,F,8097.0,93.0,120.0,300.0,1.019,4.019
0,FERRY,FERRY,F,C,8190.0,60.0,,,,
0,MAINT,A,C,C,8250.0,45.0,,,,
0,FLIGHT,F148,C,I,10528.0,142.0,240.0,207.0,-0.669,2.331
0,MAINT,C,I,I,10670.0,240.0,,,,
0,FLIGHT,F169,I,A,12191.0,87.0,240.0,420.0,3.11,1.176
0,FERRY,FERRY,A,K,12278.0,60.0,,,,
0,FLIGHT,F194,K,D,13919.0,82.0,153.0,333.0,1.91,-0.024
0,MAINT,D,D,D,14001.0,420.0,,,,
0,FLIGHT,F217,D,J,15363.0,88.0,240.0,420.0,3.346,6.346
0,FLIGHT,F225,J,I,16592.0,111.0,152.0,332.0,2.492,5.492
0,MAINT,A,I,I,16703.0,45.0,,,,
0,FLIGHT,F242,I,B,17875.0,80.0,240.0,221.0,1.601,4.601
0,FERRY,FERRY,B,K,17955.0,60.0,,,,
0,FLIGHT,F248,K,G,18090.0,80.0,160.0,141.0,1.452,4.452
0,FERRY,FERRY,G,B,18170.0,60.0,,,,
0,MAINT,B,B,B,18230.0,90.0,,,,
0,FLIGHT,F283,B,F,21120.0,141.0,240.0,420.0,-0.652,2.348
0,FERRY,FERRY,F,E,21261.0,60.0,,,,
0,MAINT,C,E,E,21321.0,240.0,,,,
0,FLIGHT,F321,E,J,24138.0,112.0,240.0,420.0,2.21,0.252
0,MAINT,A,J,J,24250.0,45.0,,,,
0,FLIGHT,F333,J,G,25179.0,166.0,240.0,308.0,1.488,-0.471
0,FERRY,FERRY,G,B,25345.0,60.0,,,,
0,MAINT,D,B,B,25405.0,420.0,,,,
0,FLIGHT,F371,B,G,28152.0,145.0,240.0,420.0,2.384,5.384
1,FERRY,FERRY,E,B,0.0,60.0,,,,
1,MAINT,C,B,B,60.0,240.0,,,,
1,FLIGHT,F2,B,D,428.0,139.0,240.0,420.0,3.911,1.703
1,MAINT,A,D,D,567.0,45.0,,,,
1,FLIGHT,F51,D,L,3526.0,171.0,240.0,281.0,1.76,-0.449
1,MAINT,D,L,L,3697.0,420.0,,,,
1,FLIGHT,F69,L,F,4788.0,116.0,240.0,420.0,3.534,6.534
1,FLIGHT,F79,F,C,5155.0,75.0,124.0,304.0,3.279,6.279
1,MAINT,A,C,C,5230.0,45.0,,,,
1,FLIGHT,F82,C,G,5373.0,172.0,240.0,229.0,3.128,6.128
1,FERRY,FERRY,G,I,5545.0,60.0,,,,
1,MAINT,B,I,I,5605.0,90.0,,,,
1,FLIGHT,F103,I,F,6832.0,85.0,240.0,420.0,2.115,5.115
1,FERRY,FERRY,F,C,6917.0,60.0,,,,
1,MAINT,A,C,C,6977.0,45.0,,,,
