stem,mode,flights,assigned,unassigned,cost,obj,gap_%,status,cpu_s
I11_density=0.5_p=8_h=7,heuristic,28,28,0,117298.0,117298.0,,heuristic,0.51
I12_density=0.65_p=8_h=7,heuristic,36,36,0,144686.0,144686.0,,heuristic,0.48
I13_density=0.8_p=8_h=7,heuristic,45,45,0,164514.0,164514.0,,heuristic,0.59
I14_density=0.95_p=8_h=7,heuristic,53,53,0,242846.0,242846.0,,heuristic,0.61
I15_density=1_p=8_h=7,heuristic,56,55,1,196808.0,196808.0,,heuristic,0.59
I21_density=0.5_p=10_h=10,heuristic,50,50,0,175912.0,175912.0,,heuristic,0.63
I22_density=0.65_p=10_h=10,heuristic,65,65,0,320225.0,320225.0,,heuristic,0.8
I23_density=0.8_p=10_h=10,heuristic,80,80,0,268270.0,268270.0,,heuristic,0.74
I24_density=0.95_p=10_h=10,heuristic,95,95,0,399934.0,399934.0,,heuristic,0.94
I25_density=1_p=10_h=10,heuristic,100,100,0,357844.0,357844.0,,heuristic,0.96
I31_density=0.5_p=12_h=14,heuristic,84,84,0,310726.0,310726.0,,heuristic,0.84
I32_density=0.65_p=12_h=14,heuristic,109,109,0,336136.0,336136.0,,heuristic,0.96
I33_density=0.8_p=12_h=14,heuristic,134,134,0,429968.0,429968.0,,heuristic,1.12
I34_density=0.95_p=12_h=14,heuristic,160,160,0,594262.0,594262.0,,heuristic,1.31
I35_density=1_p=12_h=14,heuristic,168,168,0,550873.0,550873.0,,heuristic,1.34
I41_density=0.5_p=16_h=18,heuristic,144,144,0,495609.0,495609.0,,heuristic,1.15
I42_density=0.65_p=16_h=18,heuristic,187,187,0,658318.0,658318.0,,heuristic,1.56
I43_density=0.8_p=16_h=18,heuristic,230,230,0,716243.0,716243.0,,heuristic,1.68
I44_density=0.95_p=16_h=18,heuristic,274,274,0,877252.0,877252.0,,heuristic,2.06
I45_density=1_p=16_h=18,heuristic,288,288,0,900073.0,900073.0,,heuristic,2.22
I51_density=0.5_p=20_h=21,heuristic,210,210,0,596275.0,596275.0,,heuristic,1.7
I52_density=0.65_p=20_h=21,heuristic,273,273,0,800619.0,800619.0,,heuristic,2.09
I53_density=0.8_p=20_h=21,heuristic,336,336,0,923798.0,923798.0,,heuristic,2.61
I54_density=0.95_p=20_h=21,heuristic,399,399,0,1257872.0,1257872.0,,heuristic,3.1
I55_density=1_p=20_h=21,heuristic,420,420,0,1138578.0,1138578.0,,heuristic,3.09
