instance,cell,density,p,h,flights,heuristic_assigned,heuristic_unassigned,milp_status,milp_runtime_s,heuristic_runtime_s,hardness_score,category,reason
I11_density=0.5_p=8_h=7,11,0.5,8,7,28,28,0,solver_limit,1.57,2.02,0.23,easy,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is one of the easier instances in the set.
I12_density=0.65_p=8_h=7,12,0.65,8,7,36,36,0,solver_limit,1.6,1.89,0.27,easy,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is one of the easier instances in the set.
I21_density=0.5_p=10_h=10,21,0.5,10,10,50,50,0,not_run,0.0,2.0,0.288,easy,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is one of the easier instances in the set.
I13_density=0.8_p=8_h=7,13,0.8,8,7,45,45,0,solver_limit,1.69,1.98,0.312,easy,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is one of the easier instances in the set.
I22_density=0.65_p=10_h=10,22,0.65,10,10,65,65,0,not_run,0.0,1.92,0.338,easy,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is one of the easier instances in the set.
I14_density=0.95_p=8_h=7,14,0.95,8,7,53,53,0,solver_limit,1.69,1.94,0.353,easy,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is one of the easier instances in the set.
I31_density=0.5_p=12_h=14,31,0.5,12,14,84,84,0,not_run,0.0,2.08,0.367,easy,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is one of the easier instances in the set.
I23_density=0.8_p=10_h=10,23,0.8,10,10,80,80,0,not_run,0.0,1.99,0.387,easy,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is one of the easier instances in the set.
I32_density=0.65_p=12_h=14,32,0.65,12,14,109,109,0,not_run,0.0,2.05,0.429,medium,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I24_density=0.95_p=10_h=10,24,0.95,10,10,95,95,0,not_run,0.0,2.13,0.437,medium,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I25_density=1_p=10_h=10,25,1.0,10,10,100,100,0,not_run,0.0,2.02,0.454,medium,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I15_density=1_p=8_h=7,15,1.0,8,7,56,55,1,solver_limit,1.69,2.0,0.487,medium,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I33_density=0.8_p=12_h=14,33,0.8,12,14,134,134,0,not_run,0.0,2.2,0.492,medium,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I41_density=0.5_p=16_h=18,41,0.5,16,18,144,144,0,not_run,0.0,2.25,0.494,medium,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I34_density=0.95_p=12_h=14,34,0.95,12,14,160,160,0,not_run,0.0,2.37,0.556,medium,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I35_density=1_p=12_h=14,35,1.0,12,14,168,168,0,not_run,0.0,2.26,0.577,medium,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I42_density=0.65_p=16_h=18,42,0.65,16,18,187,187,0,not_run,0.0,2.46,0.581,hard,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I51_density=0.5_p=20_h=21,51,0.5,20,21,210,210,0,not_run,0.0,2.34,0.625,hard,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I43_density=0.8_p=16_h=18,43,0.8,16,18,230,230,0,not_run,0.0,2.55,0.667,hard,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I52_density=0.65_p=20_h=21,52,0.65,20,21,273,273,0,not_run,0.0,2.53,0.738,hard,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver.
I44_density=0.95_p=16_h=18,44,0.95,16,18,274,274,0,not_run,0.0,2.62,0.755,hard,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is among the more difficult instances in the set.
I45_density=1_p=16_h=18,45,1.0,16,18,288,288,0,not_run,0.0,2.6,0.783,hard,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is among the more difficult instances in the set.
I53_density=0.8_p=20_h=21,53,0.8,20,21,336,336,0,not_run,0.0,2.7,0.85,hard,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is among the more difficult instances in the set.
I54_density=0.95_p=20_h=21,54,0.95,20,21,399,399,0,not_run,0.0,3.03,0.962,hard,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is among the more difficult instances in the set.
I55_density=1_p=20_h=21,55,1.0,20,21,420,420,0,not_run,0.0,3.11,1.0,hard,MILP remains unresolved within the current run budget; the instance is large/dense enough to stress the solver. This is among the more difficult instances in the set.
