stem,method,mode,flights,assigned,unassigned,status,objective,gap_pct,cpu_s,wall_s,num_vars,num_constraints,returncode
I11_density=0.5_p=8_h=7,local_search_heuristic,heuristic,28,28,0,heuristic,105139.0,,,1.81,,,0
I12_density=0.65_p=8_h=7,local_search_heuristic,heuristic,36,36,0,heuristic,108467.0,,,1.95,,,0
I13_density=0.8_p=8_h=7,local_search_heuristic,heuristic,45,45,0,heuristic,158450.0,,,2.01,,,0
I14_density=0.95_p=8_h=7,local_search_heuristic,heuristic,53,53,0,heuristic,188681.0,,,2.44,,,0
I15_density=1_p=8_h=7,local_search_heuristic,heuristic,56,55,1,heuristic,172739.0,,,2.42,,,0
I21_density=0.5_p=10_h=10,local_search_heuristic,heuristic,50,50,0,heuristic,139864.0,,,2.38,,,0
I22_density=0.65_p=10_h=10,local_search_heuristic,heuristic,65,65,0,heuristic,235946.0,,,2.99,,,0
I23_density=0.8_p=10_h=10,local_search_heuristic,heuristic,80,80,0,heuristic,250042.0,,,3.82,,,0
I24_density=0.95_p=10_h=10,local_search_heuristic,heuristic,95,95,0,heuristic,345603.0,,,4.97,,,0
I25_density=1_p=10_h=10,local_search_heuristic,heuristic,100,100,0,heuristic,315602.0,,,5.6,,,0
I31_density=0.5_p=12_h=14,local_search_heuristic,heuristic,84,84,0,heuristic,262338.0,,,4.33,,,0
I32_density=0.65_p=12_h=14,local_search_heuristic,heuristic,109,109,0,heuristic,293659.0,,,7.24,,,0
I33_density=0.8_p=12_h=14,local_search_heuristic,heuristic,134,134,0,heuristic,387399.0,,,11.9,,,0
I34_density=0.95_p=12_h=14,local_search_heuristic,heuristic,160,160,0,heuristic,521658.0,,,17.08,,,0
I35_density=1_p=12_h=14,local_search_heuristic,heuristic,168,168,0,heuristic,490476.0,,,18.74,,,0
I41_density=0.5_p=16_h=18,local_search_heuristic,heuristic,144,144,0,heuristic,434586.0,,,13.43,,,0
I42_density=0.65_p=16_h=18,local_search_heuristic,heuristic,187,187,0,heuristic,591074.0,,,26.43,,,0
I43_density=0.8_p=16_h=18,local_search_heuristic,heuristic,230,230,0,heuristic,649381.0,,,44.49,,,0
I44_density=0.95_p=16_h=18,local_search_heuristic,heuristic,274,274,0,heuristic,756270.0,,,71.53,,,0
I45_density=1_p=16_h=18,local_search_heuristic,heuristic,288,288,0,heuristic,809290.0,,,83.26,,,0
I51_density=0.5_p=20_h=21,local_search_heuristic,heuristic,210,210,0,heuristic,540746.0,,,35.85,,,0
I52_density=0.65_p=20_h=21,local_search_heuristic,heuristic,273,273,0,heuristic,685325.0,,,73.24,,,0
I53_density=0.8_p=20_h=21,local_search_heuristic,heuristic,336,336,0,heuristic,862308.0,,,131.68,,,0
I54_density=0.95_p=20_h=21,local_search_heuristic,heuristic,399,399,0,heuristic,1111919.0,,,215.32,,,0
I55_density=1_p=20_h=21,local_search_heuristic,heuristic,420,420,0,heuristic,1064766.0,,,237.11,,,0
