instance,config,status,obj,n_vars,n_cons,gap,cpu,report,error
ABCD_all_checks_test.json,legacy,ERROR,,,,,,results\tables\formulation_reports\ABCD_all_checks_test_legacy.txt,"""Index '(6, 0)' is not valid for indexed component 'x'"""
ABCD_all_checks_test.json,event_strict_bridge,ERROR,,,,,,results\tables\formulation_reports\ABCD_all_checks_test_event_strict_bridge.txt,"""Index '(6, 0)' is not valid for indexed component 'x'"""
ABCD_all_checks_test.json,event_only_block_capacity,ERROR,,,,,,results\tables\formulation_reports\ABCD_all_checks_test_event_only_block_capacity.txt,"""Index '(6, 0)' is not valid for indexed component 'x'"""
ABCD_capacity_bottleneck_test.json,legacy,unknown,,744,1510,nan,0.024001359939575195,results\tables\formulation_reports\ABCD_capacity_bottleneck_test_legacy.txt,
ABCD_capacity_bottleneck_test.json,event_strict_bridge,unknown,,888,2082,nan,0.0240018367767334,results\tables\formulation_reports\ABCD_capacity_bottleneck_test_event_strict_bridge.txt,
ABCD_capacity_bottleneck_test.json,event_only_block_capacity,unknown,,888,1759,nan,0.023998022079467773,results\tables\formulation_reports\ABCD_capacity_bottleneck_test_event_only_block_capacity.txt,
ABCD_check_hierarchy_test.json,legacy,unknown,,1220,2813,nan,0.02299976348876953,results\tables\formulation_reports\ABCD_check_hierarchy_test_legacy.txt,
ABCD_check_hierarchy_test.json,event_strict_bridge,unknown,,1571,4168,nan,0.03300023078918457,results\tables\formulation_reports\ABCD_check_hierarchy_test_event_strict_bridge.txt,
ABCD_check_hierarchy_test.json,event_only_block_capacity,unknown,,1571,3216,nan,0.029997587203979492,results\tables\formulation_reports\ABCD_check_hierarchy_test_event_only_block_capacity.txt,
ABCD_multi_check_test.json,legacy,ERROR,,,,,,results\tables\formulation_reports\ABCD_multi_check_test_legacy.txt,"""Index '(14, 0)' is not valid for indexed component 'x'"""
ABCD_multi_check_test.json,event_strict_bridge,ERROR,,,,,,results\tables\formulation_reports\ABCD_multi_check_test_event_strict_bridge.txt,"""Index '(14, 0)' is not valid for indexed component 'x'"""
ABCD_multi_check_test.json,event_only_block_capacity,ERROR,,,,,,results\tables\formulation_reports\ABCD_multi_check_test_event_only_block_capacity.txt,"""Index '(14, 0)' is not valid for indexed component 'x'"""
ABCD_near_threshold_test.json,legacy,unknown,,2424,5832,nan,0.02700328826904297,results\tables\formulation_reports\ABCD_near_threshold_test_legacy.txt,
ABCD_near_threshold_test.json,event_strict_bridge,unknown,,3384,9472,nan,0.031000137329101562,results\tables\formulation_reports\ABCD_near_threshold_test_event_strict_bridge.txt,
ABCD_near_threshold_test.json,event_only_block_capacity,unknown,,3384,7208,nan,0.03099966049194336,results\tables\formulation_reports\ABCD_near_threshold_test_event_only_block_capacity.txt,
ABCD_no_maint_test.json,legacy,unknown,,1000,2174,nan,0.02500152587890625,results\tables\formulation_reports\ABCD_no_maint_test_legacy.txt,
ABCD_no_maint_test.json,event_strict_bridge,unknown,,1392,3627,nan,0.025002241134643555,results\tables\formulation_reports\ABCD_no_maint_test_event_strict_bridge.txt,
ABCD_no_maint_test.json,event_only_block_capacity,unknown,,1392,3283,nan,0.025998592376708984,results\tables\formulation_reports\ABCD_no_maint_test_event_only_block_capacity.txt,
ABCD_two_b_one_c_test.json,legacy,unknown,,2850,7201,nan,0.028000593185424805,results\tables\formulation_reports\ABCD_two_b_one_c_test_legacy.txt,
ABCD_two_b_one_c_test.json,event_strict_bridge,unknown,,3330,8984,nan,0.030001163482666016,results\tables\formulation_reports\ABCD_two_b_one_c_test_event_strict_bridge.txt,
ABCD_two_b_one_c_test.json,event_only_block_capacity,unknown,,3330,7268,nan,0.030000925064086914,results\tables\formulation_reports\ABCD_two_b_one_c_test_event_only_block_capacity.txt,
