density,p,h,stem,method,mode,flights,assigned,unassigned,status,objective,gap_pct,cpu_s,wall_s,num_vars,num_constraints,returncode
0.5,10,15,DataCplex_density=0.5_p=10_h=15_test_0,classical_milp,milp,,,,optimal,1132028.0,0.0,0.75,3.83,37590,3080,0
0.5,10,21,DataCplex_density=0.5_p=10_h=21_test_0,classical_milp,milp,,,,optimal,879863.0,0.0,0.41,3.35,37790,1879,0
0.5,10,7,DataCplex_density=0.5_p=10_h=7_test_0,classical_milp,milp,,,,optimal,827758.0,0.0,1.06,3.45,14540,3582,0
0.95,10,15,DataCplex_density=0.95_p=10_h=15_test_0,classical_milp,milp,,,,infeasible,,,,3.35,32560,3892,0
0.95,10,7,DataCplex_density=0.95_p=10_h=7_test_0,classical_milp,milp,,,,infeasible,,,,2.37,10320,1686,0
0.95,20,15,DataCplex_density=0.95_p=20_h=15_test_0,classical_milp,milp,,,,infeasible,,,,25.52,129480,22025,0
0.95,20,7,DataCplex_density=0.95_p=20_h=7_test_0,classical_milp,milp,,,,infeasible,,,,4.21,39280,10433,0
1.0,10,15,DataCplex_density=1_p=10_h=15_test_0,classical_milp,milp,,,,infeasible,,,,3.17,32760,4080,0
1.0,10,21,DataCplex_density=1_p=10_h=21_test_0,classical_milp,milp,,,,infeasible,,,,4.35,60620,5840,0
1.0,10,30,DataCplex_density=1_p=10_h=30_test_0,classical_milp,milp,,,,ERROR,,,,128.69,,,1
1.0,10,7,DataCplex_density=1_p=10_h=7_test_0,classical_milp,milp,,,,infeasible,,,,2.89,10480,1870,0
1.0,20,15,DataCplex_density=1_p=20_h=15_test_0,classical_milp,milp,,,,infeasible,,,,20.51,133440,24780,0
1.0,20,21,DataCplex_density=1_p=20_h=21_test_0,classical_milp,milp,,,,infeasible,,,,54.11,236280,34920,0
1.0,20,7,DataCplex_density=1_p=20_h=7_test_0,classical_milp,milp,,,,infeasible,,,,4.09,39320,11940,0
0.5,10,15,DataCplex_density=0.5_p=10_h=15_test_0,integrated_milp,milp,,,,optimal,1132028.0,0.0,47.03,55.0,37590,93426,0
0.5,10,21,DataCplex_density=0.5_p=10_h=21_test_0,integrated_milp,milp,,,,optimal,880853.0,0.0,33.22,40.73,37790,80412,0
0.5,10,7,DataCplex_density=0.5_p=10_h=7_test_0,integrated_milp,milp,,,,optimal,827858.0,0.0,48.57,52.97,14540,42899,0
0.95,10,15,DataCplex_density=0.95_p=10_h=15_test_0,integrated_milp,milp,,,,infeasible,,,,25.98,32560,43362,0
0.95,10,7,DataCplex_density=0.95_p=10_h=7_test_0,integrated_milp,milp,,,,infeasible,,,,4.8,10320,14014,0
0.95,20,15,DataCplex_density=0.95_p=20_h=15_test_0,integrated_milp,milp,,,,ERROR,,,,139.82,,,1
0.95,20,7,DataCplex_density=0.95_p=20_h=7_test_0,integrated_milp,milp,,,,ERROR,,,,127.32,,,1
1.0,10,15,DataCplex_density=1_p=10_h=15_test_0,integrated_milp,milp,,,,infeasible,,,,25.02,32760,41047,0
1.0,10,21,DataCplex_density=1_p=10_h=21_test_0,integrated_milp,milp,,,,infeasible,,,,79.34,60620,75794,0
1.0,10,30,DataCplex_density=1_p=10_h=30_test_0,integrated_milp,milp,,,,ERROR,,,,162.62,,,1
1.0,10,7,DataCplex_density=1_p=10_h=7_test_0,integrated_milp,milp,,,,infeasible,,,,4.67,10480,14899,0
1.0,20,15,DataCplex_density=1_p=20_h=15_test_0,integrated_milp,milp,,,,ERROR,,,,140.26,,,1
1.0,20,21,DataCplex_density=1_p=20_h=21_test_0,integrated_milp,milp,,,,ERROR,,,,158.1,,,1
1.0,20,7,DataCplex_density=1_p=20_h=7_test_0,integrated_milp,milp,,,,infeasible,,,,85.11,39320,69333,0
