case,file,P,H,F,formulation,solver_configuration,warm_start,status,objective,vars,constraints,cpu_s,wall_s,build_s,error
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_paper_c13,presolve_off,False,ERROR,,47,96,,,0.011594,ApplicationError: Solver (cplex) did not exit normally
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_endpoint_split,presolve_off,False,ERROR,,47,117,,,0.010117,ApplicationError: Solver (cplex) did not exit normally
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_corrected,presolve_off,False,ERROR,,55,105,,,0.010356,ApplicationError: Solver (cplex) did not exit normally
c13_loophole_test,c13_loophole_test.json,1,4,3,event_based,presolve_off,False,ERROR,,9,39,,,0.005527,ApplicationError: Solver (cplex) did not exit normally
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_paper_c13,presolve_off,False,ERROR,,144,238,,,0.013016,ApplicationError: Solver (cplex) did not exit normally
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_endpoint_split,presolve_off,False,ERROR,,144,280,,,0.013513,ApplicationError: Solver (cplex) did not exit normally
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_corrected,presolve_off,False,ERROR,,160,256,,,0.015935,ApplicationError: Solver (cplex) did not exit normally
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,event_based,presolve_off,False,ERROR,,36,138,,,0.007629,ApplicationError: Solver (cplex) did not exit normally
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_paper_c13,presolve_off,False,ERROR,,1720,3035,,,0.131264,ApplicationError: Solver (cplex) did not exit normally
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_endpoint_split,presolve_off,False,ERROR,,1720,3315,,,0.090488,ApplicationError: Solver (cplex) did not exit normally
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_corrected,presolve_off,False,ERROR,,1810,3095,,,0.070627,ApplicationError: Solver (cplex) did not exit normally
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,event_based,presolve_off,False,ERROR,,900,4205,,,0.115193,ApplicationError: Solver (cplex) did not exit normally
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_paper_c13,presolve_off,False,ERROR,,10680,17393,,,0.801178,ApplicationError: Solver (cplex) did not exit normally
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_endpoint_split,presolve_off,False,ERROR,,10680,19793,,,0.918782,ApplicationError: Solver (cplex) did not exit normally
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_corrected,presolve_off,False,ERROR,,11020,16313,,,0.610454,ApplicationError: Solver (cplex) did not exit normally
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,event_based,presolve_off,False,ERROR,,3800,17777,,,0.417979,ApplicationError: Solver (cplex) did not exit normally
