case,file,P,H,F,formulation,solver_configuration,warm_start,status,objective,vars,constraints,cpu_s,wall_s,build_s,error
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_paper_c13,presolve_on,False,optimal,400.0,47,96,0.2670292854309082,0.548086,0.011136,
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_endpoint_split,presolve_on,False,optimal,400.0,47,117,0.25902247428894043,0.522247,0.009824,
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_corrected,presolve_on,False,infeasible,,55,105,0.2695302963256836,0.551348,0.009598,
c13_loophole_test,c13_loophole_test.json,1,4,3,event_based,presolve_on,False,optimal,500.0,9,39,0.26501011848449707,0.5222,0.005646,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_paper_c13,presolve_on,False,optimal,600.0,144,238,0.26401233673095703,0.54932,0.015621,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_endpoint_split,presolve_on,False,optimal,600.0,144,280,0.2670004367828369,0.527659,0.01293,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_corrected,presolve_on,False,optimal,600.0,160,256,0.2659952640533447,0.53748,0.013533,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,event_based,presolve_on,False,optimal,600.0,36,138,0.2579965591430664,0.518922,0.006873,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_paper_c13,presolve_on,False,optimal,17526.0,1720,3035,0.3189992904663086,0.660692,0.125118,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_endpoint_split,presolve_on,False,optimal,17526.0,1720,3315,0.3258664608001709,0.677566,0.085279,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_corrected,presolve_on,False,optimal,17526.0,1810,3095,0.30899977684020996,0.635864,0.070803,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,event_based,presolve_on,False,optimal,17526.0,900,4205,0.3059992790222168,0.647479,0.11036,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_paper_c13,presolve_on,False,optimal,37127.0,10680,17393,0.7229983806610107,1.598494,0.769179,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_endpoint_split,presolve_on,False,optimal,37127.0,10680,19793,0.9160315990447998,1.937276,1.019359,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_corrected,presolve_on,False,optimal,37127.0,11020,16313,0.5873126983642578,1.275941,0.560375,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,event_based,presolve_on,False,optimal,37127.0,3800,17777,0.4799973964691162,1.117412,0.441131,
