case,file,P,H,F,formulation,solver_configuration,warm_start,status,objective,vars,constraints,cpu_s,wall_s,build_s,error
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_paper_c13,presolve_on,True,optimal,400.0,47,96,0.25500011444091797,0.533865,0.010977,
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_endpoint_split,presolve_on,True,optimal,400.0,47,117,0.2798168659210205,0.542415,0.009407,
c13_loophole_test,c13_loophole_test.json,1,4,3,legacy_corrected,presolve_on,True,infeasible,,55,105,0.2559969425201416,0.523101,0.013306,
c13_loophole_test,c13_loophole_test.json,1,4,3,event_based,presolve_on,True,optimal,500.0,9,39,0.25499796867370605,0.512564,0.006893,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_paper_c13,presolve_on,True,optimal,600.0,144,238,0.26799654960632324,0.529039,0.01269,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_endpoint_split,presolve_on,True,optimal,600.0,144,280,0.2659456729888916,0.528808,0.013679,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,legacy_corrected,presolve_on,True,optimal,600.0,160,256,0.26599907875061035,0.529326,0.012628,
event_vs_legacy_clean_test,event_vs_legacy_clean_test.json,2,3,6,event_based,presolve_on,True,optimal,600.0,36,138,0.26406288146972656,0.531051,0.007214,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_paper_c13,presolve_on,True,optimal,17526.0,1720,3035,0.3230013847351074,0.677388,0.122941,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_endpoint_split,presolve_on,True,optimal,17526.0,1720,3315,0.32599759101867676,0.682995,0.0867,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,legacy_corrected,presolve_on,True,optimal,17526.0,1810,3095,0.30700063705444336,0.637408,0.070922,
perf_p=10_h=7,perf_p=10_h=7.json,10,8,36,event_based,presolve_on,True,optimal,17526.0,900,4205,0.30499982833862305,0.651594,0.133525,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_paper_c13,presolve_on,True,optimal,37127.0,10680,17393,0.7109987735748291,1.639426,0.779056,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_endpoint_split,presolve_on,True,optimal,37127.0,10680,19793,0.9029302597045898,1.957278,0.830695,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,legacy_corrected,presolve_on,True,optimal,37127.0,11020,16313,0.5203721523284912,1.186783,0.557863,
perf_p=20_h=15,perf_p=20_h=15.json,20,16,76,event_based,presolve_on,True,optimal,37127.0,3800,17777,0.476346492767334,1.077142,0.386241,
