AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FLIGHT,F0,A,D,371.0,113.0,20489.0,67976.0,460.742,2321.742
0,FLIGHT,F1,D,A,520.0,118.0,20376.0,67863.0,460.639,2321.639
0,FLIGHT,F16,A,E,1805.0,87.0,20258.0,67745.0,459.747,2320.747
0,FLIGHT,F17,E,A,1926.0,76.0,20171.0,67658.0,459.663,2320.662
0,FLIGHT,F32,A,F,3243.0,142.0,20095.0,67582.0,458.748,2319.748
0,FLIGHT,F33,F,A,3418.0,91.0,19953.0,67440.0,458.626,2319.626
0,FLIGHT,F48,A,G,4691.0,73.0,19862.0,67349.0,457.742,2318.742
0,FLIGHT,F49,G,A,4795.0,71.0,19789.0,67276.0,457.67,2318.67
0,FLIGHT,F70,A,K,6127.0,129.0,19718.0,67205.0,456.745,2317.745
0,FLIGHT,F71,K,A,6306.0,65.0,19589.0,67076.0,456.621,2317.621
0,FLIGHT,F86,A,L,7567.0,123.0,19524.0,67011.0,455.745,2316.745
0,FLIGHT,F87,L,A,7731.0,85.0,19401.0,66888.0,455.631,2316.631
0,FLIGHT,F96,A,J,9006.0,84.0,19316.0,66803.0,454.746,2315.746
0,FLIGHT,F97,J,A,9137.0,70.0,19232.0,66719.0,454.655,2315.655
0,FLIGHT,F118,A,B,10444.0,132.0,19162.0,66649.0,453.747,2314.747
0,FLIGHT,F119,B,A,10613.0,131.0,19030.0,66517.0,453.63,2314.63
1,FLIGHT,F2,B,E,364.0,94.0,18755.0,65273.0,422.747,2147.747
1,FLIGHT,F3,E,B,488.0,132.0,18661.0,65179.0,422.661,2147.661
1,FLIGHT,F24,B,I,1812.0,114.0,18529.0,65047.0,421.742,2146.742
1,FLIGHT,F25,I,B,1970.0,105.0,18415.0,64933.0,421.632,2146.632
1,FLIGHT,F40,B,J,3244.0,118.0,18310.0,64828.0,420.747,2145.747
1,FLIGHT,F41,J,B,3396.0,79.0,18192.0,64710.0,420.642,2145.642
1,FLIGHT,F62,B,C,4694.0,98.0,18113.0,64631.0,419.74,2144.74
1,FLIGHT,F63,C,B,4822.0,73.0,18015.0,64533.0,419.651,2144.651
