instance,repeat,flights,aircraft,arc_status,arc_obj,arc_build_s,arc_solve_s,arc_total_s,arc_vars,arc_declared_vars,arc_cons,path_status,path_obj,path_enumeration_s,path_build_s,path_solve_s,path_total_s,path_vars,path_cons,path_count_total,path_coverage_valid,objective_match,speedup_path_vs_arc
ABCD_all_checks_test,1,9,5,optimal,9000.0,0.003036,0.021990,0.025025,9,709,18,optimal,9000.0,0.000298,0.001272,0.014697,0.016267,106,14,106,True,True,1.5384
ABCD_all_checks_test,2,9,5,optimal,9000.0,0.002641,0.008468,0.011109,9,709,18,optimal,9000.0,0.000253,0.001168,0.014369,0.015790,106,14,106,True,True,0.7035
ABCD_all_checks_test,3,9,5,optimal,9000.0,0.003311,0.008865,0.012176,9,709,18,optimal,9000.0,0.000244,0.001158,0.014380,0.015782,106,14,106,True,True,0.7715
ABCD_all_checks_test,4,9,5,optimal,9000.0,0.002546,0.010781,0.013327,9,709,18,optimal,9000.0,0.000260,0.001288,0.016898,0.018445,106,14,106,True,True,0.7225
ABCD_all_checks_test,5,9,5,optimal,9000.0,0.004464,0.014357,0.018822,9,709,18,optimal,9000.0,0.000374,0.001299,0.019719,0.021392,106,14,106,True,True,0.8799
ABCD_all_checks_test,6,9,5,optimal,9000.0,0.003946,0.009526,0.013471,9,709,18,optimal,9000.0,0.000256,0.001236,0.021537,0.023029,106,14,106,True,True,0.5850
ABCD_all_checks_test,7,9,5,optimal,9000.0,0.004016,0.010077,0.014093,9,709,18,optimal,9000.0,0.000266,0.001619,0.016854,0.018740,106,14,106,True,True,0.7520
ABCD_all_checks_test,8,9,5,optimal,9000.0,0.002534,0.008081,0.010615,9,709,18,optimal,9000.0,0.000289,0.001301,0.015062,0.016652,106,14,106,True,True,0.6375
ABCD_all_checks_test,9,9,5,optimal,9000.0,0.003518,0.011690,0.015208,9,709,18,optimal,9000.0,0.000409,0.002056,0.015665,0.018131,106,14,106,True,True,0.8388
ABCD_all_checks_test,10,9,5,optimal,9000.0,0.002728,0.009408,0.012136,9,709,18,optimal,9000.0,0.000290,0.001340,0.015423,0.017052,106,14,106,True,True,0.7117
ABCD_multi_check_test,1,16,4,optimal,16000.0,0.003148,0.009853,0.013001,16,808,32,optimal,16000.000000000007,0.010271,0.081453,0.361694,0.453418,2592,20,2592,True,True,0.0287
ABCD_multi_check_test,2,16,4,optimal,16000.0,0.002982,0.009843,0.012825,16,808,32,optimal,16000.000000000007,0.009058,0.025109,0.346016,0.380182,2592,20,2592,True,True,0.0337
ABCD_multi_check_test,3,16,4,optimal,16000.0,0.003114,0.009870,0.012984,16,808,32,optimal,16000.000000000007,0.009232,0.025139,0.345707,0.380078,2592,20,2592,True,True,0.0342
ABCD_multi_check_test,4,16,4,optimal,16000.0,0.003257,0.009592,0.012849,16,808,32,optimal,16000.000000000007,0.009320,0.065993,0.353100,0.428413,2592,20,2592,True,True,0.0300
ABCD_multi_check_test,5,16,4,optimal,16000.0,0.003913,0.009739,0.013652,16,808,32,optimal,16000.000000000007,0.009213,0.024858,0.347463,0.381533,2592,20,2592,True,True,0.0358
ABCD_multi_check_test,6,16,4,optimal,16000.0,0.003275,0.009437,0.012712,16,808,32,optimal,16000.000000000007,0.008808,0.024591,0.352134,0.385533,2592,20,2592,True,True,0.0330
ABCD_multi_check_test,7,16,4,optimal,16000.0,0.003288,0.010154,0.013442,16,808,32,optimal,16000.000000000007,0.011611,0.069451,0.349422,0.430485,2592,20,2592,True,True,0.0312
ABCD_multi_check_test,8,16,4,optimal,16000.0,0.003293,0.010659,0.013952,16,808,32,optimal,16000.000000000007,0.008564,0.025378,0.343060,0.377002,2592,20,2592,True,True,0.0370
ABCD_multi_check_test,9,16,4,optimal,16000.0,0.003002,0.011259,0.014261,16,808,32,optimal,16000.000000000007,0.008307,0.026910,0.363714,0.398930,2592,20,2592,True,True,0.0357
ABCD_multi_check_test,10,16,4,optimal,16000.0,0.003056,0.010873,0.013929,16,808,32,optimal,16000.000000000007,0.049956,0.025321,0.346775,0.422052,2592,20,2592,True,True,0.0330
ABCD_no_maint_test,1,14,4,optimal,14000.0,0.004219,0.017894,0.022113,56,872,70,optimal,14000.0,0.013484,0.042773,0.410018,0.466275,3948,18,3948,True,True,0.0474
ABCD_no_maint_test,2,14,4,optimal,14000.0,0.003709,0.018714,0.022424,56,872,70,optimal,14000.0,0.054600,0.042192,0.404141,0.500933,3948,18,3948,True,True,0.0448
ABCD_no_maint_test,3,14,4,optimal,14000.0,0.003801,0.018664,0.022466,56,872,70,optimal,14000.0,0.013361,0.044822,0.452771,0.510955,3948,18,3948,True,True,0.0440
ABCD_no_maint_test,4,14,4,optimal,14000.0,0.003711,0.017917,0.021628,56,872,70,optimal,14000.0,0.013765,0.046017,0.410932,0.470715,3948,18,3948,True,True,0.0459
ABCD_no_maint_test,5,14,4,optimal,14000.0,0.004229,0.018896,0.023125,56,872,70,optimal,14000.0,0.013952,0.043790,0.452501,0.510243,3948,18,3948,True,True,0.0453
ABCD_no_maint_test,6,14,4,optimal,14000.0,0.004159,0.018111,0.022270,56,872,70,optimal,14000.0,0.013395,0.043382,0.403739,0.460515,3948,18,3948,True,True,0.0484
ABCD_no_maint_test,7,14,4,optimal,14000.0,0.004569,0.019297,0.023865,56,872,70,optimal,14000.0,0.014443,0.051570,0.454375,0.520388,3948,18,3948,True,True,0.0459
ABCD_no_maint_test,8,14,4,optimal,14000.0,0.004163,0.018533,0.022695,56,872,70,optimal,14000.0,0.013884,0.043752,0.406466,0.464103,3948,18,3948,True,True,0.0489
ABCD_no_maint_test,9,14,4,optimal,14000.0,0.004086,0.017685,0.021772,56,872,70,optimal,14000.0,0.013824,0.087173,0.409699,0.510696,3948,18,3948,True,True,0.0426
ABCD_no_maint_test,10,14,4,optimal,14000.0,0.003788,0.018427,0.022214,56,872,70,optimal,14000.0,0.013495,0.042714,0.403366,0.459575,3948,18,3948,True,True,0.0483
ABCD_near_threshold_test,1,20,6,optimal,20000.0,0.009079,0.040782,0.049861,120,2232,248,optimal,20000.0,0.069736,0.076674,1.160652,1.307062,6848,26,6848,True,True,0.0381
ABCD_near_threshold_test,2,20,6,optimal,20000.0,0.008714,0.041566,0.050280,120,2232,248,optimal,20000.0,0.070149,0.078982,1.155710,1.304841,6848,26,6848,True,True,0.0385
ABCD_near_threshold_test,3,20,6,optimal,20000.0,0.008696,0.041756,0.050452,120,2232,248,optimal,20000.0,0.066705,0.075761,1.182957,1.325423,6848,26,6848,True,True,0.0381
ABCD_near_threshold_test,4,20,6,optimal,20000.0,0.008836,0.045948,0.054784,120,2232,248,optimal,20000.0,0.066575,0.077130,1.152031,1.295736,6848,26,6848,True,True,0.0423
ABCD_near_threshold_test,5,20,6,optimal,20000.0,0.008576,0.041566,0.050142,120,2232,248,optimal,20000.0,0.072116,0.078880,1.155932,1.306928,6848,26,6848,True,True,0.0384
ABCD_near_threshold_test,6,20,6,optimal,20000.0,0.008354,0.041655,0.050009,120,2232,248,optimal,20000.0,0.065997,0.074815,1.160605,1.301418,6848,26,6848,True,True,0.0384
ABCD_near_threshold_test,7,20,6,optimal,20000.0,0.008595,0.042582,0.051177,120,2232,248,optimal,20000.0,0.068917,0.081417,1.166887,1.317220,6848,26,6848,True,True,0.0389
ABCD_near_threshold_test,8,20,6,optimal,20000.0,0.008635,0.040943,0.049579,120,2232,248,optimal,20000.0,0.067795,0.079874,1.153591,1.301260,6848,26,6848,True,True,0.0381
ABCD_near_threshold_test,9,20,6,optimal,20000.0,0.008474,0.043186,0.051659,120,2232,248,optimal,20000.0,0.068021,0.082060,1.171503,1.321583,6848,26,6848,True,True,0.0391
ABCD_near_threshold_test,10,20,6,optimal,20000.0,0.008431,0.042244,0.050676,120,2232,248,optimal,20000.0,0.065980,0.077634,1.142517,1.286131,6848,26,6848,True,True,0.0394
ABCD_capacity_bottleneck_test,1,8,3,optimal,8000.0,0.002713,0.023019,0.025731,24,648,32,optimal,8000.0,0.000329,0.001774,0.016719,0.018822,135,11,135,True,True,1.3671
ABCD_capacity_bottleneck_test,2,8,3,optimal,8000.0,0.002753,0.024025,0.026778,24,648,32,optimal,8000.0,0.000422,0.001890,0.016857,0.019169,135,11,135,True,True,1.3970
ABCD_capacity_bottleneck_test,3,8,3,optimal,8000.0,0.002637,0.023702,0.026339,24,648,32,optimal,8000.0,0.000499,0.002319,0.016662,0.019479,135,11,135,True,True,1.3522
ABCD_capacity_bottleneck_test,4,8,3,optimal,8000.0,0.004254,0.022926,0.027180,24,648,32,optimal,8000.0,0.000457,0.001638,0.017439,0.019534,135,11,135,True,True,1.3915
ABCD_capacity_bottleneck_test,5,8,3,optimal,8000.0,0.002639,0.024973,0.027612,24,648,32,optimal,8000.0,0.000591,0.002263,0.018001,0.020854,135,11,135,True,True,1.3241
ABCD_capacity_bottleneck_test,6,8,3,optimal,8000.0,0.003696,0.024645,0.028342,24,648,32,optimal,8000.0,0.000493,0.003978,0.017081,0.021552,135,11,135,True,True,1.3150
ABCD_capacity_bottleneck_test,7,8,3,optimal,8000.0,0.052523,0.024165,0.076688,24,648,32,optimal,8000.0,0.000345,0.001860,0.017613,0.019819,135,11,135,True,True,3.8695
ABCD_capacity_bottleneck_test,8,8,3,optimal,8000.0,0.002665,0.023844,0.026510,24,648,32,optimal,8000.0,0.000404,0.001555,0.019086,0.021045,135,11,135,True,True,1.2597
ABCD_capacity_bottleneck_test,9,8,3,optimal,8000.0,0.003043,0.023749,0.026792,24,648,32,optimal,8000.0,0.000389,0.001485,0.017107,0.018980,135,11,135,True,True,1.4116
ABCD_capacity_bottleneck_test,10,8,3,optimal,8000.0,0.002902,0.023309,0.026211,24,648,32,optimal,8000.0,0.000338,0.001464,0.018076,0.019877,135,11,135,True,True,1.3187
ABCD_check_hierarchy_test,1,13,4,optimal,13000.0,0.004455,0.026320,0.030775,52,1092,85,optimal,13000.0,0.002947,0.009363,0.099213,0.111523,920,17,920,True,True,0.2760
ABCD_check_hierarchy_test,2,13,4,optimal,13000.0,0.004076,0.025516,0.029592,52,1092,85,optimal,13000.0,0.003988,0.008549,0.096886,0.109423,920,17,920,True,True,0.2704
ABCD_check_hierarchy_test,3,13,4,optimal,13000.0,0.004070,0.027544,0.031615,52,1092,85,optimal,13000.0,0.002891,0.009010,0.096279,0.108180,920,17,920,True,True,0.2922
ABCD_check_hierarchy_test,4,13,4,optimal,13000.0,0.004123,0.025811,0.029934,52,1092,85,optimal,13000.0,0.004083,0.008404,0.095670,0.108156,920,17,920,True,True,0.2768
ABCD_check_hierarchy_test,5,13,4,optimal,13000.0,0.004801,0.026773,0.031574,52,1092,85,optimal,13000.0,0.002737,0.008530,0.097070,0.108338,920,17,920,True,True,0.2914
ABCD_check_hierarchy_test,6,13,4,optimal,13000.0,0.004072,0.025598,0.029670,52,1092,85,optimal,13000.0,0.003207,0.009304,0.098398,0.110909,920,17,920,True,True,0.2675
ABCD_check_hierarchy_test,7,13,4,optimal,13000.0,0.043334,0.025412,0.068746,52,1092,85,optimal,13000.0,0.002929,0.008201,0.097056,0.108187,920,17,920,True,True,0.6354
ABCD_check_hierarchy_test,8,13,4,optimal,13000.0,0.004170,0.025405,0.029576,52,1092,85,optimal,13000.0,0.004138,0.008237,0.096483,0.108858,920,17,920,True,True,0.2717
ABCD_check_hierarchy_test,9,13,4,optimal,13000.0,0.004167,0.026530,0.030697,52,1092,85,optimal,13000.0,0.003440,0.009309,0.096088,0.108837,920,17,920,True,True,0.2820
ABCD_check_hierarchy_test,10,13,4,optimal,13000.0,0.004601,0.025429,0.030030,52,1092,85,optimal,13000.0,0.004562,0.008211,0.095692,0.108464,920,17,920,True,True,0.2769
ABCD_two_b_one_c_test,1,14,5,optimal,14000.0,0.007047,0.031263,0.038310,70,2530,119,optimal,14000.0,0.004963,0.011614,0.119205,0.135782,1125,19,1125,True,True,0.2821
ABCD_two_b_one_c_test,2,14,5,optimal,14000.0,0.006620,0.031646,0.038266,70,2530,119,optimal,14000.0,0.004640,0.010026,0.104255,0.118921,1125,19,1125,True,True,0.3218
ABCD_two_b_one_c_test,3,14,5,optimal,14000.0,0.006660,0.072176,0.078836,70,2530,119,optimal,14000.0,0.003298,0.010555,0.102743,0.116596,1125,19,1125,True,True,0.6761
ABCD_two_b_one_c_test,4,14,5,optimal,14000.0,0.007305,0.030811,0.038116,70,2530,119,optimal,14000.0,0.004040,0.009900,0.103863,0.117803,1125,19,1125,True,True,0.3236
ABCD_two_b_one_c_test,5,14,5,optimal,14000.0,0.006949,0.032288,0.039237,70,2530,119,optimal,14000.0,0.003322,0.010391,0.102483,0.116196,1125,19,1125,True,True,0.3377
ABCD_two_b_one_c_test,6,14,5,optimal,14000.0,0.007342,0.031239,0.038581,70,2530,119,optimal,14000.0,0.004012,0.009904,0.101942,0.115858,1125,19,1125,True,True,0.3330
ABCD_two_b_one_c_test,7,14,5,optimal,14000.0,0.007637,0.032304,0.039941,70,2530,119,optimal,14000.0,0.003335,0.050910,0.103302,0.157547,1125,19,1125,True,True,0.2535
ABCD_two_b_one_c_test,8,14,5,optimal,14000.0,0.006534,0.032365,0.038899,70,2530,119,optimal,14000.0,0.003369,0.009969,0.101554,0.114893,1125,19,1125,True,True,0.3386
ABCD_two_b_one_c_test,9,14,5,optimal,14000.0,0.006764,0.031205,0.037970,70,2530,119,optimal,14000.0,0.004035,0.009778,0.101996,0.115809,1125,19,1125,True,True,0.3279
ABCD_two_b_one_c_test,10,14,5,optimal,14000.0,0.007389,0.031161,0.038549,70,2530,119,optimal,14000.0,0.003343,0.010505,0.101942,0.115790,1125,19,1125,True,True,0.3329
