instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.65_p=8_h=14_test_0,baseline,6016,13262,1024,4608,0.556729,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_0,strong_link,6016,13262,1024,4608,0.557503,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_1,baseline,6016,13262,1024,4608,0.601676,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_1,strong_link,6016,13262,1024,4608,0.562889,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_10,baseline,6016,13262,1024,4608,0.669133,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_10,strong_link,6016,13262,1024,4608,0.559743,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_11,baseline,6016,13262,1024,4608,0.608172,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_11,strong_link,6016,13262,1024,4608,0.551152,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_12,baseline,6016,13262,1024,4608,0.608964,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_12,strong_link,6016,13262,1024,4608,0.581165,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_13,baseline,6016,13262,1024,4608,0.598858,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_13,strong_link,6016,13262,1024,4608,0.554279,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_14,baseline,6016,13262,1024,4608,0.679024,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_14,strong_link,6016,13262,1024,4608,0.564524,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_15,baseline,6016,13262,1024,4608,0.668651,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_15,strong_link,6016,13262,1024,4608,0.536285,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_16,baseline,6016,13262,1024,4608,0.5786,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_16,strong_link,6016,13262,1024,4608,0.585994,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_17,baseline,6016,13262,1024,4608,0.555043,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_17,strong_link,6016,13262,1024,4608,0.628676,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_18,baseline,6016,13262,1024,4608,0.554232,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_18,strong_link,6016,13262,1024,4608,0.586906,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_19,baseline,6016,13262,1024,4608,0.541051,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_19,strong_link,6016,13262,1024,4608,0.560166,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_2,baseline,6016,13262,1024,4608,0.622479,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_2,strong_link,6016,13262,1024,4608,0.574582,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_3,baseline,6016,13262,1024,4608,0.586175,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_3,strong_link,6016,13262,1024,4608,0.526515,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_4,baseline,6016,13262,1024,4608,0.583581,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_4,strong_link,6016,13262,1024,4608,0.543151,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_5,baseline,6016,13262,1024,4608,0.609729,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_5,strong_link,6016,13262,1024,4608,0.580697,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_6,baseline,6016,13262,1024,4608,0.55331,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_6,strong_link,6016,13262,1024,4608,0.584266,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_7,baseline,6016,13262,1024,4608,0.563691,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_7,strong_link,6016,13262,1024,4608,0.618489,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_8,baseline,6016,13262,1024,4608,0.560634,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_8,strong_link,6016,13262,1024,4608,0.575197,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_9,baseline,6016,13262,1024,4608,0.613929,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_9,strong_link,6016,13262,1024,4608,0.525154,none,built,,,
