instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.65_p=8_h=14_test_0,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.211898,cplexamp,optimal,29934.07322483443,0.832175,
DataCplex_density=0.65_p=8_h=14_test_0,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.216886,cplexamp,optimal,29934.07322483443,0.855849,
DataCplex_density=0.65_p=8_h=14_test_1,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.224757,cplexamp,optimal,29932.07322483443,0.821758,
DataCplex_density=0.65_p=8_h=14_test_1,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.228436,cplexamp,optimal,29932.07322483443,0.818544,
DataCplex_density=0.65_p=8_h=14_test_10,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.236218,cplexamp,optimal,29970.07322483443,1.097803,
DataCplex_density=0.65_p=8_h=14_test_10,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.269221,cplexamp,optimal,29970.07322483443,0.929708,
DataCplex_density=0.65_p=8_h=14_test_11,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.187632,cplexamp,optimal,29970.07322483443,0.889353,
DataCplex_density=0.65_p=8_h=14_test_11,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.266445,cplexamp,optimal,29970.07322483443,0.872148,
DataCplex_density=0.65_p=8_h=14_test_12,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.21248,cplexamp,optimal,29995.07322483443,0.824675,
DataCplex_density=0.65_p=8_h=14_test_12,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.208065,cplexamp,optimal,29995.07322483443,0.828142,
DataCplex_density=0.65_p=8_h=14_test_13,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.211437,cplexamp,optimal,29965.07322483443,0.881346,
DataCplex_density=0.65_p=8_h=14_test_13,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.211112,cplexamp,optimal,29965.07322483443,0.872772,
DataCplex_density=0.65_p=8_h=14_test_14,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.219838,cplexamp,optimal,29942.07322483443,0.808748,
DataCplex_density=0.65_p=8_h=14_test_14,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.217887,cplexamp,optimal,29942.07322483443,0.818563,
DataCplex_density=0.65_p=8_h=14_test_15,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.257328,cplexamp,optimal,29963.073224834432,0.812033,
DataCplex_density=0.65_p=8_h=14_test_15,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.230841,cplexamp,optimal,29963.073224834432,0.822392,
DataCplex_density=0.65_p=8_h=14_test_16,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.228747,cplexamp,optimal,29946.07322483443,0.819165,
DataCplex_density=0.65_p=8_h=14_test_16,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.229304,cplexamp,optimal,29946.07322483443,0.874622,
DataCplex_density=0.65_p=8_h=14_test_17,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.212624,cplexamp,optimal,29912.07322483443,0.819605,
DataCplex_density=0.65_p=8_h=14_test_17,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.210811,cplexamp,optimal,29912.07322483443,0.832567,
DataCplex_density=0.65_p=8_h=14_test_18,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.218115,cplexamp,optimal,29925.07322483443,0.85676,
DataCplex_density=0.65_p=8_h=14_test_18,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.215666,cplexamp,optimal,29925.07322483443,0.817524,
