instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.65_p=8_h=14_test_0,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.208835,cplexamp,optimal,32138.0,0.879094,
DataCplex_density=0.65_p=8_h=14_test_0,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.224505,cplexamp,optimal,32138.0,0.833352,
DataCplex_density=0.65_p=8_h=14_test_1,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.243421,cplexamp,optimal,32136.0,0.835503,
DataCplex_density=0.65_p=8_h=14_test_1,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.227409,cplexamp,optimal,32136.0,0.872197,
DataCplex_density=0.65_p=8_h=14_test_10,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.220297,cplexamp,optimal,32174.0,0.829345,
DataCplex_density=0.65_p=8_h=14_test_10,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.219169,cplexamp,optimal,32174.0,0.852274,
DataCplex_density=0.65_p=8_h=14_test_11,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.16866,cplexamp,optimal,32174.0,0.856208,
DataCplex_density=0.65_p=8_h=14_test_11,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.232891,cplexamp,optimal,32174.0,0.843581,
DataCplex_density=0.65_p=8_h=14_test_12,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.207513,cplexamp,optimal,32199.0,0.850381,
DataCplex_density=0.65_p=8_h=14_test_12,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.205368,cplexamp,optimal,32199.0,0.864567,
DataCplex_density=0.65_p=8_h=14_test_13,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.210049,cplexamp,optimal,32169.0,0.868656,
