instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.65_p=8_h=14_test_0,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.465774,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_0,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.612257,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_1,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.517146,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_1,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.459056,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_10,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.509976,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_10,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.517107,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_11,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.488913,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_11,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.480486,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_12,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.476027,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_12,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.484435,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_13,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.495987,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_13,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.519512,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_14,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.497375,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_14,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.494716,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_15,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.43889,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_15,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.517764,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_16,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.488042,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_16,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.484769,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_17,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.477005,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_17,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.56325,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_18,sparse_z+tight_c13_m+reachability+strong_conflicts,2432,7885,1024,1024,0.481278,none,built,,,
