instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.65_p=8_h=14_test_0,baseline,2784,6374,256,2048,0.233789,cplexamp,optimal,29738.04680000468,0.814487,
DataCplex_density=0.65_p=8_h=14_test_0,strong_link,2784,6374,256,2048,0.305823,cplexamp,optimal,29738.04680000468,0.79987,
DataCplex_density=0.65_p=8_h=14_test_1,baseline,2784,6374,256,2048,0.230534,cplexamp,optimal,29736.04680000468,0.833591,
DataCplex_density=0.65_p=8_h=14_test_1,strong_link,2784,6374,256,2048,0.22555,cplexamp,optimal,29736.04680000468,0.805437,
DataCplex_density=0.65_p=8_h=14_test_10,baseline,2784,6374,256,2048,0.270577,cplexamp,optimal,29774.04680000468,0.797637,
DataCplex_density=0.65_p=8_h=14_test_10,strong_link,2784,6374,256,2048,0.242442,cplexamp,optimal,29774.04680000468,0.825748,
DataCplex_density=0.65_p=8_h=14_test_11,baseline,2784,6374,256,2048,0.278999,cplexamp,optimal,29774.04680000468,0.789163,
DataCplex_density=0.65_p=8_h=14_test_11,strong_link,2784,6374,256,2048,0.244963,cplexamp,optimal,29774.04680000468,0.820686,
DataCplex_density=0.65_p=8_h=14_test_12,baseline,2784,6374,256,2048,0.262332,cplexamp,optimal,29799.04680000468,0.792974,
DataCplex_density=0.65_p=8_h=14_test_12,strong_link,2784,6374,256,2048,0.277554,cplexamp,optimal,29799.04680000468,0.803338,
DataCplex_density=0.65_p=8_h=14_test_13,baseline,2784,6374,256,2048,0.228829,cplexamp,optimal,29769.04680000468,0.798294,
DataCplex_density=0.65_p=8_h=14_test_13,strong_link,2784,6374,256,2048,0.296354,cplexamp,optimal,29769.04680000468,0.801259,
DataCplex_density=0.65_p=8_h=14_test_14,baseline,2784,6374,256,2048,0.232388,cplexamp,optimal,29746.04680000468,0.796568,
DataCplex_density=0.65_p=8_h=14_test_14,strong_link,2784,6374,256,2048,0.274727,cplexamp,optimal,29746.04680000468,0.825253,
DataCplex_density=0.65_p=8_h=14_test_15,baseline,2784,6374,256,2048,0.293265,cplexamp,optimal,29767.04680000468,0.800177,
DataCplex_density=0.65_p=8_h=14_test_15,strong_link,2784,6374,256,2048,0.246452,cplexamp,optimal,29767.04680000468,0.796345,
DataCplex_density=0.65_p=8_h=14_test_16,baseline,2784,6374,256,2048,0.280913,cplexamp,optimal,29750.04680000468,0.824779,
DataCplex_density=0.65_p=8_h=14_test_16,strong_link,2784,6374,256,2048,0.234137,cplexamp,optimal,29750.04680000468,0.797025,
DataCplex_density=0.65_p=8_h=14_test_17,baseline,2784,6374,256,2048,0.267464,cplexamp,optimal,29716.04680000468,0.795021,
DataCplex_density=0.65_p=8_h=14_test_17,strong_link,2784,6374,256,2048,0.230184,cplexamp,optimal,29716.04680000468,0.818949,
DataCplex_density=0.65_p=8_h=14_test_18,baseline,2784,6374,256,2048,0.232795,cplexamp,optimal,29729.04680000468,0.827132,
DataCplex_density=0.65_p=8_h=14_test_18,strong_link,2784,6374,256,2048,0.276858,cplexamp,optimal,29729.04680000468,0.798495,
DataCplex_density=0.65_p=8_h=14_test_19,baseline,2784,6374,256,2048,0.249868,cplexamp,optimal,29763.04680000468,0.832817,
DataCplex_density=0.65_p=8_h=14_test_19,strong_link,2784,6374,256,2048,0.304638,cplexamp,optimal,29763.04680000468,0.789654,
DataCplex_density=0.65_p=8_h=14_test_2,baseline,2784,6374,256,2048,0.240906,cplexamp,optimal,29776.04680000468,0.80247,
DataCplex_density=0.65_p=8_h=14_test_2,strong_link,2784,6374,256,2048,0.264227,cplexamp,optimal,29776.04680000468,0.803796,
DataCplex_density=0.65_p=8_h=14_test_3,baseline,2784,6374,256,2048,0.272144,cplexamp,optimal,29744.04680000468,0.806046,
DataCplex_density=0.65_p=8_h=14_test_3,strong_link,2784,6374,256,2048,0.260003,cplexamp,optimal,29744.04680000468,0.823246,
DataCplex_density=0.65_p=8_h=14_test_4,baseline,2784,6374,256,2048,0.277342,cplexamp,optimal,29777.04680000468,0.807704,
DataCplex_density=0.65_p=8_h=14_test_4,strong_link,2784,6374,256,2048,0.251875,cplexamp,optimal,29777.04680000468,0.787921,
DataCplex_density=0.65_p=8_h=14_test_5,baseline,2784,6374,256,2048,0.249912,cplexamp,optimal,29730.04680000468,0.887425,
DataCplex_density=0.65_p=8_h=14_test_5,strong_link,2784,6374,256,2048,0.235032,cplexamp,optimal,29730.04680000468,0.810624,
DataCplex_density=0.65_p=8_h=14_test_6,baseline,2784,6374,256,2048,0.241588,cplexamp,optimal,29797.04680000468,0.814764,
DataCplex_density=0.65_p=8_h=14_test_6,strong_link,2784,6374,256,2048,0.266704,cplexamp,optimal,29797.04680000468,0.825233,
DataCplex_density=0.65_p=8_h=14_test_7,baseline,2784,6374,256,2048,0.241823,cplexamp,optimal,29759.04680000468,0.80198,
DataCplex_density=0.65_p=8_h=14_test_7,strong_link,2784,6374,256,2048,0.286632,cplexamp,optimal,29759.04680000468,0.80119,
DataCplex_density=0.65_p=8_h=14_test_8,baseline,2784,6374,256,2048,0.274553,cplexamp,optimal,29771.04680000468,0.810171,
DataCplex_density=0.65_p=8_h=14_test_8,strong_link,2784,6374,256,2048,0.260359,cplexamp,optimal,29771.04680000468,0.796813,
DataCplex_density=0.65_p=8_h=14_test_9,baseline,2784,6374,256,2048,0.289809,cplexamp,optimal,29784.04680000468,0.791281,
DataCplex_density=0.65_p=8_h=14_test_9,strong_link,2784,6374,256,2048,0.260373,cplexamp,optimal,29784.04680000468,0.79938,
