instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.65_p=8_h=14_test_0,baseline,2784,6374,256,2048,0.221755,cplexamp,optimal,32138.0,1.046116,
DataCplex_density=0.65_p=8_h=14_test_0,strong_link,2784,6374,256,2048,0.293757,cplexamp,optimal,32138.0,0.989741,
DataCplex_density=0.65_p=8_h=14_test_1,baseline,2784,6374,256,2048,0.236271,cplexamp,optimal,32136.0,1.02695,
DataCplex_density=0.65_p=8_h=14_test_1,strong_link,2784,6374,256,2048,0.255599,cplexamp,optimal,32136.0,1.031356,
DataCplex_density=0.65_p=8_h=14_test_10,baseline,2784,6374,256,2048,0.290894,cplexamp,optimal,32174.0,1.025972,
DataCplex_density=0.65_p=8_h=14_test_10,strong_link,2784,6374,256,2048,0.242752,cplexamp,optimal,32174.0,1.025827,
DataCplex_density=0.65_p=8_h=14_test_11,baseline,2784,6374,256,2048,0.279927,cplexamp,optimal,32174.0,0.982279,
DataCplex_density=0.65_p=8_h=14_test_11,strong_link,2784,6374,256,2048,0.232697,cplexamp,optimal,32174.0,1.028815,
DataCplex_density=0.65_p=8_h=14_test_12,baseline,2784,6374,256,2048,0.248067,cplexamp,optimal,32199.0,0.995717,
DataCplex_density=0.65_p=8_h=14_test_12,strong_link,2784,6374,256,2048,0.29316,cplexamp,optimal,32199.0,0.982802,
DataCplex_density=0.65_p=8_h=14_test_13,baseline,2784,6374,256,2048,0.237901,cplexamp,optimal,32169.0,1.022154,
DataCplex_density=0.65_p=8_h=14_test_13,strong_link,2784,6374,256,2048,0.269025,cplexamp,optimal,32169.0,0.982803,
DataCplex_density=0.65_p=8_h=14_test_14,baseline,2784,6374,256,2048,0.247955,cplexamp,optimal,32146.0,1.013092,
DataCplex_density=0.65_p=8_h=14_test_14,strong_link,2784,6374,256,2048,0.277769,cplexamp,optimal,32146.0,0.974061,
DataCplex_density=0.65_p=8_h=14_test_15,baseline,2784,6374,256,2048,0.247151,cplexamp,optimal,32167.0,0.997174,
DataCplex_density=0.65_p=8_h=14_test_15,strong_link,2784,6374,256,2048,0.268837,cplexamp,optimal,32167.0,0.981283,
DataCplex_density=0.65_p=8_h=14_test_16,baseline,2784,6374,256,2048,0.276779,cplexamp,optimal,32150.0,0.995386,
DataCplex_density=0.65_p=8_h=14_test_16,strong_link,2784,6374,256,2048,0.241253,cplexamp,optimal,32150.0,1.006952,
DataCplex_density=0.65_p=8_h=14_test_17,baseline,2784,6374,256,2048,0.277526,cplexamp,optimal,32116.0,0.991359,
DataCplex_density=0.65_p=8_h=14_test_17,strong_link,2784,6374,256,2048,0.237686,cplexamp,optimal,32116.0,1.025261,
DataCplex_density=0.65_p=8_h=14_test_18,baseline,2784,6374,256,2048,0.238398,cplexamp,optimal,32129.0,0.990157,
DataCplex_density=0.65_p=8_h=14_test_18,strong_link,2784,6374,256,2048,0.289025,cplexamp,optimal,32129.0,0.99965,
DataCplex_density=0.65_p=8_h=14_test_19,baseline,2784,6374,256,2048,0.237809,cplexamp,optimal,32163.0,1.010873,
DataCplex_density=0.65_p=8_h=14_test_19,strong_link,2784,6374,256,2048,0.283546,cplexamp,optimal,32163.0,1.00572,
DataCplex_density=0.65_p=8_h=14_test_2,baseline,2784,6374,256,2048,0.241675,cplexamp,optimal,32176.0,1.01368,
DataCplex_density=0.65_p=8_h=14_test_2,strong_link,2784,6374,256,2048,0.242055,cplexamp,optimal,32176.0,0.981705,
DataCplex_density=0.65_p=8_h=14_test_3,baseline,2784,6374,256,2048,0.272676,cplexamp,optimal,32144.0,0.993634,
DataCplex_density=0.65_p=8_h=14_test_3,strong_link,2784,6374,256,2048,0.287051,cplexamp,optimal,32144.0,0.984858,
DataCplex_density=0.65_p=8_h=14_test_4,baseline,2784,6374,256,2048,0.276061,cplexamp,optimal,32177.0,0.99989,
DataCplex_density=0.65_p=8_h=14_test_4,strong_link,2784,6374,256,2048,0.235008,cplexamp,optimal,32177.0,1.021361,
DataCplex_density=0.65_p=8_h=14_test_5,baseline,2784,6374,256,2048,0.254125,cplexamp,optimal,32130.0,1.067266,
DataCplex_density=0.65_p=8_h=14_test_5,strong_link,2784,6374,256,2048,0.237917,cplexamp,optimal,32130.0,1.018455,
DataCplex_density=0.65_p=8_h=14_test_6,baseline,2784,6374,256,2048,0.24054,cplexamp,optimal,32197.0,1.000199,
DataCplex_density=0.65_p=8_h=14_test_6,strong_link,2784,6374,256,2048,0.271005,cplexamp,optimal,32197.0,0.988326,
DataCplex_density=0.65_p=8_h=14_test_7,baseline,2784,6374,256,2048,0.248937,cplexamp,optimal,32159.0,1.022254,
DataCplex_density=0.65_p=8_h=14_test_7,strong_link,2784,6374,256,2048,0.284969,cplexamp,optimal,32159.0,0.998411,
DataCplex_density=0.65_p=8_h=14_test_8,baseline,2784,6374,256,2048,0.248363,cplexamp,optimal,32171.0,0.981542,
DataCplex_density=0.65_p=8_h=14_test_8,strong_link,2784,6374,256,2048,0.266498,cplexamp,optimal,32171.0,0.994169,
DataCplex_density=0.65_p=8_h=14_test_9,baseline,2784,6374,256,2048,0.289187,cplexamp,optimal,32184.0,1.008523,
DataCplex_density=0.65_p=8_h=14_test_9,strong_link,2784,6374,256,2048,0.233393,cplexamp,optimal,32184.0,1.008468,
