instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.5_p=10_h=7_test_18,baseline,3180,6064,720,2180,0.214392,none,built,,,
DataCplex_density=0.5_p=10_h=7_test_18,strong_link,3180,6064,720,2180,0.26501,none,built,,,
DataCplex_density=0.5_p=10_h=7_test_8,baseline,3980,7928,1000,2840,0.323796,none,built,,,
DataCplex_density=0.5_p=10_h=7_test_8,strong_link,3980,7928,1000,2840,0.373419,none,built,,,
DataCplex_density=0.5_p=4_h=7_test_0,baseline,736,1456,128,416,0.041586,none,built,,,
DataCplex_density=0.5_p=4_h=7_test_0,strong_link,736,1456,128,416,0.043523,none,built,,,
DataCplex_density=0.5_p=4_h=7_test_10,baseline,736,1424,128,416,0.043641,none,built,,,
DataCplex_density=0.5_p=4_h=7_test_10,strong_link,736,1424,128,416,0.117332,none,built,,,
DataCplex_density=0.5_p=6_h=7_test_12,baseline,1284,2502,264,768,0.073067,none,built,,,
DataCplex_density=0.5_p=6_h=7_test_12,strong_link,1284,2502,264,768,0.068985,none,built,,,
DataCplex_density=0.5_p=6_h=7_test_2,baseline,1548,3068,360,984,0.133254,none,built,,,
DataCplex_density=0.5_p=6_h=7_test_2,strong_link,1548,3068,360,984,0.093958,none,built,,,
DataCplex_density=0.5_p=8_h=7_test_15,baseline,2064,3956,448,1328,0.159611,none,built,,,
DataCplex_density=0.5_p=8_h=7_test_15,strong_link,2064,3956,448,1328,0.156433,none,built,,,
DataCplex_density=0.5_p=8_h=7_test_5,baseline,2528,4982,608,1712,0.236957,none,built,,,
DataCplex_density=0.5_p=8_h=7_test_5,strong_link,2528,4982,608,1712,0.214469,none,built,,,
DataCplex_density=0.65_p=10_h=10_test_19,baseline,3780,7917,720,2540,0.355893,none,built,,,
DataCplex_density=0.65_p=10_h=10_test_19,strong_link,3780,7917,720,2540,0.288659,none,built,,,
DataCplex_density=0.65_p=10_h=10_test_9,baseline,5360,11261,1200,3880,0.518859,none,built,,,
DataCplex_density=0.65_p=10_h=10_test_9,strong_link,5360,11261,1200,3880,0.548669,none,built,,,
DataCplex_density=0.65_p=4_h=10_test_1,baseline,736,1456,128,416,0.045138,none,built,,,
DataCplex_density=0.65_p=4_h=10_test_1,strong_link,736,1456,128,416,0.042814,none,built,,,
DataCplex_density=0.65_p=4_h=10_test_11,baseline,736,1424,128,416,0.041352,none,built,,,
DataCplex_density=0.65_p=4_h=10_test_11,strong_link,736,1424,128,416,0.150482,none,built,,,
DataCplex_density=0.65_p=6_h=10_test_13,baseline,1512,3063,288,936,0.088616,none,built,,,
DataCplex_density=0.65_p=6_h=10_test_13,strong_link,1512,3063,288,936,0.081539,none,built,,,
DataCplex_density=0.65_p=6_h=10_test_3,baseline,2172,4546,432,1476,0.191747,none,built,,,
DataCplex_density=0.65_p=6_h=10_test_3,strong_link,2172,4546,432,1476,0.189795,none,built,,,
DataCplex_density=0.65_p=6_h=14_test_14,baseline,1512,3063,288,936,0.12965,none,built,,,
DataCplex_density=0.65_p=6_h=14_test_14,strong_link,1512,3063,288,936,0.089687,none,built,,,
DataCplex_density=0.65_p=6_h=14_test_4,baseline,2172,4546,432,1476,0.202331,none,built,,,
DataCplex_density=0.65_p=6_h=14_test_4,strong_link,2172,4546,432,1476,0.173787,none,built,,,
DataCplex_density=0.65_p=8_h=10_test_16,baseline,2880,6115,512,1920,0.213734,none,built,,,
DataCplex_density=0.65_p=8_h=10_test_16,strong_link,2880,6115,512,1920,0.209763,none,built,,,
DataCplex_density=0.65_p=8_h=10_test_6,baseline,4144,8715,896,2992,0.386673,none,built,,,
DataCplex_density=0.65_p=8_h=10_test_6,strong_link,4144,8715,896,2992,0.350588,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_17,baseline,2880,6115,512,1920,0.243193,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_17,strong_link,2880,6115,512,1920,0.265332,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_7,baseline,6016,13262,1024,4608,0.542563,none,built,,,
DataCplex_density=0.65_p=8_h=14_test_7,strong_link,6016,13262,1024,4608,0.595092,none,built,,,
