instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.5_p=10_h=7_test_18,sparse_z+tight_c13_m+reachability+strong_conflicts,1720,4143,720,720,0.152357,none,built,,,
DataCplex_density=0.5_p=10_h=7_test_18,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,1720,4143,720,720,0.184886,none,built,,,
DataCplex_density=0.5_p=10_h=7_test_8,sparse_z+tight_c13_m+reachability+strong_conflicts,2140,6647,1000,1000,0.278124,none,built,,,
DataCplex_density=0.5_p=10_h=7_test_8,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2140,6647,1000,1000,0.303387,none,built,,,
DataCplex_density=0.5_p=4_h=7_test_0,sparse_z+tight_c13_m+reachability+strong_conflicts,448,1046,128,128,0.052887,none,built,,,
DataCplex_density=0.5_p=4_h=7_test_0,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,448,1046,128,128,0.042584,none,built,,,
DataCplex_density=0.5_p=4_h=7_test_10,sparse_z+tight_c13_m+reachability+strong_conflicts,448,1006,128,128,0.091512,none,built,,,
DataCplex_density=0.5_p=4_h=7_test_10,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,448,1006,128,128,0.048129,none,built,,,
DataCplex_density=0.5_p=6_h=7_test_12,sparse_z+tight_c13_m+reachability+strong_conflicts,780,1721,264,264,0.066103,none,built,,,
DataCplex_density=0.5_p=6_h=7_test_12,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,780,1721,264,264,0.065059,none,built,,,
DataCplex_density=0.5_p=6_h=7_test_2,sparse_z+tight_c13_m+reachability+strong_conflicts,924,2329,360,360,0.142191,none,built,,,
DataCplex_density=0.5_p=6_h=7_test_2,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,924,2329,360,360,0.084051,none,built,,,
DataCplex_density=0.5_p=8_h=7_test_15,sparse_z+tight_c13_m+reachability+strong_conflicts,1184,2675,448,448,0.134962,none,built,,,
DataCplex_density=0.5_p=8_h=7_test_15,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,1184,2675,448,448,0.093586,none,built,,,
DataCplex_density=0.5_p=8_h=7_test_5,sparse_z+tight_c13_m+reachability+strong_conflicts,1424,3845,608,608,0.196406,none,built,,,
DataCplex_density=0.5_p=8_h=7_test_5,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,1424,3845,608,608,0.146176,none,built,,,
DataCplex_density=0.65_p=10_h=10_test_19,sparse_z+tight_c13_m+reachability+strong_conflicts,1960,4956,720,720,0.251095,none,built,,,
DataCplex_density=0.65_p=10_h=10_test_19,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,1960,4956,720,720,0.249624,none,built,,,
DataCplex_density=0.65_p=10_h=10_test_9,sparse_z+tight_c13_m+reachability+strong_conflicts,2680,8350,1200,1200,0.418609,none,built,,,
DataCplex_density=0.65_p=10_h=10_test_9,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,2680,8350,1200,1200,0.382039,none,built,,,
DataCplex_density=0.65_p=4_h=10_test_1,sparse_z+tight_c13_m+reachability+strong_conflicts,448,1046,128,128,0.09265,none,built,,,
DataCplex_density=0.65_p=4_h=10_test_1,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,448,1046,128,128,0.038711,none,built,,,
DataCplex_density=0.65_p=4_h=10_test_11,sparse_z+tight_c13_m+reachability+strong_conflicts,448,1006,128,128,0.03696,none,built,,,
