instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.5_p=10_h=10_test_0,baseline,11770,13925,2000,10390,0.506384,cplex,unknown,,0.473166,non-success termination
DataCplex_density=0.5_p=10_h=10_test_0,strong,11770,13925,2000,10390,0.529231,cplex,unknown,,0.447789,non-success termination
DataCplex_density=0.5_p=10_h=14_test_0,baseline,16870,21588,2800,14970,0.913327,cplex,unknown,,0.82431,non-success termination
DataCplex_density=0.5_p=10_h=14_test_0,strong,16870,21588,2800,14970,0.963679,cplex,unknown,,0.956239,non-success termination
DataCplex_density=0.5_p=8_h=14_test_0,baseline,11272,13831,1792,9864,0.62751,cplex,unknown,,0.584879,non-success termination
DataCplex_density=0.5_p=8_h=14_test_0,strong,11272,13831,1792,9864,0.697037,cplex,unknown,,0.569026,non-success termination
DataCplex_density=0.65_p=8_h=14_test_1,baseline,14440,17116,2336,12896,0.814574,cplex,unknown,,0.698503,non-success termination
DataCplex_density=0.65_p=8_h=14_test_1,strong,14440,17116,2336,12896,0.786663,cplex,unknown,,0.691903,non-success termination
DataCplex_density=0.6_p=10_h=14_test_1,baseline,20980,26252,3360,18940,1.163965,cplex,unknown,,1.015881,non-success termination
DataCplex_density=0.6_p=10_h=14_test_1,strong,20980,26252,3360,18940,1.172998,cplex,unknown,,1.02806,non-success termination
