instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.5_p=10_h=10_test_0,baseline,11770,13925,2000,10390,0.509853,highs,error,,1.409623,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=10_test_0,strong,11770,13925,2000,10390,0.571442,highs,error,,1.398103,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=14_test_0,baseline,16870,21588,2800,14970,0.868082,highs,error,,2.423332,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=14_test_0,strong,16870,21588,2800,14970,0.929344,highs,error,,2.493926,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=8_h=14_test_0,baseline,11272,13831,1792,9864,0.646023,highs,error,,1.769312,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=8_h=14_test_0,strong,11272,13831,1792,9864,0.604794,highs,error,,1.575592,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.65_p=8_h=14_test_1,baseline,14440,17116,2336,12896,0.820191,highs,error,,2.34411,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.65_p=8_h=14_test_1,strong,14440,17116,2336,12896,0.868921,highs,error,,2.262221,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.6_p=10_h=14_test_1,baseline,20980,26252,3360,18940,1.202011,highs,error,,3.312116,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.6_p=10_h=14_test_1,strong,20980,26252,3360,18940,1.31125,highs,error,,3.257055,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
