instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.5_p=10_h=10_test_0,baseline,1720,3010,500,1000,0.084598,highs,error,,0.227013,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=10_test_0,strong,1720,3010,500,1000,0.117553,highs,error,,0.20521,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=14_test_0,baseline,2400,3890,700,1400,0.123451,highs,error,,0.336247,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=14_test_0,strong,2400,3890,700,1400,0.125255,highs,error,,0.283903,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=8_h=14_test_0,baseline,1584,2616,448,896,0.12148,highs,error,,0.222134,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=8_h=14_test_0,strong,1584,2616,448,896,0.076756,highs,error,,0.185307,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.65_p=8_h=14_test_1,baseline,1992,3225,584,1168,0.140263,highs,error,,0.226353,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.65_p=8_h=14_test_1,strong,1992,3225,584,1168,0.097962,highs,error,,0.28078,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.6_p=10_h=14_test_1,baseline,2820,4894,840,1680,0.143674,highs,error,,0.363832,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.6_p=10_h=14_test_1,strong,2820,4894,840,1680,0.18569,highs,error,,0.379879,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
