instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.5_p=10_h=10_test_0,baseline,10800,11765,2000,9420,0.504204,highs,error,,1.322807,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=10_test_0,strong,10800,11765,2000,9420,0.436735,highs,error,,1.304609,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=14_test_0,baseline,15500,18428,2800,13600,0.868422,highs,error,,2.17028,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=14_test_0,strong,15500,18428,2800,13600,0.909511,highs,error,,2.255926,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=8_h=14_test_0,baseline,10400,12087,1792,8992,0.546226,highs,error,,1.427176,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=8_h=14_test_0,strong,10400,12087,1792,8992,0.548436,highs,error,,1.428489,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.65_p=8_h=14_test_1,baseline,13312,14596,2336,11768,0.638445,highs,error,,1.950045,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.65_p=8_h=14_test_1,strong,13312,14596,2336,11768,0.701934,highs,error,,1.8459,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.6_p=10_h=14_test_1,baseline,19340,22122,3360,17300,1.009108,highs,error,,2.765459,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.6_p=10_h=14_test_1,strong,19340,22122,3360,17300,1.070489,highs,error,,2.766821,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
