instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.5_p=10_h=10_test_0,baseline,10800,11765,2000,9420,0.469097,highs,error,,1.309048,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=10_test_0,strong,10800,11765,2000,9420,0.493679,highs,error,,1.278209,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=14_test_0,baseline,15500,18428,2800,13600,0.820725,highs,error,,2.147424,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=10_h=14_test_0,strong,15500,18428,2800,13600,0.873749,highs,error,,2.236587,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=8_h=14_test_0,baseline,10400,12087,1792,8992,0.550569,highs,error,,1.417525,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.5_p=8_h=14_test_0,strong,10400,12087,1792,8992,0.530768,highs,error,,1.486123,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.65_p=8_h=14_test_1,baseline,13312,14596,2336,11768,0.641308,highs,error,,2.326189,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.65_p=8_h=14_test_1,strong,13312,14596,2336,11768,0.700918,highs,error,,2.251848,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.6_p=10_h=14_test_1,baseline,19340,22122,3360,17300,0.978268,highs,error,,2.714168,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
DataCplex_density=0.6_p=10_h=14_test_1,strong,19340,22122,3360,17300,0.996573,highs,error,,2.706799,"NoFeasibleSolutionError: A feasible solution was not found, so no solution can be loaded. Please set opt.config.load_solutions=False and check results.solution_status and results.incumbent_objective before loading a solution."
