instance,tier,baseline_lp_status,baseline_lp_objective,baseline_lp_dual,baseline_lp_primal,baseline_lp_gap,baseline_lp_runtime,baseline_lp_vars,baseline_lp_cons,baseline_lp_z,baseline_lp_flights,baseline_lp_aircraft,baseline_milp_status,baseline_milp_objective,baseline_milp_dual,baseline_milp_primal,baseline_milp_gap,baseline_milp_runtime,baseline_milp_vars,baseline_milp_cons,baseline_milp_z,baseline_milp_flights,baseline_milp_aircraft,combined_lp_status,combined_lp_objective,combined_lp_dual,combined_lp_primal,combined_lp_gap,combined_lp_runtime,combined_lp_vars,combined_lp_cons,combined_lp_z,combined_lp_flights,combined_lp_aircraft,combined_milp_status,combined_milp_objective,combined_milp_dual,combined_milp_primal,combined_milp_gap,combined_milp_runtime,combined_milp_vars,combined_milp_cons,combined_milp_z,combined_milp_flights,combined_milp_aircraft,heuristic_objective,heuristic_primal,heuristic_status,heuristic_coverage
DataCplex_density=0.65_p=8_h=14_test_0,Small,optimal,29738.0,29738.0,29738.0,0.0,0.805832,2896.0,6598.0,2048.0,64,8,optimal,29738.0,29738.0,29738.0,0.0,1.643593,2896.0,6598.0,2048.0,64,8,optimal,29738.0,29738.0,29738.0,0.0,0.38848,1104.0,3269.0,256.0,64,8,optimal,29738.0,29738.0,29738.0,0.0,0.977592,1104.0,3269.0,256.0,64,8,43104.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_1,Small,optimal,29736.0,29736.0,29736.0,0.0,0.736453,2896.0,6598.0,2048.0,64,8,optimal,29736.0,29736.0,29736.0,0.0,1.68444,2896.0,6598.0,2048.0,64,8,optimal,29736.0,29736.0,29736.0,0.0,0.422045,1104.0,3269.0,256.0,64,8,optimal,29736.0,29736.0,29736.0,0.0,1.001771,1104.0,3269.0,256.0,64,8,43086.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_10,Small,optimal,29774.0,29774.0,29774.0,0.0,0.789025,2896.0,6598.0,2048.0,64,8,optimal,29774.0,29774.0,29774.0,0.0,1.652505,2896.0,6598.0,2048.0,64,8,optimal,29774.0,29774.0,29774.0,0.0,0.390313,1104.0,3269.0,256.0,64,8,optimal,29774.0,29774.0,29774.0,0.0,0.99136,1104.0,3269.0,256.0,64,8,43071.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_11,Small,optimal,29774.0,29774.0,29774.0,0.0,0.730274,2896.0,6598.0,2048.0,64,8,optimal,29774.0,29774.0,29774.0,0.0,1.703434,2896.0,6598.0,2048.0,64,8,optimal,29774.0,29774.0,29774.0,0.0,0.385135,1104.0,3269.0,256.0,64,8,optimal,29774.0,29774.0,29774.0,0.0,0.991331,1104.0,3269.0,256.0,64,8,43134.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_12,Small,optimal,29799.0,29799.0,29799.0,0.0,0.785673,2896.0,6598.0,2048.0,64,8,optimal,29799.0,29799.0,29799.0,0.0,1.661598,2896.0,6598.0,2048.0,64,8,optimal,29799.0,29799.0,29799.0,0.0,0.389603,1104.0,3269.0,256.0,64,8,optimal,29799.0,29799.0,29799.0,0.0,1.018904,1104.0,3269.0,256.0,64,8,43108.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_13,Small,optimal,29769.0,29769.0,29769.0,0.0,0.738087,2896.0,6598.0,2048.0,64,8,optimal,29769.0,29769.0,29769.0,0.0,1.64481,2896.0,6598.0,2048.0,64,8,optimal,29769.0,29769.0,29769.0,0.0,0.384469,1104.0,3269.0,256.0,64,8,optimal,29769.0,29769.0,29769.0,0.0,0.979131,1104.0,3269.0,256.0,64,8,43099.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_14,Small,optimal,29746.0,29746.0,29746.0,0.0,0.831246,2896.0,6598.0,2048.0,64,8,optimal,29746.0,29746.0,29746.0,0.0,1.69324,2896.0,6598.0,2048.0,64,8,optimal,29746.0,29746.0,29746.0,0.0,0.396425,1104.0,3269.0,256.0,64,8,optimal,29746.0,29746.0,29746.0,0.0,1.034436,1104.0,3269.0,256.0,64,8,43104.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_15,Small,optimal,29767.0,29767.0,29767.0,0.0,0.790247,2896.0,6598.0,2048.0,64,8,optimal,29767.0,29767.0,29767.0,0.0,1.671202,2896.0,6598.0,2048.0,64,8,optimal,29767.0,29767.0,29767.0,0.0,0.396455,1104.0,3269.0,256.0,64,8,optimal,29767.0,29767.0,29767.0,0.0,0.992265,1104.0,3269.0,256.0,64,8,43123.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_16,Small,optimal,29750.0,29750.0,29750.0,0.0,0.823211,2896.0,6598.0,2048.0,64,8,optimal,29750.0,29750.0,29750.0,0.0,1.701383,2896.0,6598.0,2048.0,64,8,optimal,29750.0,29750.0,29750.0,0.0,0.399983,1104.0,3269.0,256.0,64,8,optimal,29750.0,29750.0,29750.0,0.0,1.041971,1104.0,3269.0,256.0,64,8,43121.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_17,Small,optimal,29716.0,29716.0,29716.0,0.0,0.818772,2896.0,6598.0,2048.0,64,8,optimal,29716.0,29716.0,29716.0,0.0,1.687522,2896.0,6598.0,2048.0,64,8,optimal,29716.0,29716.0,29716.0,0.0,0.394796,1104.0,3269.0,256.0,64,8,optimal,29716.0,29716.0,29716.0,0.0,1.023007,1104.0,3269.0,256.0,64,8,43103.0,,partial,0.84375
