instance,variant,mode,flights,aircraft,days,variables,constraints,z_variables,build_s,solver,time_limit_s,status,objective,dual_bound,primal_bound,mip_gap,nodes,runtime_s,coverage,error
med1_p20_h8_r1,heuristic:greedy+insertion,heuristic,320,20,,,,,,none,,partial,160612.8,,,,,0.877257,0.36875,202 unassigned
med1_p20_h8_r1,baseline,lp,320,20,8,67520,155624,59200,4.309568,highs,120,optimal,404854.81500000035,404854.81500000035,404854.81500000035,0.0,,71.060503,,
med1_p20_h8_r1,baseline,milp,320,20,8,67520,155624,59200,4.794846,highs,120,optimal,406519.5,406519.5,406519.5,0.0,,41.524494,,
med1_p20_h8_r1,combined,lp,320,20,8,33120,191584,24800,4.697098,highs,120,optimal,404854.8150000003,404854.8150000003,404854.8150000003,0.0,,75.864479,,
med1_p20_h8_r1,combined,milp,320,20,8,33120,191584,24800,4.445685,highs,120,optimal,406519.5,406519.5,406519.5,0.0,,26.095367,,
med1_p20_h8_r2,heuristic:greedy+insertion,heuristic,320,20,,,,,,none,,partial,165187.69999999998,,,,,0.912804,0.375,200 unassigned
med1_p20_h8_r2,baseline,lp,320,20,8,67520,155624,59200,4.48634,highs,120,optimal,413687.0000000004,413687.0000000004,413687.0000000004,0.0,,71.879461,,
med1_p20_h8_r2,baseline,milp,320,20,8,67520,155624,59200,4.533471,highs,120,optimal,413687.0,413687.0,413687.0,0.0,,40.961257,,
med1_p20_h8_r2,combined,lp,320,20,8,33120,195304,24800,4.531899,highs,120,optimal,413687.00000000035,413687.00000000035,413687.00000000035,0.0,,81.050281,,
med1_p20_h8_r2,combined,milp,320,20,8,33120,195304,24800,4.532509,highs,120,optimal,413687.0,413687.0,413687.0,0.0,,25.122443,,
med1_p20_h8_r3,heuristic:greedy+insertion,heuristic,320,20,,,,,,none,,partial,165819.69999999998,,,,,0.984058,0.396875,193 unassigned
med1_p20_h8_r3,baseline,lp,320,20,8,67520,155624,59200,4.635559,highs,120,optimal,388904.05555555504,388904.05555555504,388904.05555555504,0.0,,73.276212,,
med1_p20_h8_r3,baseline,milp,320,20,8,67520,155624,59200,4.670042,highs,120,optimal,390339.7,390339.69999999995,390339.7,1.4912052479793217e-16,,40.710989,,
med1_p20_h8_r3,combined,lp,320,20,8,33120,191064,24800,4.503465,highs,120,optimal,388904.05555555515,388904.05555555515,388904.05555555515,0.0,,74.799003,,
med1_p20_h8_r3,combined,milp,320,20,8,33120,191064,24800,4.354524,highs,120,optimal,390339.7,390339.69999999995,390339.7,1.4912052479793217e-16,,25.363733,,
