instance,variant,mode,flights,aircraft,days,variables,constraints,z_variables,build_s,solver,time_limit_s,status,objective,dual_bound,primal_bound,mip_gap,nodes,runtime_s,coverage,error
sma1_p8_h8_r1,heuristic:greedy+insertion,heuristic,128,8,,,,,,none,,partial,57345.3,,,,,0.142803,0.34375,84 unassigned
sma1_p8_h8_r1,baseline,lp,128,8,8,10912,19320,9120,0.597221,highs,120,optimal,161149.59999999992,161149.59999999992,161149.59999999992,0.0,,2.803166,,
sma1_p8_h8_r1,baseline,milp,128,8,8,10912,19320,9120,0.633281,highs,120,optimal,161149.6,161149.6,161149.6,0.0,,5.025052,,
sma1_p8_h8_r1,combined,lp,128,8,8,5952,17400,4160,0.625228,highs,120,optimal,161149.59999999992,161149.59999999992,161149.59999999992,0.0,,1.881933,,
sma1_p8_h8_r1,combined,milp,128,8,8,5952,17400,4160,0.562533,highs,120,optimal,161149.6,161149.6,161149.6,0.0,,3.21647,,
sma1_p8_h8_r2,heuristic:greedy+insertion,heuristic,128,8,,,,,,none,,partial,52241.4,,,,,0.1301,0.3125,88 unassigned
sma1_p8_h8_r2,baseline,lp,128,8,8,10912,19320,9120,0.633294,highs,120,optimal,161987.1,161987.1,161987.1,0.0,,3.046283,,
sma1_p8_h8_r2,baseline,milp,128,8,8,10912,19320,9120,0.639047,highs,120,optimal,161987.1,161987.09999999998,161987.1,1.7966758128723646e-16,,5.3826,,
sma1_p8_h8_r2,combined,lp,128,8,8,5952,16952,4160,0.636114,highs,120,optimal,161987.09999999995,161987.09999999995,161987.09999999995,0.0,,2.10221,,
sma1_p8_h8_r2,combined,milp,128,8,8,5952,16952,4160,0.590724,highs,120,optimal,161987.1,161987.09999999998,161987.1,1.7966758128723646e-16,,3.399096,,
sma1_p8_h8_r3,heuristic:greedy+insertion,heuristic,128,8,,,,,,none,,partial,65177.299999999996,,,,,0.159766,0.390625,78 unassigned
sma1_p8_h8_r3,baseline,lp,128,8,8,10912,19320,9120,0.643647,highs,120,optimal,159245.30000000002,159245.30000000002,159245.30000000002,0.0,,2.724092,,
sma1_p8_h8_r3,baseline,milp,128,8,8,10912,19320,9120,0.656129,highs,120,optimal,159245.3,159245.3,159245.3,0.0,,4.550342,,
sma1_p8_h8_r3,combined,lp,128,8,8,5952,16952,4160,0.628441,highs,120,optimal,159245.30000000002,159245.30000000002,159245.30000000002,0.0,,1.967897,,
sma1_p8_h8_r3,combined,milp,128,8,8,5952,16952,4160,0.597371,highs,120,optimal,159245.3,159245.3,159245.3,0.0,,3.043586,,
sma1_p8_h8_r4,heuristic:greedy+insertion,heuristic,128,8,,,,,,none,,partial,64876.7,,,,,0.166315,0.3828125,79 unassigned
sma1_p8_h8_r4,baseline,lp,128,8,8,10912,19320,9120,0.62503,highs,120,optimal,160758.7749999999,160758.7749999999,160758.7749999999,0.0,,3.193083,,
sma1_p8_h8_r4,baseline,milp,128,8,8,10912,19320,9120,0.670656,highs,120,optimal,161360.8,161360.80000000002,161360.8,1.8036493656906575e-16,,5.088155,,
sma1_p8_h8_r4,combined,lp,128,8,8,5952,17032,4160,0.643886,highs,120,optimal,160758.7749999999,160758.7749999999,160758.7749999999,0.0,,2.329155,,
sma1_p8_h8_r4,combined,milp,128,8,8,5952,17032,4160,0.643389,highs,120,optimal,161360.8,161360.80000000002,161360.8,1.8036493656906575e-16,,3.249016,,
sma1_p8_h8_r5,heuristic:greedy+insertion,heuristic,128,8,,,,,,none,,partial,67447.79999999999,,,,,0.165089,0.3984375,77 unassigned
sma1_p8_h8_r5,baseline,lp,128,8,8,10912,19320,9120,0.636427,highs,120,optimal,161585.95000000016,161585.95000000016,161585.95000000016,0.0,,3.112304,,
sma1_p8_h8_r5,baseline,milp,128,8,8,10912,19320,9120,0.634164,highs,120,optimal,161904.1,161904.1,161904.1,0.0,,4.53694,,
sma1_p8_h8_r5,combined,lp,128,8,8,5952,17592,4160,0.654002,highs,120,optimal,161585.95000000013,161585.95000000013,161585.95000000013,0.0,,2.386499,,
sma1_p8_h8_r5,combined,milp,128,8,8,5952,17592,4160,0.607386,highs,120,optimal,161904.1,161904.1,161904.1,0.0,,3.149288,,
