instance,variant,mode,flights,aircraft,days,variables,constraints,z_variables,build_s,solver,time_limit_s,status,objective,dual_bound,primal_bound,mip_gap,nodes,runtime_s,coverage,error
DataCplex_density=0.65_p=8_h=14_test_0,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43104.0,,,,,0.030739,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_0,baseline,lp,64,8,14,2896,6598,2048,0.220652,highs,300,optimal,29738.0,29738.0,29738.0,0.0,,0.805832,,
DataCplex_density=0.65_p=8_h=14_test_0,baseline,milp,64,8,14,2896,6598,2048,0.240384,highs,300,optimal,29738.0,29738.0,29738.0,0.0,,1.643593,,
DataCplex_density=0.65_p=8_h=14_test_0,combined,lp,64,8,14,1104,3269,256,0.222091,highs,300,optimal,29738.0,29738.0,29738.0,0.0,,0.38848,,
DataCplex_density=0.65_p=8_h=14_test_0,combined,milp,64,8,14,1104,3269,256,0.212861,highs,300,optimal,29738.0,29738.0,29738.0,0.0,,0.977592,,
DataCplex_density=0.65_p=8_h=14_test_1,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43086.0,,,,,0.029663,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_1,baseline,lp,64,8,14,2896,6598,2048,0.2658,highs,300,optimal,29736.0,29736.0,29736.0,0.0,,0.736453,,
DataCplex_density=0.65_p=8_h=14_test_1,baseline,milp,64,8,14,2896,6598,2048,0.239234,highs,300,optimal,29736.0,29736.0,29736.0,0.0,,1.68444,,
DataCplex_density=0.65_p=8_h=14_test_1,combined,lp,64,8,14,1104,3269,256,0.236687,highs,300,optimal,29736.0,29736.0,29736.0,0.0,,0.422045,,
DataCplex_density=0.65_p=8_h=14_test_1,combined,milp,64,8,14,1104,3269,256,0.216716,highs,300,optimal,29736.0,29736.0,29736.0,0.0,,1.001771,,
DataCplex_density=0.65_p=8_h=14_test_10,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43071.0,,,,,0.029704,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_10,baseline,lp,64,8,14,2896,6598,2048,0.232069,highs,300,optimal,29774.0,29774.0,29774.0,0.0,,0.789025,,
DataCplex_density=0.65_p=8_h=14_test_10,baseline,milp,64,8,14,2896,6598,2048,0.243967,highs,300,optimal,29774.0,29774.0,29774.0,0.0,,1.652505,,
DataCplex_density=0.65_p=8_h=14_test_10,combined,lp,64,8,14,1104,3269,256,0.223547,highs,300,optimal,29774.0,29774.0,29774.0,0.0,,0.390313,,
DataCplex_density=0.65_p=8_h=14_test_10,combined,milp,64,8,14,1104,3269,256,0.218257,highs,300,optimal,29774.0,29774.0,29774.0,0.0,,0.99136,,
DataCplex_density=0.65_p=8_h=14_test_11,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43134.0,,,,,0.036247,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_11,baseline,lp,64,8,14,2896,6598,2048,0.263565,highs,300,optimal,29774.0,29774.0,29774.0,0.0,,0.730274,,
DataCplex_density=0.65_p=8_h=14_test_11,baseline,milp,64,8,14,2896,6598,2048,0.236953,highs,300,optimal,29774.0,29774.0,29774.0,0.0,,1.703434,,
DataCplex_density=0.65_p=8_h=14_test_11,combined,lp,64,8,14,1104,3269,256,0.227517,highs,300,optimal,29774.0,29774.0,29774.0,0.0,,0.385135,,
DataCplex_density=0.65_p=8_h=14_test_11,combined,milp,64,8,14,1104,3269,256,0.215427,highs,300,optimal,29774.0,29774.0,29774.0,0.0,,0.991331,,
DataCplex_density=0.65_p=8_h=14_test_12,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43108.0,,,,,0.036853,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_12,baseline,lp,64,8,14,2896,6598,2048,0.230742,highs,300,optimal,29799.0,29799.0,29799.0,0.0,,0.785673,,
DataCplex_density=0.65_p=8_h=14_test_12,baseline,milp,64,8,14,2896,6598,2048,0.245196,highs,300,optimal,29799.0,29799.0,29799.0,0.0,,1.661598,,
DataCplex_density=0.65_p=8_h=14_test_12,combined,lp,64,8,14,1104,3269,256,0.223198,highs,300,optimal,29799.0,29799.0,29799.0,0.0,,0.389603,,
DataCplex_density=0.65_p=8_h=14_test_12,combined,milp,64,8,14,1104,3269,256,0.214034,highs,300,optimal,29799.0,29799.0,29799.0,0.0,,1.018904,,
DataCplex_density=0.65_p=8_h=14_test_13,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43099.0,,,,,0.036175,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_13,baseline,lp,64,8,14,2896,6598,2048,0.266215,highs,300,optimal,29769.0,29769.0,29769.0,0.0,,0.738087,,
DataCplex_density=0.65_p=8_h=14_test_13,baseline,milp,64,8,14,2896,6598,2048,0.27893,highs,300,optimal,29769.0,29769.0,29769.0,0.0,,1.64481,,
DataCplex_density=0.65_p=8_h=14_test_13,combined,lp,64,8,14,1104,3269,256,0.235763,highs,300,optimal,29769.0,29769.0,29769.0,0.0,,0.384469,,
DataCplex_density=0.65_p=8_h=14_test_13,combined,milp,64,8,14,1104,3269,256,0.217824,highs,300,optimal,29769.0,29769.0,29769.0,0.0,,0.979131,,
DataCplex_density=0.65_p=8_h=14_test_14,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43104.0,,,,,0.037783,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_14,baseline,lp,64,8,14,2896,6598,2048,0.242685,highs,300,optimal,29746.0,29746.0,29746.0,0.0,,0.831246,,
