AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FLIGHT,F5,B,H,764.0,130.0,900.0,1800.0,9.469,13.469
0,FLIGHT,F31,H,A,3713.0,107.0,770.0,1670.0,7.422,11.422
0,FLIGHT,F51,A,I,7935.0,60.0,663.0,1563.0,4.49,8.49
0,FLIGHT,F67,I,E,9614.0,112.0,603.0,1503.0,3.324,7.324
1,FLIGHT,F21,H,B,2413.0,150.0,900.0,1800.0,8.324,12.324
1,FLIGHT,F25,B,I,3334.0,148.0,750.0,1650.0,7.685,11.685
1,FLIGHT,F27,I,G,3519.0,173.0,602.0,1502.0,7.556,11.556
1,FLIGHT,F43,G,B,6677.0,95.0,429.0,1329.0,5.363,9.363
1,FLIGHT,F60,B,D,9092.0,132.0,334.0,1234.0,3.686,7.686
2,FLIGHT,F11,E,G,1045.0,124.0,900.0,1800.0,9.274,13.274
2,FLIGHT,F38,G,A,5018.0,111.0,776.0,1676.0,6.515,10.515
2,FLIGHT,F48,A,C,7688.0,132.0,665.0,1565.0,4.661,8.661
3,FLIGHT,F3,I,D,628.0,176.0,900.0,1800.0,9.564,13.564
3,FLIGHT,F17,D,H,2141.0,78.0,724.0,1624.0,8.513,12.513
3,FLIGHT,F50,H,I,7930.0,153.0,646.0,1546.0,4.493,8.493
4,FLIGHT,F19,C,G,2254.0,106.0,900.0,1800.0,8.435,12.435
4,FLIGHT,F35,G,D,4049.0,112.0,794.0,1694.0,7.188,11.188
4,FLIGHT,F55,D,F,8001.0,99.0,682.0,1582.0,4.444,8.444
4,FLIGHT,F57,F,D,8221.0,154.0,583.0,1483.0,4.291,8.291
5,FLIGHT,F15,I,E,1977.0,152.0,900.0,1800.0,8.627,12.627
5,FLIGHT,F29,E,H,3654.0,124.0,748.0,1648.0,7.463,11.463
5,FLIGHT,F54,H,I,7998.0,94.0,624.0,1524.0,4.446,8.446
6,FLIGHT,F12,I,B,1106.0,117.0,900.0,1800.0,9.232,13.232
6,FLIGHT,F20,B,C,2342.0,90.0,783.0,1683.0,8.374,12.374
6,FLIGHT,F26,C,F,3510.0,103.0,693.0,1593.0,7.562,11.562
6,FLIGHT,F68,F,D,9673.0,106.0,590.0,1490.0,3.283,7.283
7,FLIGHT,F7,G,E,818.0,97.0,900.0,1800.0,9.432,13.432
7,FLIGHT,F22,E,F,2528.0,173.0,803.0,1703.0,8.244,12.244
7,FLIGHT,F34,F,H,4038.0,148.0,630.0,1530.0,7.196,11.196
7,FLIGHT,F59,H,D,9052.0,108.0,482.0,1382.0,3.714,7.714
8,FLIGHT,F4,A,G,710.0,67.0,900.0,1800.0,9.507,13.507
8,FLIGHT,F8,G,E,914.0,82.0,833.0,1733.0,9.365,13.365
8,FLIGHT,F39,E,A,5094.0,124.0,751.0,1651.0,6.463,10.463
9,FLIGHT,F23,H,B,3251.0,168.0,900.0,1800.0,7.742,11.742
9,FLIGHT,F28,B,F,3578.0,128.0,732.0,1632.0,7.515,11.515
9,FLIGHT,F37,F,C,4837.0,87.0,604.0,1504.0,6.641,10.641
9,FLIGHT,F40,C,B,5506.0,140.0,517.0,1417.0,6.176,10.176
9,FLIGHT,F46,B,C,7622.0,165.0,377.0,1277.0,4.707,8.707
