AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,B,D,0.0,60.0,,,,
0,FLIGHT,F2,D,I,395.0,92.0,900.0,1800.0,9.726,13.726
0,FLIGHT,F15,I,E,1977.0,152.0,808.0,1708.0,8.627,12.627
0,FLIGHT,F29,E,H,3654.0,124.0,656.0,1556.0,7.463,11.463
0,FERRY,FERRY,H,G,3778.0,60.0,,,,
0,FLIGHT,F38,G,A,5018.0,111.0,532.0,1432.0,6.515,10.515
0,FLIGHT,F48,A,C,7688.0,132.0,421.0,1321.0,4.661,8.661
0,FERRY,FERRY,C,H,7820.0,60.0,,,,
0,FLIGHT,F59,H,D,9052.0,108.0,289.0,1189.0,3.714,7.714
1,FERRY,FERRY,H,F,0.0,60.0,,,,
1,FLIGHT,F9,F,G,917.0,95.0,900.0,1800.0,9.363,13.363
1,FLIGHT,F13,G,D,1146.0,112.0,805.0,1705.0,9.204,13.204
1,FLIGHT,F18,D,I,2243.0,137.0,693.0,1593.0,8.442,12.442
1,FLIGHT,F27,I,G,3519.0,173.0,556.0,1456.0,7.556,11.556
1,FLIGHT,F35,G,D,4049.0,112.0,383.0,1283.0,7.188,11.188
1,FERRY,FERRY,D,C,4161.0,60.0,,,,
1,FLIGHT,F47,C,I,7684.0,162.0,271.0,1171.0,4.664,8.664
1,FERRY,FERRY,I,G,7846.0,60.0,,,,
1,MAINT,A,G,G,7906.0,90.0,,,,
1,FLIGHT,F61,G,F,9135.0,142.0,900.0,1009.0,3.656,7.656
1,FLIGHT,F68,F,D,9673.0,106.0,758.0,867.0,3.283,7.283
2,FERRY,FERRY,E,A,0.0,60.0,,,,
2,FLIGHT,F6,A,H,803.0,85.0,900.0,1800.0,9.442,13.442
2,FLIGHT,F21,H,B,2413.0,150.0,815.0,1715.0,8.324,12.324
2,FLIGHT,F25,B,I,3334.0,148.0,665.0,1565.0,7.685,11.685
2,FERRY,FERRY,I,E,3482.0,60.0,,,,
2,FLIGHT,F39,E,A,5094.0,124.0,517.0,1417.0,6.463,10.463
