file,density,p,h,flights,assigned,unassigned,objective,maintenance_families,status
DataCplex_density=0.65_p=8_h=14_test_0.json,0.65,8,14,64,64,0,29738.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_1.json,0.65,8,14,64,64,0,29736.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_2.json,0.65,8,14,64,64,0,29776.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_3.json,0.65,8,14,64,64,0,29744.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_4.json,0.65,8,14,64,64,0,29777.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_5.json,0.65,8,14,64,64,0,29730.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_6.json,0.65,8,14,64,64,0,29797.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_7.json,0.65,8,14,64,64,0,29759.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_8.json,0.65,8,14,64,64,0,29771.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_9.json,0.65,8,14,64,64,0,29784.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_10.json,0.65,8,14,64,64,0,29774.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_11.json,0.65,8,14,64,64,0,29774.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_12.json,0.65,8,14,64,64,0,29799.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_13.json,0.65,8,14,64,64,0,29769.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_14.json,0.65,8,14,64,64,0,29746.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_15.json,0.65,8,14,64,64,0,29767.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_16.json,0.65,8,14,64,64,0,29750.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_17.json,0.65,8,14,64,64,0,29716.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_18.json,0.65,8,14,64,64,0,29729.0,A,ok
DataCplex_density=0.65_p=8_h=14_test_19.json,0.65,8,14,64,64,0,29763.0,A,ok
