AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FLIGHT,F1,C,B,200.0,200.0,27000.0,42000.0,599.861,2919.861
0,FLIGHT,F2,B,C,500.0,200.0,26800.0,41800.0,599.653,2919.653
0,FLIGHT,F9,C,B,5960.0,200.0,26600.0,41600.0,595.861,2915.861
0,FLIGHT,F10,B,C,6260.0,200.0,26400.0,41400.0,595.653,2915.653
1,FLIGHT,F3,C,B,1640.0,200.0,27000.0,42000.0,598.861,2918.861
1,FLIGHT,F4,B,C,1940.0,200.0,26800.0,41800.0,598.653,2918.653
1,FLIGHT,F11,C,B,7400.0,200.0,26600.0,41600.0,594.861,2914.861
1,FLIGHT,F12,B,C,7700.0,200.0,26400.0,41400.0,594.653,2914.653
2,FLIGHT,F5,C,B,3080.0,200.0,27000.0,42000.0,597.861,2917.861
2,FLIGHT,F6,B,C,3380.0,200.0,26800.0,41800.0,597.653,2917.653
2,FLIGHT,F13,C,B,8840.0,200.0,26600.0,41600.0,593.861,2913.861
2,FLIGHT,F14,B,C,9140.0,200.0,26400.0,41400.0,593.653,2913.653
3,FLIGHT,F7,C,B,4520.0,200.0,27000.0,42000.0,596.861,2916.861
3,FLIGHT,F8,B,C,4820.0,200.0,26800.0,41800.0,596.653,2916.653
