AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,A,F,0.0,60.0,,,,
0,FLIGHT,F4,F,A,2160.0,128.0,900.0,1800.0,8.5,12.5
0,FLIGHT,F22,A,C,5178.0,140.0,772.0,1672.0,6.404,10.404
0,FERRY,FERRY,C,B,5318.0,60.0,,,,
0,FLIGHT,F25,B,D,5440.0,161.0,632.0,1532.0,6.222,10.222
0,FLIGHT,F31,D,A,6310.0,84.0,471.0,1371.0,5.618,9.618
0,FLIGHT,F40,A,F,8005.0,170.0,387.0,1287.0,4.441,8.441
0,FERRY,FERRY,F,C,8175.0,60.0,,,,
0,FLIGHT,F47,C,G,8246.0,120.0,217.0,1117.0,4.274,8.274
1,FLIGHT,F5,D,F,2161.0,121.0,900.0,1800.0,8.499,12.499
1,FERRY,FERRY,F,H,2282.0,60.0,,,,
1,FLIGHT,F13,H,A,3696.0,133.0,779.0,1679.0,7.433,11.433
1,FERRY,FERRY,A,B,3829.0,60.0,,,,
1,FLIGHT,F24,B,E,5367.0,86.0,646.0,1546.0,6.273,10.273
1,FLIGHT,F28,E,F,6181.0,65.0,560.0,1460.0,5.708,9.708
1,FLIGHT,F34,F,E,6697.0,126.0,495.0,1395.0,5.349,9.349
1,FLIGHT,F38,E,G,7846.0,155.0,369.0,1269.0,4.551,8.551
1,FERRY,FERRY,G,B,8001.0,60.0,,,,
1,FLIGHT,F46,B,G,8225.0,135.0,214.0,1114.0,4.288,8.288
2,FLIGHT,F2,E,B,706.0,70.0,900.0,1800.0,9.51,13.51
2,FLIGHT,F9,B,G,3342.0,111.0,830.0,1730.0,7.679,11.679
2,FERRY,FERRY,G,C,3453.0,60.0,,,,
2,FLIGHT,F15,C,F,3861.0,126.0,719.0,1619.0,7.319,11.319
2,FERRY,FERRY,F,D,3987.0,60.0,,,,
2,FLIGHT,F26,D,B,5504.0,78.0,593.0,1493.0,6.178,10.178
2,FERRY,FERRY,B,H,5582.0,60.0,,,,
2,FLIGHT,F36,H,B,6799.0,68.0,515.0,1415.0,5.278,9.278
2,FLIGHT,F43,B,H,8124.0,179.0,447.0,1347.0,4.358,8.358
2,FLIGHT,F52,H,B,9166.0,159.0,268.0,1168.0,3.635,7.635
3,FLIGHT,F1,G,F,495.0,102.0,900.0,1800.0,9.656,13.656
3,FLIGHT,F3,F,E,2072.0,148.0,798.0,1698.0,8.561,12.561
3,FLIGHT,F12,E,A,3635.0,108.0,650.0,1550.0,7.476,11.476
3,FLIGHT,F17,A,C,4061.0,125.0,542.0,1442.0,7.18,11.18
3,FERRY,FERRY,C,B,4186.0,60.0,,,,
3,FLIGHT,F18,B,A,4730.0,77.0,417.0,1317.0,6.715,10.715
3,FERRY,FERRY,A,G,4807.0,60.0,,,,
3,FLIGHT,F32,G,B,6412.0,96.0,340.0,1240.0,5.547,9.547
3,FLIGHT,F41,B,G,8034.0,86.0,244.0,1144.0,4.421,8.421
3,FERRY,FERRY,G,D,8120.0,60.0,,,,
3,FLIGHT,F48,D,C,8354.0,130.0,158.0,1058.0,4.199,8.199
4,FERRY,FERRY,G,H,0.0,60.0,,,,
