AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,F,J,0.0,60.0,,,,
0,FLIGHT,F1,J,K,492.0,164.0,900.0,1800.0,22.658,25.658
0,FLIGHT,F44,K,G,4067.0,82.0,736.0,1636.0,20.176,23.176
0,FLIGHT,F55,G,A,5348.0,142.0,654.0,1554.0,19.286,22.286
0,FLIGHT,F59,A,G,6148.0,117.0,512.0,1412.0,18.731,21.731
0,FLIGHT,F67,G,C,6764.0,66.0,395.0,1295.0,18.303,21.303
0,FERRY,FERRY,C,I,6830.0,60.0,,,,
0,FLIGHT,F82,I,A,9790.0,156.0,329.0,1229.0,16.201,19.201
0,FERRY,FERRY,A,D,9946.0,60.0,,,,
0,FLIGHT,F131,D,E,14992.0,114.0,173.0,1073.0,12.589,15.589
0,MAINT,A,E,E,15106.0,90.0,,,,
0,FLIGHT,F173,E,D,19481.0,82.0,900.0,959.0,9.472,12.472
0,FERRY,FERRY,D,G,19563.0,60.0,,,,
0,FLIGHT,F177,G,D,19805.0,92.0,818.0,877.0,9.247,12.247
0,FLIGHT,F215,D,G,24841.0,62.0,726.0,785.0,5.749,8.749
0,FLIGHT,F233,G,E,25585.0,103.0,664.0,723.0,5.233,8.233
0,FLIGHT,F239,E,I,26423.0,104.0,561.0,620.0,4.651,7.651
0,FLIGHT,F247,I,G,27060.0,97.0,457.0,516.0,4.208,7.208
0,FERRY,FERRY,G,J,27157.0,60.0,,,,
0,FLIGHT,F263,J,E,29438.0,135.0,360.0,419.0,2.557,5.557
1,FERRY,FERRY,E,B,0.0,60.0,,,,
1,FLIGHT,F4,B,D,625.0,78.0,900.0,1800.0,22.566,25.566
1,FERRY,FERRY,D,L,703.0,60.0,,,,
1,FLIGHT,F37,L,D,3719.0,83.0,822.0,1722.0,20.417,23.417
1,FERRY,FERRY,D,H,3802.0,60.0,,,,
1,FLIGHT,F92,H,G,10819.0,127.0,739.0,1639.0,15.487,18.487
1,FERRY,FERRY,G,B,10946.0,60.0,,,,
1,FLIGHT,F148,B,F,16609.0,77.0,612.0,1512.0,11.466,14.466
1,FERRY,FERRY,F,L,16686.0,60.0,,,,
1,FLIGHT,F212,L,K,23952.0,154.0,535.0,1435.0,6.367,9.367
1,FLIGHT,F224,K,J,25192.0,82.0,381.0,1281.0,5.506,8.506
1,FLIGHT,F245,J,H,26882.0,63.0,299.0,1199.0,4.332,7.332
1,FLIGHT,F248,H,D,27785.0,135.0,236.0,1136.0,3.705,6.705
1,MAINT,A,D,D,27920.0,90.0,,,,
1,FLIGHT,F260,D,K,29328.0,140.0,900.0,1001.0,2.633,5.633
2,FERRY,FERRY,G,K,0.0,60.0,,,,
2,FLIGHT,F3,K,J,564.0,96.0,900.0,1800.0,22.608,25.608
2,FLIGHT,F42,J,L,3897.0,68.0,804.0,1704.0,20.294,23.294
2,FLIGHT,F49,L,G,4844.0,117.0,736.0,1636.0,19.636,22.636
2,FERRY,FERRY,G,E,4961.0,60.0,,,,
2,FLIGHT,F66,E,A,6629.0,175.0,619.0,1519.0,18.397,21.397
2,FLIGHT,F104,A,H,12374.0,121.0,444.0,1344.0,14.407,17.407
2,FLIGHT,F117,H,E,13656.0,90.0,323.0,1223.0,13.517,16.517
2,FERRY,FERRY,E,I,13746.0,60.0,,,,
2,FLIGHT,F129,I,B,14971.0,126.0,233.0,1133.0,12.603,15.603
2,FLIGHT,F141,B,G,16362.0,76.0,107.0,1007.0,11.637,14.637
2,MAINT,A,G,G,16438.0,90.0,,,,
