Dataset : data/phase1_25\I55_density=1_p=20_h=21.json
Mode    : heuristic
Flights : 420/420 assigned  (0 unassigned)
Cost    : 1066104
CPU     : 2.3s

  AID    Flt   Busy(min)   Free(min)
    0     24        3692       26372
    1     19        2988       27076
    2     20        3005       27059
    3     21        3074       26990
    4     21        3201       26863
    5     21        3031       27033
    6     24        3525       26539
    7     20        2981       27083
    8     22        3075       26989
    9     22        3410       26654
   10     17        2703       27361
   11     21        3659       26405
   12     28        4027       26037
   13     19        2833       27231
   14     24        3931       26133
   15     19        2923       27141
   16     20        3030       27034
   17     18        2991       27073
   18     20        2848       27216
   19     20        3221       26843
