stem,mode,flights,assigned,unassigned,cost,obj,gap_%,status,cpu_s
I11_density=0.5_p=8_h=7,heuristic,28,28,0,105419.0,105419.0,,heuristic,1.1
I12_density=0.65_p=8_h=7,heuristic,36,36,0,144589.0,144589.0,,heuristic,0.42
I13_density=0.8_p=8_h=7,heuristic,45,45,0,158551.0,158551.0,,heuristic,0.45
I14_density=0.95_p=8_h=7,heuristic,53,53,0,224697.0,224697.0,,heuristic,0.55
I15_density=1_p=8_h=7,heuristic,56,56,0,197456.0,197456.0,,heuristic,0.49
I21_density=0.5_p=10_h=10,heuristic,50,50,0,158050.0,158050.0,,heuristic,0.48
I22_density=0.65_p=10_h=10,heuristic,65,65,0,290202.0,290202.0,,heuristic,0.59
I23_density=0.8_p=10_h=10,heuristic,80,80,0,256223.0,256223.0,,heuristic,0.67
I24_density=0.95_p=10_h=10,heuristic,95,95,0,345818.0,345818.0,,heuristic,0.65
I25_density=1_p=10_h=10,heuristic,100,100,0,357834.0,357834.0,,heuristic,0.73
I31_density=0.5_p=12_h=14,heuristic,84,84,0,292673.0,292673.0,,heuristic,0.7
I32_density=0.65_p=12_h=14,heuristic,109,109,0,323922.0,323922.0,,heuristic,0.71
I33_density=0.8_p=12_h=14,heuristic,134,134,0,441799.0,441799.0,,heuristic,0.9
I34_density=0.95_p=12_h=14,heuristic,160,160,0,540464.0,540464.0,,heuristic,1.02
I35_density=1_p=12_h=14,heuristic,168,168,0,520872.0,520872.0,,heuristic,1.05
I41_density=0.5_p=16_h=18,heuristic,144,144,0,483816.0,483816.0,,heuristic,0.98
I42_density=0.65_p=16_h=18,heuristic,187,187,0,640285.0,640285.0,,heuristic,1.23
I43_density=0.8_p=16_h=18,heuristic,230,230,0,692250.0,692250.0,,heuristic,1.34
I44_density=0.95_p=16_h=18,heuristic,274,274,0,799104.0,799104.0,,heuristic,1.59
I45_density=1_p=16_h=18,heuristic,288,288,0,840423.0,840423.0,,heuristic,1.58
I51_density=0.5_p=20_h=21,heuristic,210,210,0,578213.0,578213.0,,heuristic,1.24
I52_density=0.65_p=20_h=21,heuristic,273,273,0,746601.0,746601.0,,heuristic,1.65
I53_density=0.8_p=20_h=21,heuristic,336,336,0,941743.0,941743.0,,heuristic,1.85
I54_density=0.95_p=20_h=21,heuristic,399,399,0,1155702.0,1155702.0,,heuristic,2.14
I55_density=1_p=20_h=21,heuristic,420,420,0,1066104.0,1066104.0,,heuristic,2.28
