AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,C,G,0.0,60.0,,,,
0,MAINT,D,G,G,60.0,420.0,,,,
0,FLIGHT,F4,G,D,546.0,138.0,240.0,420.0,3.954,6.954
0,MAINT,A,D,D,684.0,45.0,,,,
0,FLIGHT,F21,D,F,3439.0,178.0,240.0,282.0,1.945,4.945
0,FERRY,FERRY,F,G,3617.0,60.0,,,,
0,MAINT,A,G,G,3677.0,45.0,,,,
0,FLIGHT,F45,G,F,5222.0,79.0,240.0,104.0,0.707,3.707
0,MAINT,B,F,F,5301.0,90.0,,,,
0,FLIGHT,F63,F,D,6849.0,69.0,240.0,420.0,-0.423,2.577
0,FERRY,FERRY,D,J,6918.0,60.0,,,,
0,MAINT,C,J,J,6978.0,240.0,,,,
0,FLIGHT,F67,J,B,7577.0,175.0,240.0,420.0,3.751,2.072
0,MAINT,A,B,B,7752.0,45.0,,,,
0,FLIGHT,F81,B,H,9297.0,167.0,240.0,245.0,2.556,0.877
0,FERRY,FERRY,H,F,9464.0,60.0,,,,
0,FLIGHT,F98,F,G,11157.0,70.0,73.0,78.0,1.265,-0.415
0,FERRY,FERRY,G,C,11227.0,60.0,,,,
0,MAINT,D,C,C,11287.0,420.0,,,,
0,FLIGHT,F115,C,B,13918.0,89.0,240.0,420.0,2.465,5.465
0,FLIGHT,F125,B,I,15171.0,61.0,151.0,331.0,1.594,4.594
0,FERRY,FERRY,I,C,15232.0,60.0,,,,
0,MAINT,A,C,C,15292.0,45.0,,,,
0,FLIGHT,F132,C,J,15377.0,173.0,240.0,270.0,1.451,4.451
0,MAINT,B,J,J,15550.0,90.0,,,,
0,FLIGHT,F156,J,H,17879.0,115.0,240.0,420.0,-0.286,2.714
0,MAINT,C,H,H,17994.0,240.0,,,,
0,FLIGHT,F161,H,J,18348.0,85.0,240.0,420.0,3.921,2.388
1,FERRY,FERRY,G,E,0.0,60.0,,,,
1,MAINT,B,E,E,60.0,90.0,,,,
1,FLIGHT,F2,E,B,488.0,138.0,240.0,420.0,0.661,0.661
1,MAINT,A,B,B,626.0,45.0,,,,
1,FLIGHT,F32,B,D,3927.0,124.0,240.0,282.0,-1.727,-1.727
1,MAINT,D,D,D,4051.0,420.0,,,,
1,FLIGHT,F42,D,I,5075.0,154.0,240.0,420.0,3.581,6.581
1,FERRY,FERRY,I,D,5229.0,60.0,,,,
1,MAINT,A,D,D,5289.0,45.0,,,,
1,FLIGHT,F51,D,H,5441.0,117.0,240.0,266.0,3.326,6.326
1,FERRY,FERRY,H,F,5558.0,60.0,,,,
1,FLIGHT,F71,F,D,7704.0,111.0,123.0,149.0,1.755,4.755
1,MAINT,B,D,D,7815.0,90.0,,,,
1,FLIGHT,F88,D,B,10568.0,131.0,240.0,420.0,-0.234,2.766
1,FERRY,FERRY,B,F,10699.0,60.0,,,,
1,MAINT,C,F,F,10759.0,240.0,,,,
1,FLIGHT,F94,F,C,11075.0,64.0,240.0,420.0,3.947,2.414
1,FLIGHT,F99,C,J,11171.0,96.0,176.0,356.0,3.881,2.347
1,MAINT,A,J,J,11267.0,45.0,,,,
1,FLIGHT,F104,J,E,12086.0,156.0,240.0,260.0,3.245,1.712
1,FLIGHT,F122,E,G,14905.0,83.0,84.0,104.0,1.287,-0.246
1,MAINT,D,G,G,14988.0,420.0,,,,
1,FLIGHT,F135,G,I,15565.0,177.0,240.0,420.0,3.891,6.891
1,FERRY,FERRY,I,H,15742.0,60.0,,,,
1,MAINT,A,H,H,15802.0,45.0,,,,
1,FLIGHT,F138,H,E,16240.0,69.0,240.0,243.0,3.422,6.422
1,FERRY,FERRY,E,B,16309.0,60.0,,,,
1,FLIGHT,F152,B,J,17000.0,92.0,171.0,174.0,2.894,5.894
2,FERRY,FERRY,J,F,0.0,60.0,,,,
2,MAINT,B,F,F,60.0,90.0,,,,
2,FLIGHT,F8,F,J,721.0,168.0,240.0,420.0,0.499,1.499
2,MAINT,A,J,J,889.0,45.0,,,,
2,FLIGHT,F30,J,C,3857.0,86.0,240.0,252.0,-1.678,-0.678
2,FERRY,FERRY,C,H,3943.0,60.0,,,,
2,MAINT,D,H,H,4003.0,420.0,,,,
2,FLIGHT,F44,H,C,5159.0,121.0,240.0,420.0,3.489,6.489
2,FERRY,FERRY,C,B,5280.0,60.0,,,,
2,FLIGHT,F66,B,H,6955.0,77.0,119.0,299.0,2.242,5.242
2,MAINT,A,H,H,7032.0,45.0,,,,
2,FLIGHT,F75,H,G,7999.0,120.0,240.0,222.0,1.517,4.517
2,FLIGHT,F79,G,I,9132.0,62.0,120.0,102.0,0.73,3.73
2,MAINT,B,I,I,9194.0,90.0,,,,
2,FLIGHT,F83,I,H,9478.0,91.0,240.0,420.0,0.49,3.49
2,FLIGHT,F96,H,B,11148.0,122.0,149.0,329.0,-0.67,2.33
2,MAINT,C,B,B,11270.0,240.0,,,,
2,FLIGHT,F101,B,H,11907.0,72.0,240.0,420.0,3.724,1.803
2,FERRY,FERRY,H,J,11979.0,60.0,,,,
2,FLIGHT,F105,J,F,12156.0,70.0,168.0,348.0,3.551,1.63
2,MAINT,A,F,F,12226.0,45.0,,,,
2,FLIGHT,F118,F,B,14026.0,174.0,240.0,278.0,2.253,0.331
2,MAINT,B,B,B,14200.0,90.0,,,,
2,FLIGHT,F119,B,G,14827.0,166.0,240.0,420.0,1.697,-0.225
2,MAINT,D,G,G,14993.0,420.0,,,,
2,FLIGHT,F136,G,F,15568.0,89.0,240.0,420.0,3.892,6.892
2,FERRY,FERRY,F,A,15657.0,60.0,,,,
2,FLIGHT,F140,A,J,16317.0,82.0,151.0,331.0,3.372,6.372
2,MAINT,A,J,J,16399.0,45.0,,,,
2,FLIGHT,F148,J,F,16811.0,93.0,240.0,249.0,3.029,6.029
2,FLIGHT,F157,F,E,17892.0,95.0,147.0,156.0,2.278,5.278
2,MAINT,A,E,E,17987.0,45.0,,,,
2,FLIGHT,F163,E,A,19364.0,60.0,240.0,61.0,1.256,4.256
2,FERRY,FERRY,A,I,19424.0,60.0,,,,
2,MAINT,B,I,I,19484.0,90.0,,,,
2,FLIGHT,F166,I,J,19575.0,176.0,240.0,420.0,1.11,4.11
3,MAINT,A,G,G,0.0,45.0,,,,
3,FLIGHT,F3,G,D,501.0,76.0,240.0,157.0,0.652,1.652
3,MAINT,B,D,D,577.0,90.0,,,,
3,FLIGHT,F12,D,B,1063.0,121.0,240.0,420.0,0.262,1.262
3,FLIGHT,F18,B,E,2245.0,110.0,119.0,299.0,-0.559,0.441
3,MAINT,C,E,E,2355.0,240.0,,,,
3,FLIGHT,F23,E,D,3586.0,158.0,240.0,420.0,3.312,-0.49
3,FERRY,FERRY,D,A,3744.0,60.0,,,,
3,MAINT,D,A,A,3804.0,420.0,,,,
3,FLIGHT,F39,A,F,4793.0,73.0,240.0,420.0,3.605,6.605
3,FLIGHT,F46,F,H,5231.0,122.0,167.0,347.0,3.301,6.301
3,MAINT,A,H,H,5353.0,45.0,,,,
3,FLIGHT,F49,H,G,5411.0,151.0,240.0,225.0,3.176,6.176
3,MAINT,B,G,G,5562.0,90.0,,,,
3,FLIGHT,F55,G,E,6400.0,95.0,240.0,420.0,2.489,5.489
3,FERRY,FERRY,E,G,6495.0,60.0,,,,
3,FLIGHT,F59,G,I,6669.0,116.0,145.0,325.0,2.302,5.302
3,MAINT,A,I,I,6785.0,45.0,,,,
3,FLIGHT,F64,I,D,6883.0,76.0,240.0,209.0,2.153,5.153
3,FERRY,FERRY,D,A,6959.0,60.0,,,,
3,MAINT,B,A,A,7019.0,90.0,,,,
3,FLIGHT,F84,A,D,9497.0,176.0,240.0,420.0,0.338,3.338
3,MAINT,A,D,D,9673.0,45.0,,,,
3,FLIGHT,F95,D,G,11107.0,87.0,240.0,244.0,-0.78,2.22
3,FERRY,FERRY,G,C,11194.0,60.0,,,,
3,MAINT,C,C,C,11254.0,240.0,,,,
3,FLIGHT,F110,C,G,12508.0,101.0,240.0,420.0,3.296,1.247
3,MAINT,A,G,G,12609.0,45.0,,,,
3,FLIGHT,F124,G,B,15155.0,164.0,240.0,319.0,1.458,-0.591
3,MAINT,D,B,B,15319.0,420.0,,,,
3,FLIGHT,F139,B,J,16287.0,160.0,240.0,420.0,3.619,6.619
3,FERRY,FERRY,J,A,16447.0,60.0,,,,
3,FLIGHT,F143,A,C,16512.0,68.0,80.0,260.0,3.463,6.463
3,FERRY,FERRY,C,I,16580.0,60.0,,,,
3,MAINT,A,I,I,16640.0,45.0,,,,
3,FLIGHT,F164,I,C,19389.0,65.0,240.0,192.0,1.465,4.465
