Dataset : data/phase1_25_forced\I52_density=0.65_p=20_h=21.json
Mode    : heuristic
Flights : 273/273 assigned  (0 unassigned)
Cost    : 800619
CPU     : 2.1s

  AID    Flt   Busy(min)   Free(min)
    0     11        2920       27097
    1     20        4726       25291
    2     15        3887       26130
    3     12        3217       26800
    4     10        3162       26855
    5     11        3378       26639
    6     10        3115       26902
    7     10        2911       27106
    8     21        5596       24421
    9     16        4409       25608
   10     14        4158       25859
   11     12        3734       26283
   12     15        4162       25855
   13     17        4469       25548
   14     11        3456       26561
   15     12        3771       26246
   16     17        4389       25628
   17     12        3392       26625
   18     12        3528       26489
   19     15        4284       25733
