AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,F,B,0.0,60.0,,,,
0,MAINT,D,B,B,60.0,420.0,,,,
0,FLIGHT,F8,B,K,1048.0,139.0,240.0,420.0,3.606,6.606
0,MAINT,A,K,K,1187.0,45.0,,,,
0,FLIGHT,F36,K,G,3758.0,148.0,240.0,281.0,1.724,4.724
0,MAINT,A,G,G,3906.0,45.0,,,,
0,FLIGHT,F51,G,E,5007.0,101.0,240.0,133.0,0.856,3.856
0,FERRY,FERRY,E,A,5108.0,60.0,,,,
0,MAINT,B,A,A,5168.0,90.0,,,,
0,FLIGHT,F90,A,E,8309.0,161.0,240.0,420.0,-1.437,1.563
0,MAINT,C,E,E,8470.0,240.0,,,,
0,FLIGHT,F102,E,H,9605.0,93.0,240.0,420.0,3.378,0.663
0,FLIGHT,F125,H,J,12313.0,80.0,147.0,327.0,1.498,-1.217
0,FERRY,FERRY,J,I,12393.0,60.0,,,,
0,MAINT,D,I,I,12453.0,420.0,,,,
0,FLIGHT,F141,I,F,13983.0,172.0,240.0,420.0,3.229,6.229
0,MAINT,A,F,F,14155.0,45.0,,,,
0,FLIGHT,F177,F,C,18084.0,100.0,240.0,248.0,0.381,3.381
0,FERRY,FERRY,C,K,18184.0,60.0,,,,
0,MAINT,B,K,K,18244.0,90.0,,,,
0,FLIGHT,F194,K,F,19423.0,177.0,240.0,420.0,-0.549,2.451
0,MAINT,C,F,F,19600.0,240.0,,,,
0,FLIGHT,F235,F,J,22599.0,94.0,240.0,420.0,2.084,0.246
0,FLIGHT,F256,J,K,24116.0,87.0,146.0,326.0,1.031,-0.808
0,FERRY,FERRY,K,F,24203.0,60.0,,,,
0,MAINT,D,F,F,24263.0,420.0,,,,
0,FLIGHT,F262,F,A,25058.0,122.0,240.0,420.0,3.74,6.74
0,MAINT,A,A,A,25180.0,45.0,,,,
0,FLIGHT,F287,A,B,26693.0,119.0,240.0,298.0,2.604,5.604
0,FLIGHT,F302,B,A,27887.0,89.0,121.0,179.0,1.775,4.775
0,MAINT,B,A,A,27976.0,90.0,,,,
0,FLIGHT,F314,A,D,28331.0,170.0,240.0,420.0,1.467,4.467
0,MAINT,A,D,D,28501.0,45.0,,,,
0,FLIGHT,F320,D,F,29234.0,125.0,240.0,250.0,0.84,3.84
0,FLIGHT,F326,F,B,29428.0,84.0,115.0,125.0,0.705,3.705
0,MAINT,B,B,B,29512.0,90.0,,,,
0,FLIGHT,F332,B,A,29874.0,71.0,240.0,420.0,0.395,3.395
1,FERRY,FERRY,I,G,0.0,60.0,,,,
1,FLIGHT,F2,G,D,485.0,79.0,84.0,152.0,0.663,1.663
1,MAINT,B,D,D,564.0,90.0,,,,
1,FLIGHT,F68,D,K,6427.0,127.0,240.0,420.0,-3.463,-2.463
1,MAINT,D,K,K,6554.0,420.0,,,,
1,FLIGHT,F77,K,G,7772.0,90.0,240.0,420.0,3.446,6.446
1,FERRY,FERRY,G,K,7862.0,60.0,,,,
1,MAINT,A,K,K,7922.0,45.0,,,,
1,FLIGHT,F82,K,F,8017.0,155.0,240.0,330.0,3.276,6.276
1,MAINT,A,F,F,8172.0,45.0,,,,
1,FLIGHT,F127,F,H,12433.0,89.0,240.0,175.0,0.209,3.209
1,FERRY,FERRY,H,D,12522.0,60.0,,,,
1,FLIGHT,F139,D,B,13762.0,79.0,151.0,86.0,-0.714,2.286
1,MAINT,C,B,B,13841.0,240.0,,,,
1,FLIGHT,F145,B,F,14779.0,84.0,240.0,420.0,3.515,1.58
1,FLIGHT,F151,F,I,15161.0,91.0,156.0,336.0,3.25,1.315
1,MAINT,A,I,I,15252.0,45.0,,,,
1,FLIGHT,F179,I,D,18130.0,85.0,240.0,245.0,1.188,-0.747
1,MAINT,D,D,D,18215.0,420.0,,,,
1,FLIGHT,F190,D,L,19193.0,111.0,240.0,420.0,3.612,6.612
1,FERRY,FERRY,L,H,19304.0,60.0,,,,
1,MAINT,A,H,H,19364.0,45.0,,,,
1,FLIGHT,F199,H,A,19696.0,177.0,240.0,309.0,3.263,6.263
1,FERRY,FERRY,A,I,19873.0,60.0,,,,
1,MAINT,A,I,I,19933.0,45.0,,,,
1,FLIGHT,F251,I,E,23846.0,94.0,240.0,132.0,0.381,3.381
1,MAINT,B,E,E,23940.0,90.0,,,,
1,FLIGHT,F281,E,K,26338.0,173.0,240.0,420.0,-1.349,1.651
1,FERRY,FERRY,K,G,26511.0,60.0,,,,
1,MAINT,C,G,G,26571.0,240.0,,,,
1,FLIGHT,F297,G,K,26981.0,111.0,240.0,420.0,3.882,1.204
2,FERRY,FERRY,A,D,0.0,60.0,,,,
2,MAINT,B,D,D,60.0,90.0,,,,
2,FLIGHT,F1,D,I,397.0,167.0,240.0,420.0,1.724,0.724
2,MAINT,A,I,I,564.0,45.0,,,,
2,FLIGHT,F38,I,F,3827.0,140.0,240.0,253.0,-0.658,-1.658
2,FERRY,FERRY,F,L,3967.0,60.0,,,,
2,MAINT,D,L,L,4027.0,420.0,,,,
2,FLIGHT,F71,L,J,6940.0,153.0,240.0,420.0,2.269,5.269
2,FERRY,FERRY,J,B,7093.0,60.0,,,,
2,MAINT,A,B,B,7153.0,45.0,,,,
2,FLIGHT,F131,B,H,12692.0,136.0,240.0,267.0,-1.726,1.274
2,MAINT,C,H,H,12828.0,240.0,,,,
2,FLIGHT,F180,H,F,18168.0,75.0,240.0,420.0,0.458,-2.528
2,FERRY,FERRY,F,B,18243.0,60.0,,,,
2,MAINT,D,B,B,18303.0,420.0,,,,
2,FLIGHT,F189,B,F,19108.0,60.0,240.0,420.0,3.733,6.733
2,FERRY,FERRY,F,E,19168.0,60.0,,,,
2,FLIGHT,F227,E,L,22195.0,100.0,180.0,360.0,1.589,4.589
2,MAINT,A,L,L,22295.0,45.0,,,,
2,FLIGHT,F272,L,D,25397.0,180.0,240.0,260.0,-0.635,2.365
2,FERRY,FERRY,D,H,25577.0,60.0,,,,
2,MAINT,C,H,H,25637.0,240.0,,,,
