Dataset : data/phase1_25_forced\I55_density=1_p=20_h=21.json
Mode    : heuristic
Flights : 420/420 assigned  (0 unassigned)
Cost    : 1138578
CPU     : 3.1s

  AID    Flt   Busy(min)   Free(min)
    0     23        5991       24073
    1     18        5077       24987
    2     20        5235       24829
    3     26        5948       24116
    4     18        5251       24813
    5     17        4441       25623
    6     23        5623       24441
    7     14        4066       25998
    8     21        5494       24570
    9     19        4810       25254
   10     17        4905       25159
   11     18        4493       25571
   12     21        5166       24898
   13     24        5899       24165
   14     24        5579       24485
   15     22        5252       24812
   16     29        5760       24304
   17     19        5162       24902
   18     28        6883       23181
   19     19        5263       24801
