"cell","density","p","h","flights","assigned","unassigned","cpu_s"
"11","0.5","8","7","28","28","0","0.51"
"12","0.65","8","7","36","36","0","0.48"
"13","0.8","8","7","45","45","0","0.59"
"14","0.95","8","7","53","53","0","0.61"
"15","1","8","7","56","55","1","0.59"
"21","0.5","10","10","50","50","0","0.63"
"22","0.65","10","10","65","65","0","0.8"
"23","0.8","10","10","80","80","0","0.74"
"24","0.95","10","10","95","95","0","0.94"
"25","1","10","10","100","100","0","0.96"
"31","0.5","12","14","84","84","0","0.84"
"32","0.65","12","14","109","109","0","0.96"
"33","0.8","12","14","134","134","0","1.12"
"34","0.95","12","14","160","160","0","1.31"
"35","1","12","14","168","168","0","1.34"
"41","0.5","16","18","144","144","0","1.15"
"42","0.65","16","18","187","187","0","1.56"
"43","0.8","16","18","230","230","0","1.68"
"44","0.95","16","18","274","274","0","2.06"
"45","1","16","18","288","288","0","2.22"
"51","0.5","20","21","210","210","0","1.7"
"52","0.65","20","21","273","273","0","2.09"
"53","0.8","20","21","336","336","0","2.61"
"54","0.95","20","21","399","399","0","3.1"
"55","1","20","21","420","420","0","3.09"
