stem,method,mode,flights,assigned,unassigned,status,objective,gap_pct,cpu_s,wall_s,num_vars,num_constraints,returncode
I11_density=0.5_p=8_h=7,classical_milp,milp,,,,solver_limit,,,,1.62,,,1
I12_density=0.65_p=8_h=7,classical_milp,milp,,,,solver_limit,,,,1.64,,,1
I13_density=0.8_p=8_h=7,classical_milp,milp,,,,solver_limit,,,,1.73,,,1
I14_density=0.95_p=8_h=7,classical_milp,milp,,,,solver_limit,,,,2.02,,,1
I15_density=1_p=8_h=7,classical_milp,milp,,,,solver_limit,,,,1.84,,,1
I21_density=0.5_p=10_h=10,classical_milp,milp,,,,solver_limit,,,,1.81,,,1
I22_density=0.65_p=10_h=10,classical_milp,milp,,,,solver_limit,,,,1.96,,,1
I23_density=0.8_p=10_h=10,classical_milp,milp,,,,solver_limit,,,,2.05,,,1
I24_density=0.95_p=10_h=10,classical_milp,milp,,,,solver_limit,,,,2.14,,,1
I25_density=1_p=10_h=10,classical_milp,milp,,,,solver_limit,,,,2.16,,,1
I31_density=0.5_p=12_h=14,classical_milp,milp,,,,solver_limit,,,,2.28,,,1
I32_density=0.65_p=12_h=14,classical_milp,milp,,,,solver_limit,,,,2.55,,,1
I33_density=0.8_p=12_h=14,classical_milp,milp,,,,solver_limit,,,,2.8,,,1
I34_density=0.95_p=12_h=14,classical_milp,milp,,,,solver_limit,,,,3.02,,,1
I35_density=1_p=12_h=14,classical_milp,milp,,,,solver_limit,,,,3.1,,,1
I41_density=0.5_p=16_h=18,classical_milp,milp,,,,solver_limit,,,,3.5,,,1
I42_density=0.65_p=16_h=18,classical_milp,milp,,,,solver_limit,,,,4.12,,,1
I43_density=0.8_p=16_h=18,classical_milp,milp,,,,solver_limit,,,,5.1,,,1
I44_density=0.95_p=16_h=18,classical_milp,milp,,,,solver_limit,,,,5.72,,,1
I45_density=1_p=16_h=18,classical_milp,milp,,,,solver_limit,,,,6.03,,,1
I51_density=0.5_p=20_h=21,classical_milp,milp,,,,solver_limit,,,,5.58,,,1
I52_density=0.65_p=20_h=21,classical_milp,milp,,,,solver_limit,,,,7.11,,,1
I53_density=0.8_p=20_h=21,classical_milp,milp,,,,solver_limit,,,,8.33,,,1
I54_density=0.95_p=20_h=21,classical_milp,milp,,,,solver_limit,,,,10.41,,,1
I55_density=1_p=20_h=21,classical_milp,milp,,,,solver_limit,,,,10.61,,,1
